"state.country.isoCode";"state.id";"name";"postalCode";"areaCode";"language"
"AL";"06";"Pogradec";"7302";"83";"sq"
"AL";"12";"Sarandë";"9701";"85";"sq"
"AL";"10";"Shkodër";"4000";"22";"sq"
"AL";"08";"Laç";"4702";"53";"sq"
"AL";"09";"Burrel";"8001";"217";"sq"
"AL";"12";"Sarandë";"9703";"85";"sq"
"AL";"01";"Kuçovë";"5303";"311";"sq"
"AL";"01";"Poliçan";"5403";"368";"sq"
"AL";"01";"Berat";"5002";"32";"sq"
"AL";"05";"Gjirokastër";"6001";"84";"sq"
"AL";"02";"Shijak";"2013";"571";"sq"
"AL";"03";"Gramsh";"3301";"513";"sq"
"AL";"01";"Berat";"5003";"32";"sq"
"AL";"06";"Devoll";"7006";"811";"sq"
"AL";"03";"Librazhd";"3402";"514";"sq"
"AL";"06";"Kolonjë";"7401";"812";"sq"
"AL";"03";"Elbasan";"3002";"54";"sq"
"AL";"04";"Ballsh";"9308";"313";"sq"
"AL";"11";"Vorë";"1032";"47";"sq"
"AL";"04";"Fier";"9303";"34";"sq"
"AL";"09";"Klos";"8002";"287";"sq"
"AL";"04";"Fier";"9301";"34";"sq"
"AL";"09";"Bulqizë";"8401";"219";"sq"
"AL";"01";"Berat";"5004";"32";"sq"
"AL";"07";"Kukës";"8501";"24";"sq"
"AL";"08";"Rrëshen";"4601";"216";"sq"
"AL";"04";"Fier";"9304";"34";"sq"
"AL";"03";"Elbasan";"3006";"54";"sq"
"AL";"07";"Bajram Curri";"8701";"213";"sq"
"AL";"01";"Ura Vajgurore";"5007";"361";"sq"
"AL";"07";"Krumë";"8602";"214";"sq"
"AL";"03";"Përrenjas";"3403";"591";"sq"
"AL";"12";"Orikum";"9426";"391";"sq"
"AL";"07";"Bajram Curri";"8702";"213";"sq"
"AL";"08";"Lezhë";"4500";"215";"sq"
"AL";"07";"Krumë";"8601";"214";"sq"
"AL";"03";"Peqin";"3501";"512";"sq"
"AL";"12";"Selenicë";"9427";"392";"sq"
"AL";"08";"Rrëshen";"4602";"216";"sq"
"AL";"12";"Sarandë";"9702";"85";"sq"
"AL";"05";"Memaliaj";"6302";"885";"sq"
"AL";"01";"Çorovodë";"5401";"312";"sq"
"AL";"05";"Përmet";"6401";"813";"sq"
"AL";"07";"Kukës";"8503";"24";"sq"
"AL";"02";"Sukth";"2010";"573";"sq"
"AL";"01";"Çorovodë";"5402";"312";"sq"
"AL";"06";"Leskovik";"7402";"871";"sq"
"AL";"05";"Këlcyrë";"6402";"875";"sq"
"AL";"06";"Pogradec";"7303";"83";"sq"
"AL";"01";"Skrapar";"5402";"312";"sq"
"AL";"04";"Roskovec";"9306";"382";"sq"
"AL";"06";"Korçë";"7000";"82";"sq"
"AL";"09";"Peshkopi";"8301";"218";"sq"
"AL";"11";"Kavajë";"2502";"55";"sq"
"AL";"02";"Fushë-Krujë";"1502";"563";"sq"
"AL";"02";"Kruje";"1501";"511";"sq"
"AL";"01";"Poliçan";"5404";"368";"sq"
"AL";"11";"Rrogozhinë";"2503";"577";"sq"
"AL";"01";"Berat";"5001";"32";"sq"
"AL";"04";"Divjakë";"9022";"371";"sq"
"AL";"03";"Belsh";"3008";"582";"sq"
"AL";"03";"Përrenjas";"3404";"591";"sq"
"AL";"03";"Bradashesh";"3009";"583";"sq"
"AL";"06";"Maliq";"7005";"861";"sq"
"AL";"08";"Laç";"4701";"53";"sq"
"AL";"10";"Vau i Dejës";"4008";"261";"sq"
"AL";"05";"Gjirokastër";"6003";"84";"sq"
"AL";"10";"Pukë";"4401";"212";"sq"
"AL";"10";"Fushë-Arrëz";"4402";"271";"sq"
"AL";"01";"Kuçovë";"5302";"311";"sq"
"AL";"07";"Kukës";"8502";"24";"sq"
"AL";"06";"Pogradec";"7301";"83";"sq"
"AL";"11";"Tirana";"1000";"4";"sq"
"AL";"04";"Fier";"9302";"34";"sq"
"AL";"06";"Bilisht";"7006";"811";"sq"
"AL";"05";"Libohovë";"6003";"881";"sq"
"AL";"04";"Lushnje";"9001";"35";"sq"
"AL";"11";"Kavajë";"2501";"55";"sq"
"AL";"03";"Elbasan";"3003";"54";"sq"
"AL";"01";"Berat";"5005";"32";"sq"
"AL";"11";"Kamëz";"1030";"47";"sq"
"AL";"04";"Patos";"9307";"381";"sq"
"AL";"02";"Shijak";"2014";"571";"sq"
"AL";"09";"Bulqizë";"8402";"219";"sq"
"AL";"10";"Koplik";"4301";"211";"sq"
"AL";"03";"Elbasan";"3001";"54";"sq"
"AL";"01";"Skrapar";"5401";"312";"sq"
"AL";"04";"Mallakastër";"9308";"313";"sq"
"AL";"01";"Kuçovë";"5304";"311";"sq"
"AL";"01";"Berat";"5006";"32";"sq"
"AL";"05";"Tepelenë";"6301";"814";"sq"
"AL";"03";"Cërrik";"3007";"581";"sq"
"AL";"08";"Laç";"4703";"53";"sq"
"AL";"02";"Manëz";"2011";"572";"sq"
"AL";"08";"Mamurras";"4704";"561";"sq"
"AL";"08";"Rubik";"4603";"284";"sq"
"AL";"06";"Ersekë";"7401";"812";"sq"
"AL";"12";"Konispol";"9705";"891";"sq"
"AL";"03";"Elbasan";"3004";"54";"sq"
"AL";"03";"Librazhd";"3401";"514";"sq"
"AL";"04";"Fier";"9305";"34";"sq"
"AL";"12";"Vlorë";"9400";"33";"sq"
"AL";"03";"Elbasan";"3005";"54";"sq"
"AL";"12";"Himarë";"9425";"393";"sq"
"AL";"02";"Durrës";"2000";"52";"sq"
"AL";"12";"Delvinë";"9704";"815";"sq"
"AL";"05";"Gjirokastër";"6002";"84";"sq"
"AL";"01";"Kuçovë";"5301";"311";"sq"
