"state.country.isoCode";"state.id";"name";"postalCode";"areaCode";"language"
"BA";"SRP";"Lopare";"75240";"55";"sr"
"BA";"BIH";"Žepče";"72230";"32";"bs"
"BA";"BIH";"Breza";"71370";"32";"bs"
"BA";"SRP";"Mrkonjić Grad";"70260";"50";"sr"
"BA";"BIH";"Čapljina";"88300";"36";"bs"
"BA";"SRP";"Novi Grad";"79220";"52";"sr"
"BA";"BIH";"Široki Brijeg";"88220";"39";"bs"
"BA";"BIH";"Cazin";"77220";"37";"bs"
"BA";"BIH";"Goražde";"73000";"38";"bs"
"BA";"BIH";"Sanski Most";"79260";"37";"bs"
"BA";"BIH";"Fojnica";"71270";"30";"bs"
"BA";"SRP";"Oštra Luka";"76279";"52";"sr"
"BA";"BIH";"Gradačac";"76250";"35";"bs"
"BA";"BIH";"Kiseljak";"71250";"30";"bs"
"BA";"BIH";"Lukavac";"75300";"35";"bs"
"BA";"BIH";"Bužim";"77245";"37";"bs"
"BA";"SRP";"Han Pijesak";"71360";"57";"sr"
"BA";"BIH";"Čelić";"75246";"35";"bs"
"BA";"SRP";"Srebrenica";"75430";"56";"sr"
"BA";"BRC";"Brčko";"76100";"49";"bs"
"BA";"BIH";"Bugojno";"70230";"30";"bs"
"BA";"BIH";"Vogošća";"71320";"33";"bs"
"BA";"SRP";"Čajniče";"73280";"58";"sr"
"BA";"BIH";"Velika Kladuša";"77230";"37";"bs"
"BA";"SRP";"Pelagićevo";"76256";"54";"sr"
"BA";"BIH";"Ključ";"79280";"37";"bs"
"BA";"BIH";"Grude";"88340";"39";"bs"
"BA";"SRP";"Gornji Ribnik";"79288";"50";"sr"
"BA";"SRP";"Teslić";"74270";"53";"sr"
"BA";"BIH";"Hadžići";"71240";"33";"bs"
"BA";"SRP";"Kalinovik";"71230";"57";"sr"
"BA";"SRP";"Kasindo";"71213";"57";"sr"
"BA";"SRP";"Gradiška";"78400";"51";"sr"
"BA";"BIH";"Kupres";"80320";"34";"bs"
"BA";"SRP";"Pale";"71420";"57";"sr"
"BA";"BIH";"Kreševo";"71260";"30";"bs"
"BA";"SRP";"Bileća";"89230";"59";"sr"
"BA";"BIH";"Busovača";"72260";"30";"bs"
"BA";"BIH";"Bihać";"77000";"37";"bs"
"BA";"BIH";"Ljubuški";"88320";"39";"bs"
"BA";"SRP";"Zijemlje";"89202";"59";"sr"
"BA";"SRP";"Bratunac";"75420";"56";"sr"
"BA";"BIH";"Donji Vakuf";"70220";"30";"bs"
"BA";"SRP";"Šekovići";"75450";"56";"sr"
"BA";"SRP";"Zvornik";"75400";"56";"sr"
"BA";"BIH";"Banovići";"75290";"35";"bs"
"BA";"BIH";"Gornji Vakuf";"70240";"30";"bs"
"BA";"SRP";"Prijedor";"79000";"52";"sr"
"BA";"BIH";"Travnik";"72270";"30";"bs"
"BA";"SRP";"Ugljevik";"76330";"55";"sr"
"BA";"SRP";"Kozarska Dubica";"79240";"52";"sr"
"BA";"BIH";"Konjic";"88400";"36";"bs"
"BA";"SRP";"Brod";"74450";"53";"sr"
"BA";"SRP";"Banja Luka";"78000";"51";"sr"
"BA";"BIH";"Neum";"88390";"36";"bs"
"BA";"BIH";"Sivša";"74230";"32";"bs"
"BA";"BIH";"Sapna";"75411";"35";"bs"
"BA";"BIH";"Maglaj";"74250";"32";"bs"
"BA";"SRP";"Milići";"75446";"56";"sr"
"BA";"BIH";"Jablanica";"88420";"36";"bs"
"BA";"BIH";"Trnovo";"71220";"33";"bs"
"BA";"BIH";"Visoko";"71300";"32";"bs"
"BA";"BIH";"Tomislavgrad";"80240";"34";"bs"
"BA";"SRP";"Petrovo";"75325";"53";"sr"
"BA";"BIH";"Vareš";"71330";"32";"bs"
"BA";"BIH";"Olovo";"71340";"32";"bs"
"BA";"SRP";"Foča";"73300";"58";"sr"
"BA";"BIH";"Dobretići";"70210";"30";"bs"
"BA";"BIH";"Tuzla";"75000";"35";"bs"
"BA";"BIH";"Gračanica";"75320";"35";"bs"
"BA";"SRP";"Kotor Varoš";"78220";"51";"sr"
"BA";"BIH";"Novi Travnik";"72290";"30";"bs"
"BA";"BIH";"Ilijaš";"71380";"33";"bs"
"BA";"BIH";"Prozor";"88440";"36";"bs"
"BA";"BIH";"Ilidža";"71210";"33";"bs"
"BA";"BIH";"Živinice";"75270";"35";"bs"
"BA";"SRP";"Vlasenica";"75440";"56";"sr"
"BA";"SRP";"Osmaci";"75460";"56";"sr"
"BA";"BIH";"Kalesija";"75260";"35";"bs"
"BA";"BIH";"Matuzići";"74203";"32";"bs"
"BA";"SRP";"Prnjavor";"78430";"51";"sr"
"BA";"BIH";"Mostar";"88000";"36";"bs"
"BA";"BIH";"Odžak";"76290";"31";"bs"
"BA";"SRP";"Šipovo";"70270";"50";"sr"
"BA";"SRP";"Rogatica";"73220";"58";"sr"
"BA";"BIH";"Ravno";"88370";"36";"bs"
"BA";"BIH";"Sarajevo";"71000";"33";"bs"
"BA";"BIH";"Čitluk";"88260";"36";"bs"
"BA";"SRP";"Čelinac";"78240";"51";"sr"
"BA";"BIH";"Bosansko Grahovo";"80270";"34";"bs"
"BA";"SRP";"Trebinje";"89000";"59";"sr"
"BA";"SRP";"Laktaši";"78250";"51";"sr"
"BA";"SRP";"Donji Žabar";"76273";"54";"sr"
"BA";"SRP";"Kostajnica";"79224";"52";"sr"
"BA";"BIH";"Orašje";"76270";"31";"bs"
"BA";"BIH";"Kladanj";"75280";"35";"bs"
"BA";"BIH";"Tešanj";"74260";"32";"bs"
"BA";"BIH";"Zenica";"72000";"32";"bs"
"BA";"BIH";"Zavidovići";"72220";"32";"bs"
"BA";"BIH";"Glamoč";"80230";"34";"bs"
"BA";"SRP";"Rudo";"73260";"58";"sr"
"BA";"BIH";"Posušje";"88240";"39";"bs"
"BA";"SRP";"Stanari";"74208";"53";"sr"
"BA";"BIH";"Teočak-Krstac";"75414";"35";"bs"
"BA";"SRP";"Višegrad";"73240";"58";"sr"
"BA";"BIH";"Srebrenik";"75350";"35";"bs"
"BA";"SRP";"Doboj";"74000";"53";"sr"
"BA";"SRP";"Modriča";"74480";"53";"sr"
"BA";"SRP";"Berkovići";"88363";"59";"sr"
"BA";"BIH";"Ustikolina";"73250";"38";"bs"
"BA";"SRP";"Kijevo";"71222";"57";"sr"
"BA";"BIH";"Bosanski Petrovac";"77250";"37";"bs"
"BA";"SRP";"Bijeljina";"76300";"55";"sr"
"BA";"BIH";"Domaljevac";"76233";"31";"bs"
"BA";"BIH";"Stolac";"88360";"36";"bs"
"BA";"BIH";"Drvar";"80260";"34";"bs"
"BA";"SRP";"Gacko";"89240";"59";"sr"
"BA";"BIH";"Klokotnica";"74207";"35";"bs"
"BA";"SRP";"Donji Dubovik";"79227";"52";"sr"
"BA";"BIH";"Prača";"73290";"38";"bs"
"BA";"SRP";"Srbac";"78420";"51";"sr"
