"state.country.isoCode";"state.id";"name";"postalCode";"areaCode";"language"
"BE";"WAL";"Berneau";"4607";4;"fr"
"BE";"WAL";"Spa";"4900";4;"fr"
"BE";"WAL";"Le Mesnil";"5670";81;"fr"
"BE";"WAL";"Godinne";"5530";81;"fr"
"BE";"WAL";"Felenne";"5570";81;"fr"
"BE";"WAL";"Thommen";"4791";4;"fr"
"BE";"WAL";"Ellemelle";"4590";4;"fr"
"BE";"VLG";"Kortrijk";"8500";56;"nl"
"BE";"VLG";"Turnhout";"2300";14;"nl"
"BE";"WAL";"Huy";"4500";4;"fr"
"BE";"WAL";"Mortroux";"4607";4;"fr"
"BE";"WAL";"Abolens";"4280";4;"fr"
"BE";"WAL";"Villers-Le-Temple";"4550";4;"fr"
"BE";"VLG";"Westerlo";"2260";3;"nl"
"BE";"WAL";"Hastière-Par-Delà";"5541";81;"fr"
"BE";"WAL";"Keumiée";"5060";81;"fr"
"BE";"WAL";"Terwagne";"4560";4;"fr"
"BE";"WAL";"Chevron";"4987";4;"fr"
"BE";"WAL";"Fraiture";"4557";4;"fr"
"BE";"WAL";"Haneffe";"4357";4;"fr"
"BE";"VLG";"Duffel";"2570";3;"nl"
"BE";"VLG";"Hoevenen";"2940";3;"nl"
"BE";"WAL";"Naninne";"5100";81;"fr"
"BE";"WAL";"Manderfeld";"4760";4;"fr"
"BE";"WAL";"Xhendelesse";"4652";4;"fr"
"BE";"WAL";"Ferrières";"4190";4;"fr"
"BE";"WAL";"Les Avins";"4560";4;"fr"
"BE";"WAL";"Retinne";"4621";4;"fr"
"BE";"WAL";"Mettet";"5640";81;"fr"
"BE";"WAL";"Cerfontaine";"5630";81;"fr"
"BE";"WAL";"Villers-Le-Peuplier";"4280";4;"fr"
"BE";"WAL";"Rahier";"4987";4;"fr"
"BE";"WAL";"Gelbressée";"5024";81;"fr"
"BE";"WAL";"Voroux-Lez-Liers";"4451";4;"fr"
"BE";"WAL";"Mesnil-Saint-Blaise";"5560";81;"fr"
"BE";"BRU";"Evere";"1140";2;"fr"
"BE";"WAL";"Hody";"4162";4;"fr"
"BE";"WAL";"Crupet";"5332";81;"fr"
"BE";"VLG";"Weelde";"2381";3;"nl"
"BE";"WAL";"Hingeon";"5380";81;"fr"
"BE";"VLG";"Tongeren";"3700";12;"nl"
"BE";"WAL";"Vieux-Waleffe";"4530";4;"fr"
"BE";"WAL";"Boirs";"4690";4;"fr"
"BE";"WAL";"Bellevaux-Ligneuville";"4960";4;"fr"
"BE";"WAL";"Berloz";"4257";4;"fr"
"BE";"WAL";"Lamontzée";"4210";4;"fr"
"BE";"WAL";"Oizy";"5555";81;"fr"
"BE";"VLG";"Bredene";"8450";59;"nl"
"BE";"VLG";"Broechem";"2520";3;"nl"
"BE";"WAL";"Vedrin";"5020";81;"fr"
"BE";"WAL";"Lives-Sur-Meuse";"5101";81;"fr"
"BE";"WAL";"Flémalle-Grande";"4400";4;"fr"
"BE";"WAL";"Romerée";"5680";81;"fr"
"BE";"WAL";"Rotheux-Rimière";"4120";4;"fr"
"BE";"WAL";"Gesves";"5340";81;"fr"
"BE";"VLG";"Wommelgem";"2160";3;"nl"
"BE";"WAL";"Tinlot";"4557";4;"fr"
"BE";"WAL";"Arsimont";"5060";81;"fr"
"BE";"WAL";"Rocherath";"4761";4;"fr"
"BE";"VLG";"Breendonk";"2870";3;"nl"
"BE";"WAL";"Mouzaive";"5550";81;"fr"
"BE";"WAL";"Bas-Oha";"4520";4;"fr"
"BE";"WAL";"Hollogne-Aux-Pierres";"4460";4;"fr"
"BE";"WAL";"Charneux";"4654";4;"fr"
"BE";"WAL";"Somme-Leuze";"5377";81;"fr"
"BE";"WAL";"Vaux-Sous-Chèvremont";"4051";4;"fr"
"BE";"VLG";"Borgerhout";"2140";3;"nl"
"BE";"WAL";"Abée";"4557";4;"fr"
