state.id;city;county;postalCode;areaCode
AC;Acrelândia;Acrelândia;62335-802;68
AC;Assis Brasil;Assis Brasil;69349-549;68
AC;Brasiléia;Brasiléia;66669-861;68
AC;Bujari;Bujari;61494-711;68
AC;Capixaba;Capixaba;61142-532;68
AC;Cruzeiro do Sul;Cruzeiro do Sul;63400-135;68
AC;Epitaciolândia;Epitaciolândia;68977-175;68
AC;Feijó;Feijó;69044-230;68
AC;Jordão;Jordão;67004-566;68
AC;Mâncio Lima;Mâncio Lima;67211-037;68
AC;Manoel Urbano;Manoel Urbano;66396-744;68
AC;Marechal Thaumaturgo;Marechal Thaumaturgo;69643-981;68
AC;Plácido de Castro;Plácido de Castro;67641-958;68
AC;Porto Acre;Porto Acre;60487-217;68
AC;Porto Walter;Porto Walter;61631-245;68
AC;Rio Branco;Rio Branco;69243-108;68
AC;Rodrigues Alves;Rodrigues Alves;62708-181;68
AC;Santa Rosa do Purus;Santa Rosa do Purus;66372-885;68
AC;Sena Madureira;Sena Madureira;64243-448;68
AC;Senador Guiomard;Senador Guiomard;65974-138;68
AC;Tarauacá;Tarauacá;68751-756;68
AC;Xapuri;Xapuri;69539-694;68
AL;Água Branca;Água Branca;58410-361;82
AL;Anadia;Anadia;52665-782;82
AL;Arapiraca;Arapiraca;53732-770;82
AL;Atalaia;Atalaia;55824-209;82
AL;Barra de São Miguel;Barra de São Miguel;52855-831;82
AL;Barra de Santo Antônio;Barra de Santo Antônio;52641-876;82
AL;Batalha;Batalha;58298-236;82
AL;Belém;Belém;54874-664;82
AL;Belo Monte;Belo Monte;54217-713;82
AL;Boca da Mata;Boca da Mata;54986-428;82
AL;Branquinha;Branquinha;56937-473;82
AL;Cacimbinhas;Cacimbinhas;51663-039;82
AL;Cajueiro;Cajueiro;51959-280;82
AL;Campestre;Campestre;51360-748;82
AL;Campo Alegre;Campo Alegre;58011-301;82
AL;Campo Grande;Campo Grande;54480-639;82
AL;Canapi;Canapi;51462-389;82
AL;Capela;Capela;54066-578;82
AL;Carneiros;Carneiros;54662-749;82
AL;Chã Preta;Chã Preta;56860-902;82
AL;Coité do Nóia;Coité do Nóia;57197-216;82
AL;Colônia Leopoldina;Colônia Leopoldina;50943-657;82
AL;Coqueiro Seco;Coqueiro Seco;57657-868;82
AL;Coruripe;Coruripe;53598-323;82
AL;Craíbas;Craíbas;55790-033;82
AL;Delmiro Gouveia;Delmiro Gouveia;59266-491;82
AL;Dois Riachos;Dois Riachos;52730-711;82
AL;Estrela de Alagoas;Estrela de Alagoas;52621-792;82
AL;Feira Grande;Feira Grande;51256-995;82
AL;Feliz Deserto;Feliz Deserto;54707-575;82
AL;Flexeiras;Flexeiras;56347-798;82
AL;Girau do Ponciano;Girau do Ponciano;51479-263;82
AL;Ibateguara;Ibateguara;50428-916;82
AL;Igaci;Igaci;59004-107;82
AL;Igreja Nova;Igreja Nova;50145-847;82
AL;Inhapi;Inhapi;57544-584;82
AL;Jacaré dos Homens;Jacaré dos Homens;57245-091;82
AL;Jacuípe;Jacuípe;52278-734;82
AL;Japaratinga;Japaratinga;59049-754;82
AL;Jaramataia;Jaramataia;58236-820;82
AL;Jequiá da Praia;Jequiá da Praia;58240-926;82
AL;Joaquim Gomes;Joaquim Gomes;53402-385;82
AL;Jundiá;Jundiá;51082-192;82
AL;Junqueiro;Junqueiro;56620-181;82
AL;Lagoa da Canoa;Lagoa da Canoa;56259-477;82
AL;Limoeiro de Anadia;Limoeiro de Anadia;56618-868;82
AL;Maceió;Maceió;50660-427;82
AL;Major Isidoro;Major Isidoro;59187-934;82
AL;Mar Vermelho;Mar Vermelho;57658-568;82
AL;Maragogi;Maragogi;58393-159;82
AL;Maravilha;Maravilha;53336-930;82
AL;Marechal Deodoro;Marechal Deodoro;57280-924;82
AL;Maribondo;Maribondo;50169-289;82
AL;Mata Grande;Mata Grande;55733-565;82
AL;Matriz de Camaragibe;Matriz de Camaragibe;57401-801;82
AL;Messias;Messias;56383-536;82
AL;Minador do Negrão;Minador do Negrão;56184-068;82
AL;Monteirópolis;Monteirópolis;52196-560;82
AL;Murici;Murici;51225-064;82
AL;Novo Lino;Novo Lino;51379-264;82
AL;Olho d'Água das Flores;Olho d'Água das Flores;56819-855;82
AL;Olho d'Água do Casado;Olho d'Água do Casado;51898-565;82
AL;Olho d'Água Grande;Olho d'Água Grande;50431-787;82
AL;Olivença;Olivença;52900-902;82
AL;Ouro Branco;Ouro Branco;59007-621;82
AL;Pão de Açúcar;Pão de Açúcar;52430-772;82
AL;Palestina;Palestina;56128-975;82
AL;Palmeira dos Índios;Palmeira dos Índios;56173-220;82
AL;Pariconha;Pariconha;58518-488;82
AL;Paripueira;Paripueira;59845-988;82
AL;Passo de Camaragibe;Passo de Camaragibe;50346-487;82
AL;Paulo Jacinto;Paulo Jacinto;53145-167;82
AL;Penedo;Penedo;50924-151;82
AL;Piaçabuçu;Piaçabuçu;54802-529;82
AL;Pilar;Pilar;57202-031;82
AL;Pindoba;Pindoba;53120-937;82
AL;Piranhas;Piranhas;53758-969;82
AL;Poço das Trincheiras;Poço das Trincheiras;52935-508;82
AL;Porto Calvo;Porto Calvo;50672-792;82
AL;Porto de Pedras;Porto de Pedras;54788-925;82
AL;Porto Real do Colégio;Porto Real do Colégio;54753-090;82
AL;Quebrangulo;Quebrangulo;52531-056;82
AL;Rio Largo;Rio Largo;58944-493;82
AL;Roteiro;Roteiro;54732-318;82
AL;São Brás;São Brás;54893-140;82
AL;São José da Laje;São José da Laje;56692-687;82
AL;São José da Tapera;São José da Tapera;56638-602;82
AL;São Luís do Quitunde;São Luís do Quitunde;55013-894;82
AL;São Miguel dos Campos;São Miguel dos Campos;50256-447;82
