"state.country.isoCode";"state.id";"name";"postalCode";"areaCode";"language"
"CA";"AB";"Wainwright";"T0B";587;"en"
"CA";"AB";"Wainwright";"T0B";780;"en"
"CA";"AB";"Stettler";"T0C";403;"en"
"CA";"AB";"Stettler";"T0C";587;"en"
"CA";"AB";"Slave Lake";"T0G";587;"en"
"CA";"AB";"Slave Lake";"T0G";780;"en"
"CA";"AB";"Medicine Hat";"T1A";403;"en"
"CA";"AB";"Medicine Hat";"T1A";587;"en"
"CA";"AB";"Medicine Hat";"T1B";403;"en"
"CA";"AB";"Medicine Hat";"T1B";587;"en"
"CA";"AB";"Medicine Hat";"T1C";403;"en"
"CA";"AB";"Medicine Hat";"T1C";587;"en"
"CA";"AB";"Taber";"T1G";403;"en"
"CA";"AB";"Taber";"T1G";587;"en"
"CA";"AB";"Lethbridge";"T1H";403;"en"
"CA";"AB";"Lethbridge";"T1H";587;"en"
"CA";"AB";"Lethbridge";"T1J";403;"en"
"CA";"AB";"Lethbridge";"T1J";587;"en"
"CA";"AB";"Lethbridge";"T1K";403;"en"
"CA";"AB";"Lethbridge";"T1K";587;"en"
"CA";"AB";"Banff";"T1L";403;"en"
"CA";"AB";"Banff";"T1L";587;"en"
"CA";"AB";"Coaldale";"T1M";403;"en"
"CA";"AB";"Coaldale";"T1M";587;"en"
"CA";"AB";"Strathmore";"T1P";403;"en"
"CA";"AB";"Strathmore";"T1P";587;"en"
"CA";"AB";"Brooks";"T1R";403;"en"
"CA";"AB";"Brooks";"T1R";587;"en"
"CA";"AB";"Okotoks";"T1S";403;"en"
"CA";"AB";"Okotoks";"T1S";587;"en"
"CA";"AB";"High River";"T1V";403;"en"
"CA";"AB";"High River";"T1V";587;"en"
"CA";"AB";"Canmore";"T1W";403;"en"
"CA";"AB";"Canmore";"T1W";587;"en"
"CA";"AB";"Calgary";"T1Y";403;"en"
"CA";"AB";"Calgary";"T1Y";587;"en"
"CA";"AB";"Calgary";"T1Y";825;"en"
"CA";"AB";"Calgary";"T2A";403;"en"
"CA";"AB";"Calgary";"T2A";587;"en"
"CA";"AB";"Calgary";"T2A";825;"en"
"CA";"AB";"Calgary";"T2B";403;"en"
"CA";"AB";"Calgary";"T2B";587;"en"
"CA";"AB";"Calgary";"T2B";825;"en"
"CA";"AB";"Calgary";"T2C";403;"en"
"CA";"AB";"Calgary";"T2C";587;"en"
"CA";"AB";"Calgary";"T2C";825;"en"
"CA";"AB";"Calgary";"T2E";403;"en"
"CA";"AB";"Calgary";"T2E";587;"en"
"CA";"AB";"Calgary";"T2E";825;"en"
"CA";"BC";"Victoria";"T2G";236;"en"
"CA";"BC";"Victoria";"T2G";250;"en"
"CA";"AB";"Calgary";"T2G";403;"en"
"CA";"AB";"Calgary";"T2G";587;"en"
"CA";"BC";"Victoria";"T2G";778;"en"
"CA";"AB";"Calgary";"T2G";825;"en"
"CA";"AB";"Calgary";"T2H";403;"en"
"CA";"AB";"Calgary";"T2H";587;"en"
"CA";"AB";"Calgary";"T2H";825;"en"
"CA";"AB";"Calgary";"T2J";403;"en"
"CA";"AB";"Calgary";"T2J";587;"en"
"CA";"AB";"Calgary";"T2J";825;"en"
"CA";"AB";"Calgary";"T2K";403;"en"
"CA";"AB";"Calgary";"T2K";587;"en"
"CA";"AB";"Calgary";"T2K";825;"en"
"CA";"ON";"Collingwood";"T2L";249;"en"
"CA";"AB";"Calgary";"T2L";403;"en"
"CA";"AB";"Calgary";"T2L";587;"en"
"CA";"ON";"Collingwood";"T2L";705;"en"
"CA";"AB";"Calgary";"T2L";825;"en"
"CA";"BC";"Trail";"T2M";250;"en"
"CA";"AB";"Calgary";"T2M";403;"en"
"CA";"AB";"Banff";"T2M";403;"en"
"CA";"AB";"Calgary";"T2M";587;"en"
"CA";"AB";"Banff";"T2M";587;"en"
"CA";"BC";"Trail";"T2M";778;"en"
"CA";"AB";"Calgary";"T2M";825;"en"
"CA";"AB";"Calgary";"T2N";403;"en"
"CA";"AB";"Calgary";"T2N";587;"en"
"CA";"AB";"Calgary";"T2N";825;"en"
"CA";"AB";"Calgary";"T2P";403;"en"
"CA";"AB";"Calgary";"T2P";587;"en"
"CA";"AB";"Calgary";"T2P";825;"en"
"CA";"BC";"Victoria";"T2R";236;"en"
"CA";"BC";"Victoria";"T2R";250;"en"
"CA";"AB";"Calgary";"T2R";403;"en"
"CA";"AB";"Calgary";"T2R";587;"en"
"CA";"BC";"Victoria";"T2R";778;"en"
"CA";"AB";"Calgary";"T2R";825;"en"
"CA";"AB";"Calgary";"T2S";403;"en"
"CA";"AB";"Calgary";"T2S";587;"en"
"CA";"AB";"Calgary";"T2S";825;"en"
"CA";"BC";"Richmond";"T2T";236;"en"
"CA";"AB";"Calgary";"T2T";403;"en"
"CA";"AB";"Calgary";"T2T";587;"en"
"CA";"BC";"Richmond";"T2T";604;"en"
"CA";"BC";"Richmond";"T2T";778;"en"
"CA";"AB";"Calgary";"T2T";825;"en"
"CA";"ON";"Windsor";"T2V";226;"en"
"CA";"AB";"Calgary";"T2V";403;"en"
"CA";"ON";"Windsor";"T2V";519;"en"
"CA";"AB";"Calgary";"T2V";587;"en"
"CA";"QC";"Windsor";"T2V";819;"fr"
"CA";"AB";"Calgary";"T2V";825;"en"
"CA";"AB";"Calgary";"T2W";403;"en"
"CA";"AB";"Calgary";"T2W";587;"en"
"CA";"AB";"Calgary";"T2W";825;"en"
"CA";"AB";"Calgary";"T2X";403;"en"
"CA";"AB";"Calgary";"T2X";587;"en"
"CA";"AB";"Calgary";"T2X";825;"en"
