"state.country.isoCode";"state.id";"name";"postalCode";"areaCode";"language"
"CZ";"31";"Nové Hutě";"385 01";"39";"cs"
"CZ";"42";"Čepirohy";"434 01";"47";"cs"
"CZ";"71";"Kociánov";"788 11";"58";"cs"
"CZ";"31";"Mostky";"382 41";"39";"cs"
"CZ";"20";"Křečkov";"290 01";"32";"cs"
"CZ";"31";"Chlumany";"384 22";"39";"cs"
"CZ";"80";"Horní Tošanovice";"739 53";"55";"cs"
"CZ";"31";"Kakovice";"387 01";"39";"cs"
"CZ";"42";"Bynovec";"407 14";"47";"cs"
"CZ";"63";"Pávov";"586 01";"56";"cs"
"CZ";"64";"Petrovice";"672 01";"53";"cs"
"CZ";"52";"Havlovice";"542 38";"49";"cs"
"CZ";"20";"Karlova Ves";"270 23";"31";"cs"
"CZ";"64";"Zblovice";"671 07";"53";"cs"
"CZ";"71";"Čelechovice na Hané";"798 16";"58";"cs"
"CZ";"64";"Březina";"679 05";"53";"cs"
"CZ";"63";"Píšť";"396 01";"56";"cs"
"CZ";"31";"Rzavá";"391 37";"39";"cs"
"CZ";"64";"Vranovice";"691 25";"51";"cs"
"CZ";"31";"Sobědraž";"399 01";"39";"cs"
"CZ";"31";"Kladruby";"387 16";"38";"cs"
"CZ";"42";"Opočno";"440 01";"41";"cs"
"CZ";"42";"Dobkovice";"407 03";"41";"cs"
"CZ";"72";"Cvrčovice";"768 02";"57";"cs"
"CZ";"20";"Strenice";"294 30";"32";"cs"
"CZ";"80";"Pod Cvilínem";"794 01";"55";"cs"
"CZ";"52";"Zdoňov";"549 57";"49";"cs"
"CZ";"42";"Chmelnice-Děčín XXV";"405 02";"41";"cs"
"CZ";"32";"Újezd u Kasejovic";"335 44";"37";"cs"
"CZ";"63";"Předín";"675 27";"56";"cs"
"CZ";"32";"Kdyně";"345 06";"37";"cs"
"CZ";"42";"Jedlka";"407 22";"47";"cs"
"CZ";"20";"Zásmuky";"281 44";"32";"cs"
"CZ";"41";"Nežichov";"330 41";"35";"cs"
"CZ";"31";"Podeřiště";"384 11";"38";"cs"
"CZ";"53";"Stanovník";"561 64";"46";"cs"
"CZ";"42";"Sedčice";"438 01";"47";"cs"
"CZ";"63";"Štěměchy";"675 27";"56";"cs"
