"state.country.isoCode";"state.id";"name";"postalCode";"areaCode";"language"
"EE";"01";"Ääsmäe";"76402";"60";"et"
"EE";"01";"Ääsmäe";"76402";"61";"et"
"EE";"01";"Ääsmäe";"76402";"62";"et"
"EE";"01";"Ääsmäe";"76402";"63";"et"
"EE";"01";"Ääsmäe";"76402";"64";"et"
"EE";"01";"Ääsmäe";"76402";"65";"et"
"EE";"01";"Ääsmäe";"76402";"66";"et"
"EE";"01";"Ääsmäe";"76402";"67";"et"
"EE";"01";"Ääsmäe";"76402";"68";"et"
"EE";"01";"Aavere";"74417";"60";"et"
"EE";"01";"Aavere";"74417";"61";"et"
"EE";"01";"Aavere";"74417";"62";"et"
"EE";"01";"Aavere";"74417";"63";"et"
"EE";"01";"Aavere";"74417";"64";"et"
"EE";"01";"Aavere";"74417";"65";"et"
"EE";"01";"Aavere";"74417";"66";"et"
"EE";"01";"Aavere";"74417";"67";"et"
"EE";"01";"Aavere";"74417";"68";"et"
"EE";"01";"Aaviku";"75305";"60";"et"
"EE";"01";"Aaviku";"75305";"61";"et"
"EE";"01";"Aaviku";"75305";"62";"et"
"EE";"01";"Aaviku";"75305";"63";"et"
"EE";"01";"Aaviku";"75305";"64";"et"
"EE";"01";"Aaviku";"75305";"65";"et"
"EE";"01";"Aaviku";"75305";"66";"et"
"EE";"01";"Aaviku";"75305";"67";"et"
"EE";"01";"Aaviku";"75305";"68";"et"
"EE";"01";"Adra";"76704";"60";"et"
"EE";"01";"Adra";"76704";"61";"et"
"EE";"01";"Adra";"76704";"62";"et"
"EE";"01";"Adra";"76704";"63";"et"
"EE";"01";"Adra";"76704";"64";"et"
"EE";"01";"Adra";"76704";"65";"et"
"EE";"01";"Adra";"76704";"66";"et"
"EE";"01";"Adra";"76704";"67";"et"
"EE";"01";"Adra";"76704";"68";"et"
"EE";"01";"Aegviidu";"74501";"60";"et"
"EE";"01";"Aegviidu";"74501";"61";"et"
"EE";"01";"Aegviidu";"74501";"62";"et"
"EE";"01";"Aegviidu";"74501";"63";"et"
"EE";"01";"Aegviidu";"74501";"64";"et"
"EE";"01";"Aegviidu";"74501";"65";"et"
"EE";"01";"Aegviidu";"74501";"66";"et"
"EE";"01";"Aegviidu";"74501";"67";"et"
"EE";"01";"Aegviidu";"74501";"68";"et"
"EE";"01";"Aela";"75004";"60";"et"
"EE";"01";"Aela";"75004";"61";"et"
"EE";"01";"Aela";"75004";"62";"et"
"EE";"01";"Aela";"75004";"63";"et"
"EE";"01";"Aela";"75004";"64";"et"
"EE";"01";"Aela";"75004";"65";"et"
"EE";"01";"Aela";"75004";"66";"et"
"EE";"01";"Aela";"75004";"67";"et"
"EE";"01";"Aela";"75004";"68";"et"
"EE";"01";"Ahisilla";"75111";"60";"et"
"EE";"01";"Ahisilla";"75111";"61";"et"
"EE";"01";"Ahisilla";"75111";"62";"et"
"EE";"01";"Ahisilla";"75111";"63";"et"
"EE";"01";"Ahisilla";"75111";"64";"et"
"EE";"01";"Ahisilla";"75111";"65";"et"
"EE";"01";"Ahisilla";"75111";"66";"et"
"EE";"01";"Ahisilla";"75111";"67";"et"
"EE";"01";"Ahisilla";"75111";"68";"et"
