"state.country.isoCode";"state.id";"name";"postalCode";"areaCode";"language"
"FR";"32";"Franleu";"80210";3;"fr"
"FR";"76";"Narbonne";"11103 CEDEX";4;"fr"
"FR";"32";"Fricamps";"80290";3;"fr"
"FR";"11";"Plessis-Saint-Benoist";"91410";1;"fr"
"FR";"84";"Jardin";"38200";4;"fr"
"FR";"84";"Évosges";"01230";4;"fr"
"FR";"75";"Biarritz";"64206 CEDEX";5;"fr"
"FR";"44";"Villery";"10320";3;"fr"
"FR";"28";"Argences";"14370";2;"fr"
"FR";"75";"Aydius";"64490";5;"fr"
"FR";"32";"Hulluch";"62410";3;"fr"
"FR";"27";"Aboncourt-Gesincourt";"70500";3;"fr"
"FR";"94";"Piana";"20115";4;"fr"
"FR";"28";"Le Mesnil-Villement";"14690";2;"fr"
"FR";"53";"Saint-Pabu";"29830";2;"fr"
"FR";"52";"La Guyonnière";"85600";2;"fr"
"FR";"84";"Lyon";"69345 CEDEX 07";4;"fr"
"FR";"75";"Saint-Gilles-les-Forêts";"87130";5;"fr"
"FR";"11";"Arcueil";"94112 CEDEX";1;"fr"
"FR";"84";"Rémuzat";"26510";4;"fr"
"FR";"11";"Fontenay-sous-Bois";"94122 CEDEX";1;"fr"
"FR";"32";"Bournonville";"62240";3;"fr"
"FR";"28";"Caen";"14024 CEDEX 5";2;"fr"
"FR";"32";"Libermont";"60640";3;"fr"
"FR";"52";"La Flocellière";"85700";2;"fr"
"FR";"11";"Courtaboeuf";"91964 CEDEX";1;"fr"
"FR";"94";"Rusio";"20244";4;"fr"
"FR";"24";"Mézières-lez-Cléry";"45370";2;"fr"
"FR";"44";"Seranville";"54830";3;"fr"
"FR";"53";"Yvignac-la-Tour";"22350";2;"fr"
"FR";"94";"Poggio-di-Nazza";"20240";4;"fr"
"FR";"11";"Montreuil";"93183 CEDEX";1;"fr"
"FR";"32";"Hancourt";"80240";3;"fr"
"FR";"32";"Seringes-et-Nesles";"02130";3;"fr"
"FR";"52";"Grazay";"53440";2;"fr"
"FR";"44";"Colmar";"68004 CEDEX";3;"fr"
"FR";"53";"La Croix-Helléan";"56120";2;"fr"
"FR";"75";"Nalliers";"86310";5;"fr"
"FR";"44";"Ortillon";"10700";3;"fr"
"FR";"11";"Paris";"75635 CEDEX 13";1;"fr"
"FR";"75";"Hagetmau";"40705 CEDEX";5;"fr"
"FR";"27";"Dijon";"21044 CEDEX";3;"fr"
"FR";"24";"Léouville";"45480";2;"fr"
"FR";"11";"Bondy";"93141 CEDEX";1;"fr"
"FR";"44";"Éton";"55240";3;"fr"
"FR";"44";"Niffer";"68680";3;"fr"
"FR";"24";"Nogent-le-Rotrou";"28400";2;"fr"
"FR";"11";"Dampmart";"77400";1;"fr"
"FR";"84";"Châteauneuf-de-Galaure";"26330";4;"fr"
"FR";"44";"Saint-Dizier";"52111 CEDEX";3;"fr"
"FR";"53";"Brest";"29218 CEDEX 2";2;"fr"
"FR";"11";"Marne-la-Vallée";"77205 CEDEX 1";1;"fr"
"FR";"52";"Saint-Jean-sur-Erve";"53270";2;"fr"
"FR";"27";"Saint-Prix-lès-Arnay";"21230";3;"fr"
"FR";"76";"Marseillan";"34340";4;"fr"
"FR";"44";"Grundviller";"57510";3;"fr"
"FR";"84";"Le Pont-de-Beauvoisin";"73330";4;"fr"
"FR";"76";"Cérizols";"09230";4;"fr"
"FR";"24";"Vouzon";"41600";2;"fr"
"FR";"24";"Fortan";"41360";2;"fr"
"FR";"11";"Colombes";"92708 CEDEX";1;"fr"
"FR";"27";"Crosey-le-Petit";"25340";3;"fr"
"FR";"27";"Villiers-sur-Yonne";"58500";3;"fr"
"FR";"84";"Civrieux";"01390";4;"fr"
"FR";"27";"Gondenans-Montby";"25340";3;"fr"
"FR";"24";"Semoy";"45400";2;"fr"
"FR";"84";"Tence";"43190";4;"fr"
"FR";"84";"La Compôte";"73630";4;"fr"
"FR";"52";"Saint-Mars-du-Désert";"53700";2;"fr"
"FR";"28";"Ancourt";"76370";2;"fr"
"FR";"52";"Semur-en-Vallon";"72390";2;"fr"
"FR";"27";"Verdun-sur-le-Doubs";"71350";3;"fr"
"FR";"32";"Humbercamps";"62158";3;"fr"
"FR";"84";"Usclades-et-Rieutord";"07510";4;"fr"
"FR";"76";"Lamarque-Rustaing";"65220";4;"fr"
"FR";"76";"Gensac";"82120";4;"fr"
"FR";"44";"Hartzviller";"57870";3;"fr"
"FR";"44";"Donnenheim";"67170";3;"fr"
"FR";"27";"Verzé";"71960";3;"fr"
"FR";"84";"Feyzin";"69551 CEDEX";4;"fr"
"FR";"11";"Domont";"95573 CEDEX";1;"fr"
"FR";"32";"Lens";"62302 CEDEX";3;"fr"
"FR";"93";"Les Thuiles";"04400";4;"fr"
"FR";"84";"Saint-Martin-de-Fugères";"43150";4;"fr"
"FR";"27";"Pluvet";"21110";3;"fr"
"FR";"53";"Landerneau";"29208 CEDEX";2;"fr"
"FR";"93";"Salon-de-Provence";"13669 CEDEX";4;"fr"
"FR";"76";"Nîmes";"30013 CEDEX 1";4;"fr"
"FR";"44";"Mittelhausbergen";"67206";3;"fr"
"FR";"52";"Angers";"49927 CEDEX 9";2;"fr"
"FR";"44";"Mirecourt";"88504 CEDEX";3;"fr"
"FR";"24";"Montargis";"45200";2;"fr"
"FR";"76";"Portet-d'Aspet";"31160";4;"fr"
"FR";"24";"Poisieux";"18290";2;"fr"
"FR";"52";"Auzay";"85200";2;"fr"
"FR";"75";"Saint-Bonnet-sur-Gironde";"17150";5;"fr"
"FR";"27";"Gray";"70103 CEDEX";3;"fr"
"FR";"24";"Treilles-en-Gâtinais";"45490";2;"fr"
"FR";"11";"Paris";"75564 CEDEX 12";1;"fr"
"FR";"76";"Lectoure";"32700";4;"fr"
"FR";"27";"Ouroux-sous-le-Bois-Sainte-Marie";"71800";3;"fr"
"FR";"52";"Saint-Laurent-des-Autels";"49270";2;"fr"
