"state.country.isoCode";"state.id";"name";"postalCode";"areaCode";"language"
LI;"01";Balzers;"9496";"7003";"de"
LI;"02";Nendeln;"9485";"7007";"de"
LI;"02";Eschen;"9492";"7007";"de"
LI;"03";Gamprin-Bendern;"9487";"7009";"de"
LI;"04";Mauren FL;"9493";"7008";"de"
LI;"04";Schaanwald;"9486";"7008";"de"
LI;"05";Planken;"9498";"7006";"de"
LI;"06";Ruggell;"9491";"7010";"de"
LI;"07";Schaan;"9494";"7005";"de"
LI;"08";Schellenberg;"9488";"7011";"de"
LI;"09";Triesen;"9495";"7002";"de"
LI;"10";Triesenberg;"9497";"7004";"de"
LI;"11";Vaduz;"9490";"7001";"de"
