"state.country.isoCode";"state.id";"name";"postalCode";"areaCode";"language"
"PL";"87";"Szczecin";"71-111";"91";"pl"
"PL";"81";"Białystok";"15-130";"85";"pl"
"PL";"84";"Kielce";"25-617";"41";"pl"
"PL";"77";"Kraków";"30-713";"12";"pl"
"PL";"73";"Bydgoszcz";"85-065";"52";"pl"
"PL";"78";"Warszawa";"02-997";"22";"pl"
"PL";"72";"Wrocław";"54-110";"71";"pl"
"PL";"78";"Warszawa";"01-908";"22";"pl"
"PL";"83";"Katowice";"40-524";"32";"pl"
"PL";"73";"Bydgoszcz";"85-567";"52";"pl"
"PL";"75";"Lublin";"20-270";"81";"pl"
"PL";"78";"Warszawa";"02-621";"22";"pl"
"PL";"72";"Wrocław";"50-438";"71";"pl"
"PL";"76";"Zielona Góra";"65-790";"68";"pl"
"PL";"82";"Gdynia";"81-392";"58";"pl"
"PL";"73";"Bydgoszcz";"85-111";"52";"pl"
"PL";"78";"Warszawa";"02-197";"22";"pl"
"PL";"74";"Łódź";"91-066";"42";"pl"
"PL";"87";"Szczecin";"70-445";"91";"pl"
"PL";"76";"Zielona Góra";"65-767";"68";"pl"
"PL";"84";"Kielce";"25-387";"41";"pl"
"PL";"82";"Gdańsk";"80-290";"58";"pl"
"PL";"82";"Gdańsk";"80-895";"58";"pl"
"PL";"76";"Zielona Góra";"65-179";"68";"pl"
"PL";"84";"Kielce";"25-132";"41";"pl"
"PL";"87";"Szczecin";"70-490";"91";"pl"
"PL";"72";"Wrocław";"54-115";"71";"pl"
"PL";"74";"Łódź";"93-431";"42";"pl"
"PL";"75";"Lublin";"20-209";"81";"pl"
"PL";"77";"Kraków";"30-572";"12";"pl"
"PL";"78";"Warszawa";"04-904";"22";"pl"
"PL";"87";"Koszalin";"75-568";"94";"pl"
"PL";"77";"Kraków";"30-219";"12";"pl"
"PL";"85";"Olsztyn";"10-158";"89";"pl"
"PL";"74";"Łódź";"90-307";"42";"pl"
"PL";"72";"Wrocław";"50-375";"71";"pl"
"PL";"86";"Poznań";"60-613";"61";"pl"
"PL";"74";"Łódź";"92-317";"42";"pl"
"PL";"73";"Bydgoszcz";"85-222";"52";"pl"
"PL";"78";"Warszawa";"00-374";"22";"pl"
"PL";"78";"Warszawa";"00-508";"22";"pl"
"PL";"75";"Lublin";"20-858";"81";"pl"
"PL";"86";"Poznań";"60-863";"61";"pl"
"PL";"78";"Warszawa";"04-288";"22";"pl"
"PL";"78";"Warszawa";"00-384";"22";"pl"
"PL";"72";"Wrocław";"50-555";"71";"pl"
"PL";"77";"Kraków";"30-807";"12";"pl"
"PL";"72";"Wrocław";"51-211";"71";"pl"
"PL";"78";"Warszawa";"03-242";"22";"pl"
"PL";"86";"Poznań";"61-562";"61";"pl"
"PL";"74";"Łódź";"92-517";"42";"pl"
"PL";"84";"Kielce";"25-665";"41";"pl"
"PL";"82";"Gdynia";"81-327";"58";"pl"
"PL";"74";"Łódź";"93-457";"42";"pl"
"PL";"73";"Bydgoszcz";"85-316";"52";"pl"
"PL";"84";"Kielce";"25-308";"41";"pl"
"PL";"77";"Kraków";"31-761";"12";"pl"
"PL";"87";"Koszalin";"75-850";"94";"pl"
"PL";"82";"Gdańsk";"80-441";"58";"pl"
"PL";"72";"Wrocław";"50-307";"71";"pl"
"PL";"78";"Warszawa";"04-734";"22";"pl"
"PL";"86";"Poznań";"60-532";"61";"pl"
"PL";"72";"Wrocław";"51-690";"71";"pl"
"PL";"85";"Olsztyn";"10-382";"89";"pl"
"PL";"84";"Kielce";"25-017";"41";"pl"
"PL";"77";"Kraków";"31-836";"12";"pl"
"PL";"76";"Zielona Góra";"65-752";"68";"pl"
"PL";"74";"Łódź";"92-615";"42";"pl"
"PL";"72";"Wrocław";"50-320";"71";"pl"
"PL";"72";"Wrocław";"50-556";"71";"pl"
"PL";"76";"Zielona Góra";"65-183";"68";"pl"
"PL";"86";"Poznań";"61-214";"61";"pl"
"PL";"78";"Warszawa";"03-197";"22";"pl"
"PL";"86";"Poznań";"61-377";"61";"pl"
"PL";"86";"Poznań";"60-736";"61";"pl"
"PL";"83";"Katowice";"40-704";"32";"pl"
"PL";"86";"Poznań";"60-241";"61";"pl"
"PL";"72";"Wrocław";"53-644";"71";"pl"
"PL";"81";"Białystok";"15-717";"85";"pl"
"PL";"77";"Kraków";"30-742";"12";"pl"
"PL";"78";"Warszawa";"01-647";"22";"pl"
"PL";"85";"Olsztyn";"10-215";"89";"pl"
"PL";"87";"Szczecin";"70-495";"91";"pl"
"PL";"78";"Warszawa";"01-796";"22";"pl"
"PL";"83";"Katowice";"40-503";"32";"pl"
"PL";"78";"Warszawa";"04-922";"22";"pl"
"PL";"74";"Łódź";"90-124";"42";"pl"
"PL";"72";"Wrocław";"50-303";"71";"pl"
"PL";"73";"Bydgoszcz";"85-319";"52";"pl"
"PL";"87";"Szczecin";"70-885";"91";"pl"
"PL";"72";"Wrocław";"53-508";"71";"pl"
"PL";"84";"Kielce";"25-012";"41";"pl"
"PL";"81";"Białystok";"15-141";"85";"pl"
