"state.country.isoCode";"state.id";"name";"postalCode";"areaCode";"language"
"SK";"BC";"Ábelová";"985 13";"47";"sk"
"SK";"BC";"Abovce";"980 44";"47";"sk"
"SK";"BC";"Babiná";"962 61";"45";"sk"
"SK";"BC";"Babinec";"980 26";"47";"sk"
"SK";"BC";"Báčovce";"962 68";"45";"sk"
"SK";"BC";"Bacúch";"976 64";"48";"sk"
"SK";"BC";"Bacúrov";"962 61";"45";"sk"
"SK";"BC";"Baďan";"969 01";"45";"sk"
"SK";"BC";"Badín";"976 32";"48";"sk"
"SK";"BC";"Bakta";"979 01";"47";"sk"
"SK";"BC";"Baláže";"976 11";"48";"sk"
"SK";"BC";"Balog nad Ipľom";"991 11";"47";"sk"
"SK";"BC";"Banky";"969 01";"45";"sk"
"SK";"BC";"Banská Belá";"966 15";"45";"sk"
"SK";"BC";"Banská Bystrica";"974 04";"48";"sk"
"SK";"BC";"Banská Bystrica";"974 05";"48";"sk"
"SK";"BC";"Banská Bystrica";"974 09";"48";"sk"
"SK";"BC";"Banská Hodruša";"966 63";"45";"sk"
"SK";"BC";"Banský Studenec";"969 01";"45";"sk"
"SK";"BC";"Barca";"982 51";"47";"sk"
"SK";"BC";"Bartošova Lehôtka";"967 01";"45";"sk"
"SK";"BC";"Bátka";"980 21";"47";"sk"
"SK";"BC";"Bátorová";"991 26";"47";"sk"
"SK";"BC";"Bečov";"974 01";"48";"sk"
"SK";"BC";"Behynce";"982 01";"58";"sk"
"SK";"BC";"Belín";"980 01";"47";"sk"
"SK";"BC";"Belina";"986 01";"47";"sk"
"SK";"BC";"Beluj";"969 01";"45";"sk"
"SK";"BC";"Beňuš";"976 64";"48";"sk"
"SK";"BC";"Biele Vody";"976 53";"48";"sk"
"SK";"BC";"Biskupice";"986 01";"47";"sk"
"SK";"BC";"Blhovce";"980 32";"47";"sk"
"SK";"BC";"Boľkovce";"984 01";"47";"sk"
"SK";"BC";"Bottovo";"980 41";"47";"sk"
"SK";"BC";"Brádno";"982 67";"47";"sk"
"SK";"BC";"Bratkovica";"962 05";"45";"sk"
"SK";"BC";"Braväcovo";"976 64";"48";"sk"
"SK";"BC";"Brehy";"968 01";"45";"sk"
"SK";"BC";"Brestina";"985 53";"47";"sk"
"SK";"BC";"Breziny";"962 61";"45";"sk"
"SK";"BC";"Breznička";"985 02";"47";"sk"
"SK";"BC";"Bruchačka";"976 51";"48";"sk"
"SK";"BC";"Brusník";"982 65";"58";"sk"
"SK";"BC";"Brusník";"991 01";"47";"sk"
"SK";"BC";"Brusno";"976 62";"48";"sk"
"SK";"BC";"Brusno - kúpele";"976 62";"48";"sk"
"SK";"BC";"Budča";"962 33";"45";"sk"
"SK";"BC";"Budička";"962 34";"45";"sk"
"SK";"BC";"Budikovany";"980 23";"47";"sk"
"SK";"BC";"Budiná";"985 12";"47";"sk"
"SK";"BC";"Bujakovo";"977 01";"48";"sk"
"SK";"BC";"Bukovec";"991 02";"47";"sk"
"SK";"BC";"Bukovina";"966 01";"45";"sk"
"SK";"BC";"Bukovina";"968 01";"45";"sk"
"SK";"BC";"Bukovinka";"985 51";"45";"sk"
"SK";"BC";"Bulhary";"986 01";"47";"sk"
"SK";"BC";"Bušince";"991 22";"47";"sk"
"SK";"BC";"Buzitka";"985 41";"47";"sk"
"SK";"BC";"Bystrá";"977 01";"48";"sk"
"SK";"BC";"Bystrička";"985 24";"47";"sk"
"SK";"BC";"Bzenica";"966 01";"45";"sk"
"SK";"BC";"Bzovík";"962 41";"45";"sk"
"SK";"BC";"Bzovská Lehôtka";"962 62";"45";"sk"
"SK";"BC";"Čabradský Vrbovok";"962 51";"45";"sk"
"SK";"BC";"Čačín";"974 01";"48";"sk"
"SK";"BC";"Čakanovce";"985 58";"47";"sk"
"SK";"BC";"Cakov";"980 42";"47";"sk"
"SK";"BC";"Čamovce";"986 01";"47";"sk"
"SK";"BC";"Čebovce";"991 25";"47";"sk"
"SK";"BC";"Čechánky";"985 45";"45";"sk"
"SK";"BC";"Čekovce";"962 41";"45";"sk"
"SK";"BC";"Čeláre";"991 22";"47";"sk"
"SK";"BC";"Čelovce";"991 41";"47";"sk"
"SK";"BC";"Čerenčany";"979 01";"47";"sk"
"SK";"BC";"Čerín";"974 01";"48";"sk"
"SK";"BC";"Cerovo";"962 52";"45";"sk"
"SK";"BC";"Červeň";"985 02";"47";"sk"
"SK";"BC";"Červeňany";"049 64";"58";"sk"
"SK";"BC";"Červeňany";"991 01";"47";"sk"
"SK";"BC";"Červená Skala";"976 71";"48";"sk"
"SK";"BC";"České Brezovo";"985 03";"47";"sk"
"SK";"BC";"Chanava";"980 44";"47";"sk"
"SK";"BC";"Chladná Studňa";"985 26";"47";"sk"
"SK";"BC";"Chotár";"968 01";"45";"sk"
"SK";"BC";"Chrámec";"980 42";"47";"sk"
"SK";"BC";"Chrastince";"991 08";"47";"sk"
"SK";"BC";"Chrťany";"991 21";"47";"sk"
"SK";"BC";"Chvalová";"982 62";"58";"sk"
"SK";"BC";"Chvatimech";"976 81";"48";"sk"
"SK";"BC";"Chyžné";"049 18";"58";"sk"
"SK";"BC";"Čierny Balog";"976 52";"48";"sk"
"SK";"BC";"Čierny Potok";"980 31";"47";"sk"
"SK";"BC";"Cinobaňa";"985 22";"47";"sk"
"SK";"BC";"Číž";"980 43";"47";"sk"
"SK";"BC";"Číž - kúpele";"980 43";"47";"sk"
"SK";"BC";"Dačov Lom";"991 35";"47";"sk"
"SK";"BC";"Dekýš";"969 01";"45";"sk"
"SK";"BC";"Detva";"962 12";"45";"sk"
"SK";"BC";"Detva - sídlisko";"962 12";"45";"sk"
"SK";"BC";"Detvianska Huta";"962 05";"45";"sk"
"SK";"BC";"Devičie";"962 65";"45";"sk"
"SK";"BC";"Diel";"985 53";"47";"sk"
"SK";"BC";"Divín";"985 52";"47";"sk"
"SK";"BC";"Divínske Lazy";"985 52";"47";"sk"
"SK";"BC";"Dobrá Niva";"962 61";"45";"sk"
"SK";"BC";"Dobroč";"976 52";"48";"sk"
"SK";"BC";"Dobroč";"985 53";"47";"sk"
"SK";"BC";"Dobrý Potok";"985 26";"47";"sk"
"SK";"BC";"Dolinka";"991 28";"47";"sk"
"SK";"BC";"Dolinky";"962 63";"45";"sk"
"SK";"BC";"Dolná Bzová";"985 51";"45";"sk"
"SK";"BC";"Dolná Lehota";"976 98";"48";"sk"
"SK";"BC";"Dolná Mičiná";"974 01";"48";"sk"
"SK";"BC";"Dolná Môlča";"974 01";"48";"sk"
"SK";"BC";"Dolná Strehová";"991 02";"47";"sk"
"SK";"BC";"Dolná Trnávka";"966 21";"45";"sk"
"SK";"BC";"Dolná Ves";"967 01";"45";"sk"
"SK";"BC";"Dolná Ždaňa";"966 01";"45";"sk"
"SK";"BC";"Dolné Breziny";"962 61";"45";"sk"
"SK";"BC";"Dolné Hámre";"966 61";"45";"sk"
"SK";"BC";"Dolné Mladonice";"962 41";"45";"sk"
"SK";"BC";"Dolné Plachtince";"991 24";"47";"sk"
"SK";"BC";"Dolné Príbelce";"991 25";"47";"sk"
"SK";"BC";"Dolné Rykynčice";"962 55";"45";"sk"
"SK";"BC";"Dolné Strháre";"991 03";"47";"sk"
"SK";"BC";"Dolné Zahorany";"985 42";"47";"sk"
"SK";"BC";"Dolný Badín";"962 51";"45";"sk"
"SK";"BC";"Dolný Harmanec";"976 03";"48";"sk"
"SK";"BC";"Dolný Jalšovík";"962 41";"45";"sk"
"SK";"BC";"Dolný Jelenec";"976 02";"48";"sk"
"SK";"BC";"Dolný Tisovník";"962 75";"45";"sk"
"SK";"BC";"Domaníky";"962 65";"45";"sk"
"SK";"BC";"Donovaly";"976 39";"48";"sk"
