"state.country.isoCode";"state.id";"name";"postalCode";"areaCode";"language"
"TH";"10";"Bangkok";"10100";2;"th"
"TH";"10";"Bangkok";"10120";2;"th"
"TH";"10";"Bangkok";"10140";2;"th"
"TH";"10";"Bangkok";"10150";2;"th"
"TH";"10";"Bangkok";"10160";2;"th"
"TH";"10";"Bangkok";"10170";2;"th"
"TH";"10";"Bangkok";"10200";2;"th"
"TH";"10";"Bangkok";"10210";2;"th"
"TH";"10";"Bangkok";"10220";2;"th"
"TH";"10";"Bangkok";"10230";2;"th"
"TH";"10";"Bangkok";"10240";2;"th"
"TH";"10";"Bangkok";"10250";2;"th"
"TH";"10";"Bangkok";"10260";2;"th"
"TH";"10";"Bangkok";"10300";2;"th"
"TH";"10";"Bangkok";"10310";2;"th"
"TH";"10";"Bangkok";"10320";2;"th"
"TH";"10";"Bangkok";"10330";2;"th"
"TH";"10";"Bangkok";"10400";2;"th"
"TH";"10";"Bangkok";"10500";2;"th"
"TH";"10";"Bangkok";"10510";2;"th"
"TH";"10";"Bangkok";"10520";2;"th"
"TH";"10";"Bangkok";"10530";2;"th"
"TH";"10";"Bangkok";"10600";2;"th"
"TH";"10";"Bangkok";"10700";2;"th"
"TH";"10";"Bangkok";"10800";2;"th"
"TH";"11";"Phra Pradaeng";"10130";2;"th"
"TH";"11";"Muang Samut Prakan";"10270";2;"th"
"TH";"11";"Phra Samut Chedi";"10290";2;"th"
"TH";"11";"Bang Phli";"10540";2;"th"
"TH";"11";"Bang Saotong";"10540";2;"th"
"TH";"11";"Bang Bo";"10560";2;"th"
"TH";"12";"Muang Nonthaburi";"11000";2;"th"
"TH";"12";"Bang Bua Thong";"11110";2;"th"
"TH";"12";"Pak Kret";"11120";2;"th"
"TH";"12";"Bang Kruai";"11130";2;"th"
"TH";"12";"Bang Yai";"11140";2;"th"
"TH";"12";"Sai Noi";"11150";2;"th"
"TH";"13";"Muang Pathum Thani";"12000";2;"th"
"TH";"13";"Thanyaburi";"12110";2;"th"
"TH";"13";"Khlong Luang";"12120";2;"th"
"TH";"13";"Lat Lum Kaeo";"12140";2;"th"
"TH";"13";"Lam Luk Ka";"12150";2;"th"
"TH";"13";"Sam Khok";"12160";2;"th"
"TH";"13";"Nong Sua";"12170";2;"th"
"TH";"14";"Pharnakhon Si Ayutthaya";"13000";35;"th"
"TH";"14";"Sena";"13110";35;"th"
"TH";"14";"Pak Hai";"13120";35;"th"
"TH";"14";"Tha Rua";"13130";35;"th"
"TH";"14";"Phachi";"13140";35;"th"
"TH";"14";"Maha Rat";"13150";35;"th"
"TH";"14";"Bang Pa-In";"13160";35;"th"
"TH";"14";"Wang Noi";"13170";35;"th"
"TH";"14";"Bang Sai";"13190";35;"th"
"TH";"14";"Uthai";"13210";35;"th"
"TH";"14";"Bang Pahan";"13220";35;"th"
"TH";"14";"Lat Bua Luang";"13230";35;"th"
"TH";"14";"Ban Phraek";"13240";35;"th"
"TH";"14";"Bang Ban";"13250";35;"th"
"TH";"14";"Nakhon Luang";"13260";35;"th"
"TH";"14";"Bang Sai";"13270";35;"th"
"TH";"15";"Muang ANG THONG";"14000";35;"th"
"TH";"15";"Wiset Chai Chan";"14110";35;"th"
"TH";"15";"Pho Thong";"14120";35;"th"
"TH";"15";"Pa Mok";"14130";35;"th"
"TH";"15";"Chaiyo";"14140";35;"th"
"TH";"15";"Sawaengha";"14150";35;"th"
"TH";"15";"Samko";"14160";35;"th"
"TH";"16";"Muang Lopburi";"15000";36;"th"
"TH";"16";"Ban Mi";"15110";36;"th"
"TH";"16";"Khok Samrong";"15120";36;"th"
"TH";"16";"Tha Luang";"15130";36;"th"
"TH";"16";"Chai Badan";"15130";36;"th"
"TH";"16";"Phattana Nikhom";"15140";36;"th"
"TH";"16";"Tha Wung";"15150";36;"th"
"TH";"16";"Nong Muang";"15170";36;"th"
"TH";"16";"Lum Sunthi";"15190";36;"th"
"TH";"16";"Sa Bot";"15240";36;"th"
"TH";"16";"Khok Charoen";"15250";36;"th"
"TH";"17";"Muang Sing Buri";"16000";36;"th"
"TH";"17";"In Buri";"16110";36;"th"
"TH";"17";"Phrom Buri";"16120";36;"th"
"TH";"17";"Bang Rachan";"16130";36;"th"
"TH";"17";"Tha Chang";"16140";36;"th"
"TH";"17";"Khai Bang Rachan";"16150";36;"th"
"TH";"18";"Muang Chainat";"17000";56;"th"
"TH";"18";"Nong Mamong";"17100";56;"th"
"TH";"18";"Manorom";"17110";56;"th"
"TH";"18";"Wat Sing";"17120";56;"th"
"TH";"18";"Hankha";"17130";56;"th"
"TH";"18";"Non Kham";"17130";56;"th"
"TH";"18";"Sankhaburi";"17140";56;"th"
"TH";"18";"Sanphaya";"17150";56;"th"
"TH";"19";"Chaloem Phakiat";"18000";36;"th"
"TH";"19";"Muang Saraburi";"18000";36;"th"
"TH";"19";"Kaeng Khoi";"18110";36;"th"
"TH";"19";"Phra Phutthabat";"18120";36;"th"
"TH";"19";"Ban Mo";"18130";36;"th"
"TH";"19";"Nong Khae";"18140";36;"th"
"TH";"19";"Wihan Daeng";"18150";36;"th"
"TH";"19";"Sao Hai";"18160";36;"th"
"TH";"19";"Nong Saeng";"18170";36;"th"
"TH";"19";"Muak Lek";"18180";36;"th"
"TH";"19";"Nong Doan";"18190";36;"th"
"TH";"19";"Don Phut";"18210";36;"th"
"TH";"19";"Wang Muang";"18220";36;"th"
"TH";"20";"Muang Chonburi";"20000";38;"th"
"TH";"20";"Si Racha";"20110";38;"th"
"TH";"20";"Ko Sichang";"20120";38;"th"
"TH";"20";"Phanat Nikhom";"20140";38;"th"
"TH";"20";"Bang Lamung";"20150";38;"th"
"TH";"20";"Phan Thong";"20160";38;"th"
"TH";"20";"Ban Bung";"20170";38;"th"
"TH";"20";"Sattahip";"20180";38;"th"
"TH";"20";"Nong Yai";"20190";38;"th"
"TH";"20";"Ko Chan";"20240";38;"th"
"TH";"20";"Bo Thong";"20270";38;"th"
"TH";"21";"Muang Rayong";"21000";38;"th"
"TH";"21";"Khao Chamao";"21110";38;"th"
"TH";"21";"Klaeng";"21110";38;"th"
"TH";"21";"Ban Khai";"21120";38;"th"
"TH";"21";"Ban Chang";"21130";38;"th"
"TH";"21";"Pluak Daeng";"21140";38;"th"
"TH";"21";"Nikhom Pattana";"21180";38;"th"
"TH";"21";"Wang Chan";"21210";38;"th"
"TH";"22";"Muang Chanthaburi";"22000";39;"th"
"TH";"22";"Khlung";"22110";39;"th"
"TH";"22";"Tha Mai";"22120";39;"th"
"TH";"22";"Laem Sing";"22130";39;"th"
"TH";"22";"Pong Nam Ron";"22140";39;"th"
"TH";"22";"Makham";"22150";39;"th"
"TH";"22";"Na Yai Am";"22160";39;"th"
"TH";"22";"Kaeng Hang Maew";"22160";39;"th"
"TH";"22";"Soi Dao";"22180";39;"th"
"TH";"22";"Khao Kitchakut";"22210";39;"th"
"TH";"23";"Muang Trat";"23000";39;"th"
"TH";"23";"Ko Kud";"23000";39;"th"
"TH";"23";"Khlong Yai";"23110";39;"th"
"TH";"23";"Laem Ngob";"23120";39;"th"
"TH";"23";"Ko Chang";"23120";39;"th"
"TH";"23";"Khao Saming";"23130";39;"th"
"TH";"23";"Bo Rai";"23140";39;"th"
"TH";"24";"Khlong Kaen";"24000";38;"th"
"TH";"24";"Muang Chachoengsao";"24000";38;"th"
"TH";"24";"Bang Khla";"24110";38;"th"
"TH";"24";"Phanom Sarakham";"24120";38;"th"
"TH";"24";"Rachsan";"24120";38;"th"
"TH";"24";"Bang Pakong";"24130";38;"th"
"TH";"24";"Ban Pho";"24140";38;"th"
"TH";"24";"Bang Nam Prieo";"24150";38;"th"
"TH";"24";"Sanam Chai Khet";"24160";38;"th"
"TH";"24";"Ta Takiab";"24160";38;"th"
"TH";"24";"Paeng Yao";"24190";38;"th"
"TH";"25";"Muang Prachinburi";"25000";37;"th"
"TH";"25";"Kabin Buri";"25110";37;"th"
"TH";"25";"Prachantakham";"25130";37;"th"
"TH";"25";"Si Maha Phot";"25140";37;"th"
"TH";"25";"Ban Sang";"25150";37;"th"
"TH";"25";"Khok Pip";"25190";37;"th"
"TH";"25";"Si Mahosot";"25190";37;"th"
"TH";"25";"Na Di";"25220";37;"th"
"TH";"26";"Muang Nakhon Nayok";"26000";37;"th"
"TH";"26";"Ban Na";"26110";37;"th"
"TH";"26";"Ongkarak";"26120";37;"th"
"TH";"26";"Pak Phli";"26130";37;"th"
"TH";"27";"Muang Sa Kaeo";"27000";37;"th"
"TH";"27";"Khao Chakhun";"27000";37;"th"
"TH";"27";"Wang Nam Yen";"27120";37;"th"
"TH";"27";"Aranyaprathet";"27120";37;"th"
"TH";"27";"Khok Sung";"27120";37;"th"
"TH";"27";"Wattana Nakhon";"27160";37;"th"
"TH";"27";"Ta Phraya";"27180";37;"th"
"TH";"27";"Wang Sombun";"27250";37;"th"
"TH";"27";"Khlong Hat";"27260";37;"th"
"TH";"30";"Muang Nakhon Ratchasima";"30000";44;"th"
"TH";"30";"Phimai";"30110";44;"th"
"TH";"30";"Bua Yai";"30120";44;"th"
"TH";"30";"Bua Lai";"30120";44;"th"
"TH";"30";"Pak Chong";"30130";44;"th"
"TH";"30";"Sikhiu";"30140";44;"th"
"TH";"30";"Pak Thong Chai";"30150";44;"th"
"TH";"30";"Non Sung";"30160";44;"th"
"TH";"30";"Sung Noen";"30170";44;"th"
"TH";"30";"Prathai";"30180";44;"th"
"TH";"30";"Chok Chai";"30190";44;"th"
"TH";"30";"Dan Khun Thot";"30210";44;"th"
"TH";"30";"Theparak";"30210";44;"th"
"TH";"30";"Non Thai";"30220";44;"th"
"TH";"30";"Phra Thomgkom";"30220";44;"th"
"TH";"30";"Cheleam Phakiat";"30230";44;"th"
"TH";"30";"Chakkarat";"30230";44;"th"
"TH";"30";"Huai Thalaeng";"30240";44;"th"
"TH";"30";"Khon Buri";"30250";44;"th"
"TH";"30";"Khong";"30260";44;"th"
"TH";"30";"Muang Yang";"30270";44;"th"
"TH";"30";"Lum Thamenchai";"30270";44;"th"
"TH";"30";"Chum Phuang";"30270";44;"th"
"TH";"30";"Kham Thale So";"30280";44;"th"
"TH";"30";"Kham Sakae Saeng";"30290";44;"th"
"TH";"30";"Soeng Sang";"30330";44;"th"
"TH";"30";"Ban Luam";"30350";44;"th"
"TH";"30";"Non Daeng";"30360";44;"th"
"TH";"30";"Wang Nam Khyo";"30370";44;"th"
"TH";"30";"Nong Bunnak";"30410";44;"th"
"TH";"30";"Sida";"30430";44;"th"
"TH";"30";"Kang Sanam Nang";"30440";44;"th"
"TH";"31";"Ban Dan";"31000";44;"th"
"TH";"31";"Huai Ratch";"31000";44;"th"
"TH";"31";"Muang Buri Ram";"31000";44;"th"
"TH";"31";"Nang Rong";"31110";44;"th"
"TH";"31";"Cham Ni";"31110";44;"th"
"TH";"31";"Chaloem Phrakhiat";"31110";44;"th"
"TH";"31";"Non Suwan";"31110";44;"th"
"TH";"31";"Phutthaisong";"31120";44;"th"
"TH";"31";"Banmai Chaiphot";"31120";44;"th"
"TH";"31";"Lam Phai Mat";"31130";44;"th"
"TH";"31";"Prakhon Chai";"31140";44;"th"
"TH";"31";"Kandong";"31150";44;"th"
"TH";"31";"Satuk";"31150";44;"th"
"TH";"31";"Krasang";"31160";44;"th"
"TH";"31";"Lahan Sai";"31170";44;"th"
"TH";"31";"Ban Kruat";"31180";44;"th"
"TH";"31";"Khu Muang";"31190";44;"th"
"TH";"31";"Nong Ki";"31210";44;"th"
"TH";"31";"Pak Kam";"31220";44;"th"
"TH";"31";"Na Pho";"31230";44;"th"
"TH";"31";"Nong Hong";"31240";44;"th"
"TH";"31";"Ban Phlapphla";"31250";44;"th"
"TH";"31";"Non Dindaeng";"31260";44;"th"
"TH";"33";"Muang Sisaket";"33000";45;"th"
"TH";"33";"Kantharalak";"33110";45;"th"
"TH";"33";"Benchalak";"33110";45;"th"
"TH";"33";"Muang Chan";"33120";45;"th"
"TH";"33";"Po Sri Suwan";"33120";45;"th"
"TH";"33";"Uthumphon Phisai";"33120";45;"th"
"TH";"33";"Nam Kliang";"33130";45;"th"
"TH";"33";"Kanthararom";"33130";45;"th"
"TH";"33";"Pu Sing";"33140";45;"th"
"TH";"33";"Khukhan";"33140";45;"th"
"TH";"33";"Khun Han";"33150";45;"th"
"TH";"33";"Silalad";"33160";45;"th"
"TH";"33";"Rasi Salai";"33160";45;"th"
"TH";"33";"Prang Ku";"33170";45;"th"
