"state.country.isoCode";"state.id";"name";"postalCode";"areaCode";"language"
"TR";"06";"Şeyhli";"06950";312;"tr"
"TR";"16";"Akçapinar";"16900";224;"tr"
"TR";"60";"Çayirpinar";"60700";356;"tr"
"TR";"57";"Mertoğlu";"57000";368;"tr"
"TR";"38";"Gaziler";"38860";352;"tr"
"TR";"19";"Aydoğan";"19300";364;"tr"
"TR";"58";"Boyali";"58780";346;"tr"
"TR";"63";"Surtepe";"63400";414;"tr"
"TR";"55";"Kabaceviz";"55510";362;"tr"
"TR";"21";"Kirim";"21800";412;"tr"
"TR";"06";"Geyikpinari";"06730";312;"tr"
"TR";"20";"Adamharmani";"20570";258;"tr"
"TR";"29";"Yağmurdere";"29100";456;"tr"
"TR";"66";"Mollaismail";"66510";354;"tr"
"TR";"07";"Pinarcik";"07500";242;"tr"
"TR";"06";"Deliler";"06780";312;"tr"
"TR";"66";"Doğansaray";"66650";354;"tr"
"TR";"60";"Yeşilalan";"60300";356;"tr"
"TR";"57";"Gökçebelen";"57700";368;"tr"
"TR";"55";"Doğançayir";"55700";362;"tr"
"TR";"21";"Çüngüş";"21870";412;"tr"
"TR";"35";"Çakaltepe";"35470";232;"tr"
"TR";"38";"Karakimse";"38100";352;"tr"
"TR";"58";"Aksu";"58600";346;"tr"
"TR";"39";"Nacak";"39200";288;"tr"
"TR";"45";"İsmetiye";"45600";236;"tr"
"TR";"24";"Cevizlik";"24400";446;"tr"
"TR";"08";"İbrikli";"08490";466;"tr"
"TR";"01";"Doğanli";"01640";322;"tr"
"TR";"43";"Gecek";"43800";274;"tr"
"TR";"10";"Dereköy";"10470";266;"tr"
"TR";"43";"Köseler";"43500";274;"tr"
"TR";"35";"Tokatbaşi";"35840";232;"tr"
"TR";"21";"Taşpinar";"21640";412;"tr"
"TR";"24";"Dutlu";"24400";446;"tr"
"TR";"04";"Tepeli";"04500";472;"tr"
"TR";"63";"Merkezköy";"63290";414;"tr"
"TR";"01";"Baklali";"01410";322;"tr"
"TR";"64";"Dutluca";"64900";276;"tr"
"TR";"43";"Büyükaslihanlar";"43820";274;"tr"
"TR";"25";"Karakale";"25840";442;"tr"
"TR";"10";"Umurlar";"10330";266;"tr"
"TR";"42";"Koçaş";"42930";332;"tr"
"TR";"58";"Kisik";"58700";346;"tr"
"TR";"43";"Dudaş";"43300";274;"tr"
"TR";"04";"Kotanci";"04900";472;"tr"
"TR";"46";"Turunçlu";"46700";344;"tr"
"TR";"28";"Güney";"28000";454;"tr"
"TR";"70";"Çavuşköy";"70400";338;"tr"
"TR";"52";"Dumantepe";"52320";452;"tr"
"TR";"06";"Çavuşköy";"06950";312;"tr"
"TR";"34";"Topkapi";"34093";212;"tr"
"TR";"09";"Ziyaretli";"09760";256;"tr"
"TR";"64";"Kapancik";"64000";276;"tr"
"TR";"29";"Gürleyik";"29600";456;"tr"
"TR";"09";"Uzunkum";"09330";256;"tr"
"TR";"42";"Kapakli";"42600";332;"tr"
"TR";"49";"Demirci";"49800";436;"tr"
"TR";"04";"Güneşgören";"04700";472;"tr"
"TR";"63";"Fistiközü";"63950";414;"tr"
"TR";"06";"Hamzali";"06950";312;"tr"
"TR";"24";"Demirpinar";"24150";446;"tr"
"TR";"12";"Zeynelli";"12650";426;"tr"
"TR";"07";"Çayirözü";"07860";242;"tr"
"TR";"75";"Filizli";"75700";478;"tr"
"TR";"70";"Kilbasan";"70000";338;"tr"
"TR";"37";"Günvakti";"37680";366;"tr"
"TR";"49";"Erentepe";"49510";436;"tr"
"TR";"10";"Çukuroba";"10770";266;"tr"
"TR";"17";"Seyvan";"17550";286;"tr"
"TR";"52";"Kaleköy";"52600";452;"tr"
"TR";"02";"Üçgöz";"02300";416;"tr"
"TR";"03";"Bayat";"03780";272;"tr"
"TR";"74";"Beşköprü";"74110";378;"tr"
"TR";"48";"Kalem";"48220";252;"tr"
"TR";"16";"Karaçukur";"16990";224;"tr"
"TR";"60";"Eryaba";"60600";356;"tr"
"TR";"78";"Kişlaköy";"78500";370;"tr"
"TR";"34";"Osmaniye";"34146";328;"tr"
"TR";"47";"Yalinkiliç";"47400";482;"tr"
"TR";"42";"Mevlütlü";"42970";332;"tr"
"TR";"63";"Gözeli";"63700";414;"tr"
"TR";"03";"Türkbelkavak";"03560";272;"tr"
"TR";"02";"Narlidere";"02400";416;"tr"
"TR";"20";"Gürleyik";"20330";258;"tr"
"TR";"75";"Çildir";"75400";478;"tr"
"TR";"80";"Çinar";"80750";328;"tr"
"TR";"37";"Kayran";"37550";366;"tr"
"TR";"46";"Alembey";"46300";344;"tr"
"TR";"20";"Çalçakirlar";"20700";258;"tr"
"TR";"77";"Esenköy";"77310";226;"tr"
"TR";"33";"Koramşali";"33730";324;"tr"
"TR";"81";"Haciyeri";"81950";380;"tr"
"TR";"49";"Dilimli";"49090";436;"tr"
"TR";"03";"Nusratli";"03300";272;"tr"
"TR";"51";"Edikli";"51040";388;"tr"
"TR";"09";"Atça";"09650";256;"tr"
"TR";"16";"Boyalica";"16870";224;"tr"
"TR";"26";"Yenikent";"26050";222;"tr"
"TR";"78";"Karahasanlar";"78700";370;"tr"
"TR";"60";"Korucuk";"60400";356;"tr"
"TR";"58";"Kumyurt";"58000";346;"tr"
"TR";"68";"Ceceli";"68400";382;"tr"
