"id","name","population","defaultLanguage"
"BGS","Бургас (Burgas)",415817,"bg"
"BLG","Благоевград (Blagoevgrad)",323552,"bg"
"DOB","Добрич (Dobrich)",189677,"bg"
"GAB","Габрово (Gabrovo)",122702,"bg"
"HKV","Хасково (Haskovo)",246238,"bg"
"JAM","Ямбол (Yambol)",131447,"bg"
"KNL","Кюстендил (Kyustendil)",136686,"bg"
"KRZ","Кърджали (Kardzhali)",152808,"bg"
"LOV","Ловеч (Lovech)",141422,"bg"
"MON","Монтана (Montana)",148098,"bg"
"PAZ","Пазарджик (Pazardzhik)",275548,"bg"
"PDV","Пловдив (Plovdiv)",683027,"bg"
"PER","Перник (Pernik)",133530,"bg"
"PVN","Плевен (Pleven)",269752,"bg"
"RAZ","Разград (Razgrad)",125190,"bg"
"RSE","Русе (Ruse)",235252,"bg"
"SFO","София (Sofia)",247489,"bg"
"SHU","Шумен (Shumen)",180528,"bg"
"SLS","Силистра (Silistra)",119474,"bg"
"SLV","Сливен (Sliven)",197473,"bg"
"SML","Смолян (Smolyan)",121752,"bg"
"SOF","София (столица) (Sofia (capital))",1291591,"bg"
"SZR","Стара Загора (Stara Zagora)",333265,"bg"
"TGV","Търговище (Targovishte)",120818,"bg"
"VAR","Варна (Varna)",475074,"bg"
"VID","Видин (Vidin)",101018,"bg"
"VRC","Враца (Vratsa)",186848,"bg"
"VTR","Велико Търново (Veliko Turnovo)",258494,"bg"
