"id","name","population","defaultLanguage"
"31","Jihočeský kraj",653035,"cs"
"64","Jihomoravský kraj",1217395,"cs"
"41","Karlovarský kraj",293064,"cs"
"52","Královéhradecký kraj",555060,"cs"
"51","Liberecký kraj",449460,"cs"
"80","Moravskoslezský kraj",1189775,"cs"
"71","Olomoucký kraj",632132,"cs"
"53","Pardubický kraj",528599,"cs"
"32","Plzeňský kraj",605248,"cs"
"10","Hlavní město Praha",1357236,"cs"
"20","Středočeský kraj",1438364,"cs"
"42","Ústecký kraj",812457,"cs"
"63","Kraj Vysočina",514771,"cs"
"72","Zlínský kraj",580843,"cs"
