"id","name","population","defaultLanguage"
"01","Harju maakond",638076,"et"
"02","Hiiu maakond",8474,"et"
"03","Ida-Viru maakond",133358,"et"
"04","Järva maakond",30072,"et"
"05","Jõgeva maakond",27739,"et"
"07","Lääne maakond",20688,"et"
"08","Lääne-Viru maakond",59608,"et"
"11","Pärnu maakond",87418,"et"
"12","Põlva maakond",24036,"et"
"13","Rapla maakond",34038,"et"
"14","Saare maakond",31919,"et"
"18","Tartu maakond",162390,"et"
"19","Valga maakond",28114,"et"
"20","Viljandi maakond",45637,"et"
"21","Võru maakond",34317,"et"
