"id","name","population","defaultLanguage"
"AN","Andalusia",8440260,"es"
"AR","Aragon",1347150,"es"
"AS","Principality of Asturias",1068165,"es"
"CB","Cantabria",591888,"es"
"CE","Ceuta",84180,"es"
"CL","Castile and León",2519875,"es"
"CM","Castile-La Mancha",2100998,"es"
"CN","Canary Islands",2118679,"es"
"CT","Catalonia",7553650,"es"
"EX","Extremadura",1104004,"es"
"GA","Galicia",2765940,"es"
"IB","Balearic Islands",1111674,"es"
"MC","Region of Murcia",1472049,"es"
"MD","Community of Madrid",6495551,"es"
"ML","Melilla",83679,"es"
"NC","Chartered Community of Navarre",644447,"es"
"PV","Basque Country",2191682,"es"
"RI","La Rioja",322027,"es"
"VC","Valencian Community",5113815,"es"
