"id","name","defaultLanguage"
"01","Åland","sv"
"02","South Karelia","fi"
"03","Southern Ostrobothnia","fi"
"04","Southern Savonia","fi"
"05","Kainuu","fi"
"06","Tavastia Proper","fi"
"07","Central Ostrobothnia","fi"
"08","Central Finland","fi"
"09","Kymenlaakso","fi"
"10","Lapland","fi"
"11","Pirkanmaa","fi"
"12","Ostrobothnia","fi"
"13","North Karelia","fi"
"14","Northern Ostrobothnia","fi"
"15","Northern Savonia","fi"
"16","Päijänne Tavastia","fi"
"17","Satakunta","fi"
"18","Uusimaa","fi"
"19","Southwest Finland","fi"
