"id","name","population","defaultLanguage"
"01","Bjelovarsko-Bilogorska",101879,"hr"
"02","Brodsko-Posavska",130267,"hr"
"03","Dubrovačko-Neretvanska",115564,"hr"
"04","Istarska",195237,"hr"
"05","Karlovačka",112195,"hr"
"06","Koprivničko-Križevačka",101221,"hr"
"07","Krapinsko-Zagorska",120702,"hr"
"08","Ličko-Senjska",42748,"hr"
"09","Međimurska",105250,"hr"
"10","Osječko-Baranjska",258026,"hr"
"11","Požeško-Slavonska",64084,"hr"
"12","Primorsko-Goranska",265419,"hr"
"13","Šibensko-Kninska",96381,"hr"
"14","Sisačko-Moslavačka",139603,"hr"
"15","Splitsko-Dalmatinska",423407,"hr"
"16","Varaždinska",159487,"hr"
"17","Virovitičko-Podravska",70368,"hr"
"18","Vukovarsko-Srijemska",143113,"hr"
"19","Zadarska",159766,"hr"
"20","Zagrebačka",299985,"hr"
"21","Grad Zagreb",767131,"hr"
