"id","name","population","defaultLanguage"
"BA","Baranya",360704,"hu"
"BE","Békés",334264,"hu"
"BK","Bács-Kiskun",503825,"hu"
"BU","Budapest",1752286,"hu"
"BZ","Borsod-Abaúj-Zemplén",642447,"hu"
"CS","Csongrád",399012,"hu"
"FE","Fejér",417712,"hu"
"GS","Győr-Moson-Sopron",467144,"hu"
"HB","Hajdú-Bihar",527989,"hu"
"HE","Heves",294609,"hu"
"JN","Jász-Nagykun-Szolnok",370007,"hu"
"KE","Komárom-Esztergom",299207,"hu"
"NO","Nógrád",189304,"hu"
"PE","Pest",1278874,"hu"
"SO","Somogy",301429,"hu"
"SZ","Szabolcs-Szatmár-Bereg",552964,"hu"
"TO","Tolna",217463,"hu"
"VA","Vas",253551,"hu"
"VE","Veszprém",341317,"hu"
"ZA","Zala",268648,"hu"
