"id","name","population","defaultLanguage"
"01","Abruzzi",1307000,"it"
"02","Basilicata",559000,"it"
"03","Calabria",1870000,"it"
"04","Campania",5615000,"it"
"05","Emilia-Romagna",4452000,"it"
"06","Friuli-Venezia Giulia",1219000,"it"
"07","Lazio",5745000,"it"
"08","Liguria",1535000,"it"
"09","Lombardia",10342000,"it"
"10","Marche",1524000,"it"
"11","Molise",324000,"it"
"12","Piemonte",4302000,"it"
"13","Puglia",3945000,"it"
"14","Sardegna",1604000,"it"
"15","Sicilia",4825000,"it"
"16","Toscana",3698000,"it"
"17","Trentino-Alto Adige",1111000,"it"
"18","Umbria",930000,"it"
"19","Valle D'Aosta",143000,"it"
"20","Veneto",4883000,"it"
