"id","name","population","defaultLanguage"
"72","Lower Silesia",2899986,"pl"
"73","Kujawsko-Pomorskie",2055000,"pl"
"74","Łódź Voivodeship",2453000,"pl"
"75","Lublin",2112216,"pl"
"76","Lubusz",1013031,"pl"
"77","Lesser Poland",3404863,"pl"
"78","Mazovia",5411446,"pl"
"79","Opole Voivodeship",984345,"pl"
"80","Subcarpathia",2127462,"pl"
"81","Podlasie",1179430,"pl"
"82","Pomerania",2337769,"pl"
"83","Silesia",2899986,"pl"
"84","Świętokrzyskie",1237369,"pl"
"85","Warmia-Masuria",1425967,"pl"
"86","Greater Poland",3495470,"pl"
"87","West Pomerania",401907,"pl"
