"id","name","population","defaultLanguage"
"02","Aveiro",700787,"pt"
"03","Beja",144401,"pt"
"04","Braga",846293,"pt"
"05","Bragança",122804,"pt"
"06","Castelo Branco",177962,"pt"
"07","Coimbra",408551,"pt"
"08","Évora",152444,"pt"
"09","Faro",467343,"pt"
"10","Madeira",250744,"pt"
"11","Guarda",142974,"pt"
"13","Leiria",458605,"pt"
"14","Lisboa",2275385,"pt"
"16","Portalegre",104923,"pt"
"17","Porto",1785405,"pt"
"18","Santarém",424973,"pt"
"19","Setúbal",874806,"pt"
"20","Viana do Castelo",231266,"pt"
"21","Vila Real",185695,"pt"
"22","Viseu",351292,"pt"
"23","Azores",236413,"pt"
