"id","name","population","defaultLanguage"
"01","Alba",342376,"ro"
"02","Arad",430629,"ro"
"03","Argeş",612431,"ro"
"04","Bacău",616168,"ro"
"05","Bihor",575398,"ro"
"06","Bistriţa-Năsăud",286225,"ro"
"07","Botoşani",412626,"ro"
"08","Brăila",321212,"ro"
"09","Braşov",549217,"ro"
"10","Bucureşti",1883425,"ro"
"11","Buzău",451069,"ro"
"12","Caraş-Severin",295579,"ro"
"13","Cluj",691106,"ro"
"14","Constanţa",684082,"ro"
"15","Covasna",210177,"ro"
"16","Dâmboviţa",518745,"ro"
"17","Dolj",660544,"ro"
"18","Galaţi",536167,"ro"
"19","Gorj",341594,"ro"
"20","Harghita",310867,"ro"
"21","Hunedoara",418565,"ro"
"22","Ialomiţa",274148,"ro"
"23","Iaşi",772348,"ro"
"25","Maramureş",478659,"ro"
"26","Mehedinţi",265390,"ro"
"27","Mureş",550846,"ro"
"28","Neamţ",470766,"ro"
"29","Olt",436400,"ro"
"30","Prahova",762886,"ro"
"31","Sălaj",224384,"ro"
"32","Satu Mare",344360,"ro"
"33","Sibiu",397322,"ro"
"34","Suceava",634810,"ro"
"35","Teleorman",380123,"ro"
"36","Timiş",683540,"ro"
"37","Tulcea",213083,"ro"
"38","Vaslui",395499,"ro"
"39","Vâlcea",371714,"ro"
"40","Vrancea",340310,"ro"
"41","Călăraşi",306691,"ro"
"42","Giurgiu",281422,"ro"
"43","Ilfov",388738,"ro"
