"id","name","population","defaultLanguage"
"01","Адыгея Республика",496934,"ru"
"03","Алтай Республика",210924,"ru"
"04","Алтайский Край",2163693,"ru"
"05","Амурская Область",766912,"ru"
"06","Архангельская Область",978873,"ru"
"07","Астраханская Область",960142,"ru"
"08","Башкортостан Республика",4091423,"ru"
"09","Белгородская Область",1540486,"ru"
"10","Брянская Область",1169161,"ru"
"11","Бурятия Республика",978588,"ru"
"12","Чеченская Республика",1510824,"ru"
"13","Челябинская Область",3431224,"ru"
"16","Чувашская Республика",1186909,"ru"
"17","Дагестан Республика",3182054,"ru"
"19","Ингушетия Республика",509541,"ru"
"20","Иркутская Область",2370102,"ru"
"21","Ивановская Область",927828,"ru"
"22","Кабардино-Балкарская Республика",904200,"ru"
"23","Калининградская Область",1029966,"ru"
"24","Калмыкия Республика",267133,"ru"
"25","Калужская Область",1069904,"ru"
"27","Карачаево-Черкесская Республика",469865,"ru"
"28","Карелия Республика",533121,"ru"
"29","Кемеровская Область",2600923,"ru"
"30","Хабаровский Край",1292944,"ru"
"31","Хакасия Республика",534795,"ru"
"33","Кировская Область",1153680,"ru"
"34","Коми Республика",737853,"ru"
"37","Костромская Область",580976,"ru"
"38","Краснодарский Край",5838273,"ru"
"40","Курганская Область",776661,"ru"
"41","Курская Область",1082458,"ru"
"42","Ленинградская Область",2000997,"ru"
"43","Липецкая Область",1143224,"ru"
"44","Магаданская Область",136085,"ru"
"45","Марий Эл Республика",677097,"ru"
"46","Мордовия Республика",783552,"ru"
"47","Московская Область",8524665,"ru"
"48","Москва",13010112,"ru"
"49","Мурманская Область",667744,"ru"
"51","Нижегородская Область",3119115,"ru"
"52","Новгородская Область",583387,"ru"
"53","Новосибирская Область",2797176,"ru"
"54","Омская Область",1858798,"ru"
"55","Оренбургская Область",1862767,"ru"
"56","Орловская Область",713374,"ru"
"57","Пензенская Область",1266348,"ru"
"59","Приморский Край",1845165,"ru"
"60","Псковская Область",599084,"ru"
"61","Ростовская Область",4200729,"ru"
"62","Рязанская Область",1102810,"ru"
"63","Саха (Якутия) Республика",995686,"ru"
"64","Сахалинская Область",466609,"ru"
"65","Самарская Область",3172925,"ru"
"66","Санкт-Петербург",5601911,"ru"
"67","Саратовская Область",2442575,"ru"
"68","Северная Осетия-Алания Республика",687357,"ru"
"69","Смоленская Область",888421,"ru"
"70","Ставропольский Край",2907593,"ru"
"71","Свердловская Область",4268998,"ru"
"72","Тамбовская Область",982991,"ru"
"73","Татарстан Республика",4004809,"ru"
"75","Томская Область",1062666,"ru"
"76","Тульская Область",1501214,"ru"
"77","Тверская Область",1230171,"ru"
"78","Тюменская Область",1601940,"ru"
"79","Тыва Республика",336651,"ru"
"80","Удмуртская Республика",1452914,"ru"
"81","Ульяновская Область",1196745,"ru"
"83","Владимирская Область",1348134,"ru"
"84","Волгоградская Область",2500781,"ru"
"85","Вологодская Область",1142827,"ru"
"86","Воронежская Область",2308792,"ru"
"88","Ярославская Область",1209811,"ru"
"90","Пермский Край",2532405,"ru"
"91","Красноярский Край",2856971,"ru"
"92","Камчатский край",291705,"ru"
"93","Еврейская автономная Область",150453,"ru"
"94","Забайкальский край",1004125,"ru"
"95","Ненецкий автономный округ",41434,"ru"
"96","Чукотский автономный округ",47490,"ru"
"97","Ханты-Мансийский автономный округ - Югра",1711480,"ru"
"98","Ямало-Ненецкий автономный округ",510490,"ru"
