"id","name","population","defaultLanguage"
"AB","Stockholm",2377081,"sv"
"AC","Västerbotten",271736,"sv"
"BD","Norrbotten",250093,"sv"
"C","Uppsala",383713,"sv"
"D","Södermanland",297540,"sv"
"E","Östergötland",465495,"sv"
"F","Jönköping",363599,"sv"
"G","Kronoberg",201469,"sv"
"H","Kalmar",245446,"sv"
"I","Gotland",59686,"sv"
"K","Blekinge",159606,"sv"
"M","Skåne",1377827,"sv"
"N","Halland",333848,"sv"
"O","Västra Götaland",1725881,"sv"
"S","Värmland",282414,"sv"
"T","Örebro",304805,"sv"
"U","Västmanland",275845,"sv"
"W","Dalarna",287966,"sv"
"X","Gävleborg",287382,"sv"
"Y","Västernorrland",245347,"sv"
"Z","Jämtland",130810,"sv"
