"id","name","defaultLanguage"
"01","Adana","tr"
"02","Adiyaman","tr"
"03","Afyonkarahisar","tr"
"04","Ağri","tr"
"68","Aksaray","tr"
"05","Amasya","tr"
"06","Ankara","tr"
"07","Antalya","tr"
"75","Ardahan","tr"
"08","Artvin","tr"
"09","Aydin","tr"
"10","Balikesir","tr"
"74","Bartin","tr"
"72","Batman","tr"
"69","Bayburt","tr"
"11","Bilecik","tr"
"12","Bingöl","tr"
"13","Bitlis","tr"
"14","Bolu","tr"
"15","Burdur","tr"
"16","Bursa","tr"
"17","Çanakkale","tr"
"18","Çankiri","tr"
"19","Çorum","tr"
"20","Denizli","tr"
"21","Diyarbakir","tr"
"81","Düzce","tr"
"22","Edirne","tr"
"23","Elaziğ","tr"
"24","Erzincan","tr"
"25","Erzurum","tr"
"26","Eskişehir","tr"
"27","Gaziantep","tr"
"28","Giresun","tr"
"29","Gümüşhane","tr"
"30","Hakkari","tr"
"31","Hatay","tr"
"76","Iğdir","tr"
"32","Isparta","tr"
"34","İstanbul","tr"
"35","İzmir","tr"
"46","Kahramanmaraş","tr"
"78","Karabük","tr"
"70","Karaman","tr"
"36","Kars","tr"
"37","Kastamonu","tr"
"38","Kayseri","tr"
"79","Kilis","tr"
"71","Kirikkale","tr"
"39","Kirklareli","tr"
"40","Kirşehir","tr"
"41","Kocaeli","tr"
"42","Konya","tr"
"43","Kütahya","tr"
"44","Malatya","tr"
"45","Manisa","tr"
"47","Mardin","tr"
"33","Mersin","tr"
"48","Muğla","tr"
"49","Muş","tr"
"50","Nevşehir","tr"
"51","Niğde","tr"
"52","Ordu","tr"
"80","Osmaniye","tr"
"53","Rize","tr"
"54","Sakarya","tr"
"55","Samsun","tr"
"63","Şanliurfa","tr"
"56","Siirt","tr"
"57","Sinop","tr"
"58","Sivas","tr"
"73","Şirnak","tr"
"59","Tekirdağ","tr"
"60","Tokat","tr"
"61","Trabzon","tr"
"62","Tunceli","tr"
"64","Uşak","tr"
"65","Van","tr"
"77","Yalova","tr"
"66","Yozgat","tr"
"67","Zonguldak","tr"
