"id","name","population","defaultLanguage"
"01","Черкаська область (Cherkaska)",1246166,"uk"
"02","Чернігівська область (Chernihivska)",1047023,"uk"
"03","Чернівецька область (Chernivetska)",910001,"uk"
"04","Дніпропетровська область (Dnipropetrovska)",3258705,"uk"
"05","Донецька область (Donetska)",4387702,"uk"
"06","Івано-Франківська область (Ivano-Frankivska)",1382721,"uk"
"07","Харківська область (Kharkivska)",2720342,"uk"
"08","Херсонська область (Khersonska)",1063803,"uk"
"09","Хмельницька область (Khmelnytska)",1296103,"uk"
"10","Кіровоградська область (Kirovohradska)",974724,"uk"
"12","Київська область (Kyivska)",1731673,"uk"
"13","Київ (Kyiv)",2900920,"uk"
"14","Луганська область (Luhanska)",2263676,"uk"
"15","Львівська область (Lvivska)",2535476,"uk"
"16","Миколаївська область (Mykolaivska)",1159634,"uk"
"17","Одеська область (Odeska)",2387282,"uk"
"18","Полтавська область (Poltavska)",1440684,"uk"
"19","Рівненська область (Rivnenska)",1162049,"uk"
"21","Сумська область (Sumska)",1115051,"uk"
"22","Тернопільська область (Ternopilska)",1066523,"uk"
"23","Вінницька область (Vinnytska)",1604270,"uk"
"24","Волинська область (Volynska)",1042855,"uk"
"25","Закарпатська область (Zakarpatska)",1259497,"uk"
"26","Запорізька область (Zaporizka)",1755663,"uk"
"27","Житомирська область (Zhytomyrska)",1249225,"uk"
