id,name,population,defaultLanguage
Z,Amazonas,180000,es
B,Anzoátegui,1550000,es
C,Apure,560000,es
D,Aragua,1630000,es
E,Barinas,820000,es
F,Bolívar,1720000,es
G,Carabobo,2220000,es
H,Cojedes,330000,es
Y,Delta Amacuro,190000,es
W,Dependencias Federales,2155,es
A,Distrito Capital,1943901,es
I,Falcón,980000,es
J,Guárico,820000,es
X,La Guaira,340000,es
K,Lara,1850000,es
L,Mérida,870000,es
M,Miranda,2940000,es
N,Monagas,920000,es
O,Nueva Esparta,570000,es
P,Portuguesa,920000,es
R,Sucre,980000,es
S,Táchira,1020000,es
T,Trujillo,760000,es
U,Yaracuy,660000,es
V,Zulia,3800000,es
