"id","name","population","defaultLanguage"
"03","Hà Giang",55559,"vi"
"HN","Hà Nội",8053663,"vi"
"54","Bắc Giang",174229,"vi"
"58","Bình Phước",108595,"vi"
"DN","Đà Nẵng",1134310,"vi"
"32","Phú Yên",155921,"vi"
"55","Bạc Liêu",158264,"vi"
"73","Hậu Giang",128360,"vi"
"13","Quảng Ninh",708045,"vi"
"SG","Hồ Chí Minh",8993082,"vi"
"26","Thừa Thiên Huế",652572,"vi"
"50","Bến Tre",124560,"vi"
"52","Sóc Trăng",203056,"vi"
"HP","Hải Phòng",2028514,"vi"
"66","Hưng Yên",118646,"vi"
"51","Trà Vinh",112584,"vi"
"39","Đồng Nai",1226690,"vi"
"18","Ninh Bình",191346,"vi"
"72","Đắk Nông",63046,"vi"
"34","Khánh Hòa",561111,"vi"
"04","Cao Bằng",73549,"vi"
"21","Thanh Hóa",469118,"vi"
"24","Quảng Bình",133818,"vi"
"71","Điện Biên",80366,"vi"
"57","Bình Dương",1884765,"vi"
"47","Kiên Giang",421520,"vi"
"41","Long An",145120,"vi"
"CT","Cần Thơ",1235171,"vi"
"56","Bắc Ninh",259924,"vi"
"31","Bình Định",290053,"vi"
"63","Hà Nam",158212,"vi"
"69","Thái Nguyên",409785,"vi"
"28","Kon Tum",168264,"vi"
"36","Ninh Thuận",167394,"vi"
"53","Bắc Kạn",45036,"vi"
"37","Tây Ninh",135254,"vi"
"06","Yên Bái",100631,"vi"
"30","Gia Lai",254802,"vi"
"45","Đồng Tháp",320143,"vi"
"29","Quảng Ngãi",261417,"vi"
"23","Hà Tĩnh",202062,"vi"
"70","Vĩnh Phúc",270483,"vi"
"20","Thái Bình",206037,"vi"
"67","Nam Định",236294,"vi"
"61","Hải Dương",728611,"vi"
"46","Tiền Giang",228109,"vi"
"09","Lạng Sơn",103284,"vi"
"14","Hòa Bình",135718,"vi"
"43","Bà Rịa - Vũng Tàu",626052,"vi"
"27","Quảng Nam",220973,"vi"
"59","Cà Mau",226372,"vi"
"07","Tuyên Quang",232230,"vi"
"01","Lai Châu",42973,"vi"
"49","Vĩnh Long",137870,"vi"
"35","Lâm Đồng",390206,"vi"
"33","Đắk Lắk",375590,"vi"
"44","An Giang",374130,"vi"
"05","Sơn La",106052,"vi"
"68","Phú Thọ",315850,"vi"
"22","Nghệ An",339114,"vi"
"40","Bình Thuận",226736,"vi"
"02","Lào Cai",130671,"vi"
"25","Quảng Trị",95658,"vi"
