"Autostrada Tiranë-Elbasan",1
"Bulevardi Skënderbeu",1
"Rruga 10 Korriku",2
"Rruga 10 Nëntori",1
"Rruga 1 Qershori",2
"Rruga 28 Nëntori",2
"Rruga 5 Maji",2
"Rruga 7 Marsi",2
"Rruga 8 Marsi",2
"Rruga 8 Nëntori",2
"Rruga Abdyl Sula",2
"Rruga Agron",2
"Rruga Agush Gjergjevica",2
"Rruga Albert Kavaja",1
"Rruga Aleksandri i Madh",2
"Rruga Ali Pashë Gucia",2
"Rruga Androkli Kostallari",2
"Rruga Arben Broci",2
"Rruga At Gjergj Fishta",2
"Rruga Azem Hajdari",4
"Rruga Babin Kerrnaj",1
"Rruga Baliaj",1
"Rruga Bardhok Biba",2
"Rruga Baron Franz Nopcsa",2
"Rruga Berdicej",2
"Rruga Bilal Xhafen",1
"Rruga Cameria",1
"Rruga Cerrik Gostime",1
"Rruga Currila",1
"Rruga Currila 14",2
"Rruga Ded Gjon Luli",2
"Rruga Dëfrimi",2
"Rruga Dhorkë Shallo",2
"Rruga Dituria",1
"Rruga Doktor Vasil Laboviti",1
"Rruga Don Bosko",3
"Rruga Donika Kastrioti",2
"Rruga Dr. Ali Spahia",2
"Rruga Dr. Lito",2
"Rruga Dr. Shefqet Ndroqi",2
"Rruga Dushkut",2
"RRuga e Arberit",1
"Rruga e Baldushkut",2
"Rruga e Bogdanëve",2
"Rruga e Daxhit",2
"Rruga Edit Durham",2
"Rruga Edith Durham",2
"Rruga e Elbasanit",4
"Rruga e Gurazezve",2
"Rruga e Jezuiteve",2
"Rruga e Kallmetit",1
"Rruga e Kombit",6
"Rruga e Kosoves",1
"Rruga Eksod 99",1
"Rruga e Libohoves",1
"Rruga Eliot Engel",1
"Rruga e Murgeshave",2
"Rruga e Re 2",2
"Rruga e Semanit",1
"Rruga Et'hem Kazazi",1
"Rruga e Tyrbes",1
"Rruga e Ulqinit",2
"Rruga e Veteraneve",2
"Rruga e Vilave",2
"Rruga Fitorja",1
"Rruga Fortuzi",2
"Rruga Fshat Buzmadhe",1
"Rruga Fushes",1
"Rruga Gjeçaj",1
"Rruga Gjin Bua Shpata",2
"Rruga Gjocaj",1
"Rruga Gjon Buzuku",2
"Rruga Gjon Krisli",4
"Rruga Gjuhadol",2
"Rruga Gryke Caje",1
"Rruga Hafiz Sabri Bushati",1
"Rruga Hajredin Kumbaro",2
"Rruga Haklaj",1
"Rruga Hamdi Roseni",2
