"10 Odos",1
"11 Odos",1
"15 Ianouariou",1
"17 Odos",1
"1 Apriliou",3
"1hs Apriliou",1
"1 Iouniou",1
"1is Apriliou",1
"1 Maiou",1
"1 Odos",1
"1 Oktovriou",2
"1st April",1
"1st Apriliou",5
"21 Odos",1
"22 Odos",1
"24 Odos",1
"25 March",1
"25 Martiou",7
"26 Odos",1
"28 October",1
"28 Odos",1
"28 Oktovriou",3
"28th October",4
"28th Octovriou",1
"29 Odos",1
"30 Odos",1
"31 Odos",1
"32 Odos",1
"33 Odos",1
"35 Odos",1
"36 Odos",1
"37 Odos",1
"38 Odos",1
"39 Odos",1
"3 Odos",1
"3rd August",1
"40 Odos",1
"41 Odos",1
"42 Odos",1
"43 Odos",1
"45 Odos",1
"47 Odos",1
"49 Odos",1
"50 Odos",1
"51 Odos",1
"52 Odos",1
"53 Odos",1
"54 Odos",1
"55 Odos",1
"56 Odos",1
"57 Odos",1
"58 Odos",1
"59 Odos",1
"61 Odos",1
"7 Odos",1
"9 Odos",1
"9th July",1
"9th July Street",1
"9th of July",1
"Achaias",3
"Achaion",3
"Acharnon",2
"Acheleia",1
"Acheloou",1
"Acheon",1
"Achepans",2
"Acheritou",1
"Achiepiskopou Makariou III",2
"Achilea",1
"Achileos",4
"Achilleos",4
"Achnas",1
"Adamantiou Korai",5
"Admitou",1
"Adonidos",3
"Adonis",1
"Adrianoupoleos",1
"Afaneias",1
"Afanias",1
"Afentrikas",1
"Afetrikas",1
"Afiou Spyridonos",1
"Afrikis",1
"Afroditis",4
"Afroditis Gardens",1
"Aftokrateiras Theodoras",1
"Aftokratiras Theodoras",1
"Aftokratoros Ioustinianou",1
"Agamemnonos",3
"Agapinoros",2
"Agapinoros Avenue",1
"Agapiou Aristodimou",1
"Agapis",1
"Agaristis",1
"Agathagelou Christodoulou",1
"Agathonos",1
"Aggelikis Pasxalidou",1
"Aggelon",1
"Aggelou Sikelianou",3
"Agia",1
"Agia Anna",1
"Agia Anna Street",1
"Agia Eirini",1
"Agia Eleousa",1
"Agia Marina",2
"Agia Marina (Skylloura)",1
"Agia Marinouda",1
"Agias",1
"Agias Aikaterinis",3
"Agias Annis",2
"Agias Christinas",1
"Agias Eftychias",1
"Agias Eirinis",2
"Agias Ekaterinis",1
"Agias Elenis",4
"Agias Foteinis",2
"Agias Galatianis",1
"Agias Irinis",1
"Agias Kassianis",1
"Agias Lavras",3
"Agias Marinas",7
"Agias Mavris",1
"Agias Napas",1
"Agias Paraskevis",3
"Agias Pylis",1
"Agias Sofias",4
"Agias Sophias",4
"Agias Theklas",3
"Agias Theklis",2
"Agias Triados",3
"Agias Troiados",1
"Agias Varnavas",1
"Agias Varvaras",2
"Agias Vrionis",1
"Agias Zonis",1
"Agia Varvara",2
"Aginoros",1
"Agioi Iliofotoi",1
"Agioi Trimithias",1
"Agioi Vavatsinias",1
"Agion Anargiron",1
"Agion Anargiron Avenue",1
"Agion Anargyron",2
"Agion Apostolon",1
"Agion Konstantinou & Elenis",1
"Agion Pente",1
"Agion Saranta",3
"Agios Amvrosios",1
"Agios Athanasios",1
"Agios Dimitrianos",1
"Agios Dimitrios",1
"Agios Dometios",1
"Agios Epifanios Oreinis",1
"Agios Epifanios Soleas",1
"Agios Georgios",3
"Agios Georgios Lefkas",1
"Agios Ioannis",2
"Agios Ioannis Malountas",1
"Agios Ioannis (Selemani)",1
"Agios Isidoros",1
"Agios Konstantinos",1
