"3. Pluku",1
"10. června 1942",1
"10. května",1
"11. května",1
"11. pěšího pluku",1
"12. dubna",1
"14. října",1
"17. listopadu",67
"18. dubna",1
"1. května",11
"1. máje",122
"1. pětiletky",1
"21. dubna",3
"22. července",1
"22. dubna",1
"23. dubna",1
"24. dubna",2
"26. dubna",3
"27. dubna",1
"28. pluku",1
"28. října",97
"28. Října",1
"28. ŘÍJNA",1
"29. dubna",1
"29. srpna",1
"2. května",7
"2. odboje",1
"2. polské armády",2
"30. dubna",3
"3. května",6
"3. pluku",2
"40.pluku",1
"4. května",3
"5 domků",1
"5. května",147
"5. Května",3
"5. máje",1
"6. července",2
"6. května",10
"6. srpna",1
"7. května",3
"7. listopadu",1
"8. března",3
"8. května",14
"8.května",1
"8.Května",2
"8. listopadu",1
"8. pěšího pluku",1
"9. května",111
"9. Května",1
"A. Bartoše",1
"Abigail Horákové",1
"Abramovova",1
"Absolonova",4
"A. B. Svojsíka",1
"A. Bunzla",1
"Achátová",4
"A. Chittussiho",1
"Achtelky",1
"A. Cihláře",2
"Ackermanova",1
"Adamcova",3
"Adámkova",2
"Adámkova třída",1
"Adamova",2
"Adamovská",6
"Adamská",1
"Adamusova",2
"Adélčina",1
"Adelova",1
"Adiny Mandlové",1
"Adlerova",1
"Ad. Mickiewicze",1
"A. Dohnala",1
"Adolfa Doležala",1
"Adolfa Heyduka",1
"Adolfa Kašpara",2
"Adolfa Kožíška",1
"Adolfa Opálky",1
"Adolfov",1
"A. Dvořáka",11
"Aeškerova",1
"A. F. Ressela",1
"Africká",1
"Agrikolovo",1
"A. Havleny",1
"A. Heimanna",1
"Ahepjukova",1
"A. Jánského",1
"A. Jiráska",8
"A. Kabátové",1
"Akademická",4
"Akademika Bedrny",1
"Akademika Hennera",1
"akademika Heyrovského",1
"Akademika Heyrovského",1
"Akad. Práta",1
"A. Kašpara",2
"Akátová",82
"Ak. Běhounka",1
"Ak. Bydžovského",1
"A. Kouly",1
"A. Krejčího",1
"A. Kříže",1
"A. Křížka",1
"A. Kroutila",1
"Aksamitova",2
"A. Kuběny",1
"A. Kubeši",1
"A. K. Vitáka",1
"Alabastrová",1
"Albánská",3
"Albatros",1
"Albatrosová",1
"Albeřice",1
"Alberta E. Trommera",1
"Alberta Kučery",1
"Albertov",1
"Albertova",4
"Albertovec",1
"Alberto Vojtěcha Friče",1
"Albertská",1
"Albieriho",1
"Albíkova",1
"Albína Krejčího",1
"Albíny Hochové",1
"Albrechtická",12
"Albrechtova",4
"Aldašínská",2
"Aldova",1
"Alej 17. listopadu",1
"Alej Boženy Němcové",1
"Alej Českých exulantů",1
"Aleje",2
"Alej Jiřího Wolkera",1
"Alej Johanky z Rožmitálu",1
"Alejka",1
"Alej Karoliny Světlé",1
"Alej Kateřiny Zaháňské",1
"Alej legií",1
"Alej Martina Soukupa",1
"Alej míru",2
"Alejní",7
"Alejnikovova",1
"alej Obětí totality",1
"Alej přátelství",1
"Alejská",1
"Alej sportovců",1
"alej Svobody",1
"Alej svobody",1
"Aleny Santarové",1
"Aleše Hrdličky",1
"Aléská",1
"Alešova",44
"Alešovo nábřeží",1
"Alexandra Berndorfa",1
"Alexandrovská",1
"Alfonse Muchy",7
"Alf. Šťastného",2
"Al. Gallata",1
"A. Lidmilové",1
"Alinova",1
"Alisova",1
"Al. Jiráska",5
"Al. Muchy",1
"Almužnická",1
"Aloise Blachy",1
"Aloise Fišárka",1
"Aloise Gavlase",1
"Aloise Hanuše",1
"Aloise Havla",1
"Aloise Hlavatého",1
"Aloise Jilemnického",1
"Aloise Jiráska",13
"Aloise Kalvody",1
"Aloise Kolíska",1
"Aloise Krále",1
"Aloise Mareše",1
"Aloise Nováka",1
"Aloise Parmy",1
"Aloise Rašína",1
"Aloise Vlasáka",1
"Aloisina",1
"Aloisina výšina",1
"Aloisovská",1
"A. Loose",1
"Alpská",3
"Alpská víska",1
"Alšova",101
"Alšovo nábřeží",1
"Alšovo nám.",1
"Alšovy sady",1
"Alšův sad",1
"Altajská",1
"Altéře",1
"Altýře",2
"Alžběty Noskové",1
"Alžírská",2
"A. Malé",2
"Amálie",1
"Amálie Škráškové",1
"Amálka",1
"Amálská",1
"Amarila",1
"Ambroňová",1
"Ambrožova",5
"Amelinova",1
"Americká",24
"Americké armády",1
"Amerika",1
"Amerlingova",2
"Ametystová",1
"Amforová",1
"A. M. Jelínka",1
"Am. Kutinové",1
"Amortova",1
"Ampérova",2
"A. Muchy",2
"Amundsenova",1
"Amurská",1
"Anastázova",1
"Anatola Provazníka",1
"Andělčina",1
"Andělohorská",1
"Andělov",1
"Andělova",2
"Andělská",5
"Andělská cesta",1
"Anderleho",1
"Andersenova",1
"Andrejšky",1
"Andrlíkova",1
"Andrštova",1
"Andrýskova",1
"Anenská",29
"Anenské údolí",2
"Anežky České",2
"Anežky Malé",1
"Anežská",1
"Angela Kančeva",1
"Angelovova",1
"Angerlova",1
"Angerová",1
"Anglická",18
"Anglické nábřeží",1
"Angolská",1
"Angreštový sad",1
"Anhaltova",1
"Aninská",1
"Ankarská",1
"Ankertova",1
"Annenská",1
"Annenské údolí",1
"Anny Bayerové",1
"Anny Čížkové",1
"Anny Drabíkové",1
"Anny Letenské",2
"Anny Mlejnkové",1
"Anny Rybníčkové",1
"Antala Staška",11
"Ant. Barcala",1
"Ant. Bureše",1
"Ant. Dřevy",1
"Ant. Dvořáka",9
"Ant. Fouska",1
"Ant. Hrubého",1
"Ant. Janouška",1
"Ant. Kymličky",1
"Ant. Nevole",1
"Antoníček",1
"Antonína Bečváře",1
"Antonína Brože",1
"Antonína Čermáka",1
"Antonína Chvojky",1
"Antonína Dvořáka",16
"Antonína Hampla",1
"Antonína Hodného",1
"Antonína Judytky",1
"Antonína Kaliny",1
"Antonína Klobouka",1
"Antonína Klobouka 642",1
"Antonína Klobouka 673",1
"Antonína Kubity",1
"Antonína Macka",2
"Antonína Majera",1
"Antonína Milfaita",1
"Antonína Morese",1
"Antonína Navrátila",1
"Antonína Nikla",1
"Antonína Oktábce",1
"Antonína Pacovského",1
"Antonína Pavlíka",1
"Antonína Petrofa",1
"Antonína Pinty",1
"Antonína Poledníka",1
"Antonína Procházky",1
"Antonína Raymonda",1
