"10. Februarvej",1
"2. Tværvej",1
"3. Tværvej",1
"4 Maj Stræde",1
"5. Junivej",1
"6. Julivej",4
"7. Tangvej",1
"8. Tangvej",1
"Aabenraa Landevej",2
"Aabenraavej",10
"Aabergsvej",1
"Aaboulevarden",1
"Aabrinken",1
"Aabygade",1
"Aabylundvænget",1
"Aabylundvej",1
"Aaby Sdr. Gade",1
"Aabyvej",4
"Aadalsvej",3
"Aadiget",1
"Aaensvej",1
"Aagaardsvej",3
"Aagade",18
"Aagærdet",1
"Aage Beks Vej",1
"Aage Bergs Vej",1
"Aage Berntsens Alle",1
"Aage Beyers Vænge",1
"Aage Grams Vej",1
"Aage Holms Vej",1
"Aage Jedichs Vej",1
"Aage Nielsens Vej",1
"Aage Paybergsvej",1
"Aage Skouboes Vej",1
"Aagesvej",2
"Aagyden",1
"Aahaven",2
"Aahavevej",2
"Aaholmsgade",1
"Aakjærs Alle",1
"Aakjærs Allé",1
"Aakjærsgade",1
"Aakjærsvej",11
"Aakjær Torv",1
"Aakjærvænget",1
"Aakjærvej",2
"Aalbækvej",1
"Aalborggade",1
"Aalborgvej",41
"Aale Bygade",1
"Aalevej",1
"Aalholmvej",2
"Aalholtvej",1
"Aaløkkevej",2
"Aa.Louis-Hansens Alle",1
"Aalryvej",2
"Aalstrupvej",1
"Aalumvej",1
"Aalykkevej",1
"A Andersens Vej",1
"A.Andersens Vej",1
"Aarestrupsvej",4
"Aarestrupvej",8
"Aarhusvej",1
"Aarø",1
"Aarø Strandhøj",1
"Aarø Strandvænge",1
"Aarøsund Landevej",2
"Aarøsundvej",1
"Aarø Sydstrand",1
"Aarsballe By",1
"Aarsballevej",1
"Aarsdalevej",2
"Aarsleffsgade",1
"Aarslewsgade",1
"Aarsvej",3
"Aartoftvej",1
"Aarupvej",3
"Aase Hansens Vej",1
"Aasen",2
"Aasiaatvej",1
"Aaskildevej",1
"Aaskovvej",1
"Aaspe",1
"Aastien",2
"Aastoften",1
"Aastrædet",1
"Aastrup Alle",1
"Aastrup Nedervej",1
"Aastrup Overvej",1
"Aastrupvej",6
"Aatoften",1
"Aavænget",3
"Aavangen",2
"Aavej",14
"Åbæksvej",1
"Åbanken",2
"Abbetvedvej",1
"A B C Sti",1
"Abed Smedevej",1
"Abedvej",2
"Abel Cathrines Gade",2
"Abelonelunden",1
"Abelonelundvej",2
"Abelones Plads",1
"Abelonesvej",1
"Abelonevej",1
"Abels Allé",1
"Abelsgade",1
"Abelsvej",6
"Abelvej",2
"Åbenhusvej",1
"Åbenrå",2
"Åbenrågade",1
"Åbenråvej",10
"Aberdeengade",2
"Åbergvej",1
"Abevej",1
"Abigaelsvej",1
"Abildager",1
"Abild Allé",1
"Abildåvej",2
"Abildbak",1
"Abildgaardsgade",2
"Abildgaardsvænget",2
"Abildgaardsvej",2
"Abildgade",1
"Abildgård",1
"Abildgårdsvej",19
"Abildgårdvej",4
"Abildhaven",3
"Abildhedevej",1
"Abildhøj",6
"Abildhøjgårdsvej",1
"Abildhøjvej",2
"Abildholt Hedevej",1
"Abildholtvej",2
"Abildkær",1
"Abildkrogen",1
"Abildlunden",1
"Abildrovej",1
"Abildskærvej",1
"Abildstræde",1
"Abildtoft",1
"Abildtoften",1
"Abildtorpegård",1
"Abildtorpe Mose",1
"Abildtorpevej",1
"Abildtrupvej",1
"Abildvadvej",1
"Abildvænget",2
"Abildvang",4
"Abildvej",17
"Abishøje",1
"Abkær Skolevej",1
"Abkærvej",1
"Åblik",1
"Åblink",1
"Åboesvej",1
"Åbogade",2
"Åbøllingvej",1
"Åbøl Østermarksvej",2
"Åbølvej",2
"Aborgmindevej",1
"Aborg Strandvej",1
"Aborgvej",1
"Aborrevænget",1
"Aborrevej",1
"Åboulevard",5
"Åboulevarden",6
"Åbovænge",1
"Åbovej",5
"Åbredden",3
"Abrikosvej",4
"Åbrinken",36
"Åbrinkvej",4
"Absalonsgade",12
"Absalonsvænget",1
"Absalonsvej",10
"Abterp",1
"Abterpvej",1
"Åbuen",2
"Åby Bækgårdsvej",1
"Åbyen",1
"Åbyhøjgård",1
"Åbyhøjvej",1
"Åbylundvej",1
"Åby Ringvej",2
"Åbyskovtoften",1
"Åbyskovvænget",1
"Åbyskovvej",1
"Åbyvænget",2
"Åbyvej",4
"Åbyvejen",1
"Acaciavej",2
"Acacievej",4
"A C Andersens Vej",1
"Acasievej",1
"Accisevej",1
"Acervej",1
"A C Hansens Alle",1
"A C Hansensvej",1
"A C Hoppesvej",1
"A Chr Poulsens Vej",1
"A.C.Illums Vej",1
"A.C. Jacobsens Vej",2
"A.C. Meyers Vænge",2
"A C Møllersvej",1
"A C Pedersens Vej",1
"Ådalen",40
"Ådalshaven",1
"Ådalshøjen",1
"Ådalslunden",1
"Ådalsvænget",7
"Ådalsvej",32
"Ådalvej",5
"Adamsgade",1
"Adamsgavevej",1
"Adamshøjvej",2
"Adamsminde",1
"Adbølvej",1
"A.D. Burcharths Vej",1
"Additvej",1
"Adelbyvej",1
"Adelengvej",1
"Adelers Alle",4
"Adelers Plads",1
"Adelevej",1
"Adelgade",22
"Adeline Geneevej",1
"Adelsvangvej",2
"Adelsvej",1
"Adelsvejen",1
"Adelvadvej",2
"Adelvej",13
"Åderupvej",1
"Adgangsvejen",1
"Ad Gyden",1
"Adidasvej",1
"Ådiget",3
"Adilsvej",6
"A D Jørgensensgade",1
"A.D. Jørgensens Vej",2
"Adjudantvænget",1
"Adjunktvej",2
"Adlerhusvej",1
"Adler Lunds Gade",1
"Adlersvej",1
"Admiralgade",2
"Adolf Andersensvej",1
"Adolfsvej",1
"Adolph Meyers Vej",1
"Adolph Steens Alle",1
"Adolphsvej",1
"Adonisvej",3
"Ådraget",2
"Adriansvej",2
"Adsbøl Alle",1
"Adsbølvej",1
"Adsersbølvej",2
"Adservej",1
"Adslev Hedevej",1
"Adslev Skovvej",1
"Adslevvej",1
"Ådumvej",2
"Æbelholt",1
"Æbelholtsdamvej",1
"Æbelholtsvang",1
"Æbelnæsgade",1
"Æbelnæsvej",2
"Æbelø",1
"Æbeløgade",3
"Æbeløvænget",2
"Æbeløvej",3
"Æbleager",1
"Æble Alle",1
"Æblegade",1
"Æblegård",1
"Æblegrenen",1
"Æblegyden",2
"Æblehaven",63
