"Abbey Drive",1
"Abbey Street Lower",1
"Abbey Street Middle",1
"Abbey Street Upper",1
"Abbotstown Avenue",1
"Abbotstown Drive",1
"Abbotstown Road",1
"Abbotswood Ave",2
"Abercorn Road",1
"Abercorn Terrace",1
"Aberdeen Street",1
"Academy St",2
"Acres Road",1
"Adair Lane",1
"Adare Avenue",1
"Adare Drive",1
"Adare Green",1
"Adare Road",1
"Addison Road",1
"Adelaide Mews",1
"Adelaide Pl",2
"Adelaide Road",1
"Adelaide Terrace",1
"Adelaids St",2
"Adrian Avenue",1
"Aideen Avenue",1
"Aideen Drive",1
"Aikenhead Terrace",1
"Ailesbury Drive",1
"Ailesbury Grove",1
"Ailesbury Mews",1
"Ailesbury Road",1
"Aisling Close",1
"Albany Road",1
"Albert College Avenue",1
"Albert College Crescent",1
"Albert College Drive",1
"Albert College Grove",1
"Albert Quay",2
"Albert Rd",2
"Albert St",2
"Albert Terrace",1
"Aldborough Parade",1
"Alden Grove",2
"Alderbrook",2
"Alderwood",2
"Aldrin Walk",1
"Alexander Terrace",1
"Alexandra Pl",2
"Alexandra Rd",2
"Alexandra Road",1
"Alexandra Road Extension",1
"Alexandra Terrace",1
"Alfie Byrne Road",1
"Alfred St",2
"Allendale Ave",2
"Allinett's Ln",2
"Allingham Street",1
"All Saints Drive",1
"All Saints Road",1
"Alma Terrace",1
"Almeida Avenue",1
"Alone Walk",1
"Alverna",2
"Amberley Dr",2
"Amberley Pard",2
"Amiens Street",1
"Anglesea Road",1
"Anglesea Row",1
"Anglesea St",2
"Anglesea Street",1
"Anglesea Terrace",2
"Annadale Avenue",1
"Annadale Crescent",1
"Annadale Drive",1
"Annalee Grove",2
"Annaly Road",1
"Annamoe Drive",1
"Annamoe Road",1
"Annamoe Terrace",1
"Annaville",2
"Anner Road",1
"Anne’s Lane",1
"Annesley Avenue",1
"Anne St",2
"Anne Street North",1
"Anne Street South",1
"Annmount",2
"Apollo Way",1
"Appian Way",1
"Apple Wood",2
"Araglen Ct",2
"Arbour Ct",2
"Arbour Terrace",1
"Arbutus Avenue",1
"Ardagh Heights",2
"Ardagh Road",1
"Ard Alainn",2
"Ardara Avenue",1
"Ardbeg Crescent",1
"Ardbeg Drive",1
"Ardbeg Road",1
"Ard Bhaile",2
"Ardcahon Drive",2
"Ardcollum Avenue",1
"Ardcullen",2
"Ardee Grove",1
"Ardee Road",1
"Ardee Row",1
"Ardee Street",1
"Arderin Way",2
"Ardfallen Rd",2
"Ardfallen Terrace",2
"Ardfoyle Ave",2
"Ardfoyle Cres",2
"Ardilaun Road",1
"Ard Keale",2
"Ardlea Road",1
"Ardmanning Ave",2
"Ardmore Ave",2
"Ardmore Avenue",1
"Ardmore Close",1
"Ardmore Crescent",1
"Ardmore Drive",1
"Ardmore Grove",1
"Ardmore Heights",2
"Ard Na Laoi",2
"Ard na Meala",1
"Ard Na Ri Ave",2
"Ardpatrick Road",1
"Ard Rö Road",1
"Ardross",2
"Ardrostig Lane",2
"Argyle Road",1
"Arklow Street",1
"Armagh Road",1
"Armstrong Street",1
"Armstrong Walk",1
"Arnott Street",1
"Arranmore Avenue",1
"Arranmore Road",1
"Arran Quay",1
"Arran Quay Terrace",1
"Arran Road",1
"Arran Street East",1
"Arran Street West",1
"Arundel Terrace",2
"Arvalee",2
"Ascaill an Ghleanna",2
"Ascension Heights",2
"Asdill’s Row",1
"Ashboro",2
"Ashbrook",1
"Ashbrook Heights",2
"Ashcroft",1
"Ashdale Avenue",1
"Ashdale Road",1
"Ashdene",2
"Ashford Ct",2
"Ashford Heights",2
"Ashford Street",1
"Ash Grove",1
"Ashgrove Ave",2
"Ashgrove Dr",2
"Ashgrove Lodge",1
"Ashgrove View",2
"Ashington Avenue",1
"Ashington Close",1
"Ashington Crescent",1
"Ashington Dale",1
"Ashington Green",1
