1-asis tak.,1
1-ojo Forto g.,1
2-asis tak.,1
3-iojo forto g.,1
9-ojo Forto g.,8
A. Ašmanto g.,1
A. Ažubalio g.,1
A. Baltrio g.,2
A. Baltūsio g.,1
A. Baltūsio-Žvejo g.,1
A. Baranausko g.,35
A. Bendiko g.,1
Abisinijos g.,1
Ablingos g.,4
Abrikosų g.,5
Abrikosų tak.,2
Abromiškių g.,1
A. Civinsko g.,2
A. Čyplio g.,1
Adakavo g.,1
Adampolio g.,1
A. Daugėlos g.,2
Adelės Dirsytės g.,1
Adolfo Baliūno g.,1
Adolfo Jucio g.,2
Adolfo Ramanausko g.,1
Adolfo Šapokos g.,6
Adolio Pitkėno g.,1
A. Domaševičiaus g.,1
Adomavos g.,2
Adomiškių g.,1
Adomo Brako g.,2
Adomo Mickevičiaus g.,11
Adomo Šimkevičiaus g.,1
Adomo Vilėniškio g.,2
Adomynės g.,1
Adrijos g.,1
Adutiškio g.,5
Advernio g.,1
Aerodromo g.,10
Aerouosto g.,1
Afindevičių g.,1
A. Fromo-Gužučio g.,2
Agarinio g.,5
Agaro g.,2
Agavų g.,1
A. Gelgaudo g.,1
Ageniškio g.,1
A. Giedraičio g.,2
A. Giedraičio-Giedriaus g.,2
Agilos g.,4
Agluonos 10-oji g.,1
Agluonos 11-oji g.,1
Agluonos 12-oji g.,1
Agluonos 1-oji g.,1
Agluonos 2-oji g.,1
Agluonos 3-oji g.,1
Agluonos 4-oji g.,1
Agluonos 5-oji g.,1
Agluonos 6-oji g.,1
Agluonos 7-oji g.,1
Agluonos 8-oji g.,1
Agluonos 9-oji g.,1
Agluonos g.,21
Agnopolio g.,1
Agnytės g.,1
A. Goštauto g.,4
Agrastų 1-oji g.,1
Agrastų 2-oji g.,1
Agrastų g.,34
Agrastų tak.,2
A. Griciaus g.,1
Agronomijos g.,9
Agronomų g.,2
A. Gudonio g.,1
Agumo g.,1
Aguonų 1-oji g.,2
Aguonų 2-oji g.,2
Aguonų 3-ioji g.,1
Aguonų 3-oji g.,1
Aguonų 4-oji g.,1
Aguonų 5-oji g.,1
Aguonų 6-oji g.,1
Aguonų 7-oji g.,1
Aguonų g.,70
Aguonų tak.,4
Agurklių tak.,1
Agurkų g.,1
A. Gustaičio g.,5
Aidijos g.,1
Aido 1-oji g.,1
Aido 2-oji g.,1
Aido g.,33
Aido tak.,1
Aidų g.,1
Aidukaičių g.,1
Aikštės g.,6
Ainių g.,6
Airėnų Sodų 1-oji g.,1
Airėnų Sodų 2-oji g.,1
Airėnų Sodų 3-ioji g.,1
Airėnų Sodų 4-oji g.,1
Airėnų Sodų 5-oji g.,1
Airėnų Sodų 6-oji g.,1
Airėnų Sodų 7-oji g.,1
Airėnų Sodų 8-oji g.,1
Airėnų Žalčių g.,1
Airių g.,2
A. ir J. Gravrogkų g.,7
A. ir J. Vokietaičių g.,2
A. ir R. Kiškių g.,1
Aišbės g.,1
Aisčių g.,2
Aisėnų g.,1
Aisės g.,6
Aiseto g.,1
Aismarių g.,1
Aistiškių g.,2
Aistmarių g.,1
Aistos g.,3
Aitros g.,4
Aitvaro g.,4
Aitvaro Sodų 1-oji g.,1
Aitvaro Sodų 2-oji g.,1
Aitvaro Sodų 3-oji g.,1
Aitvaro Sodų 4-oji g.,1
Aitvaro tak.,1
Aitvarų 1-oji g.,1
Aitvarų 2-oji g.,1
Aitvarų g.,17
A. Jakšto g.,7
A. Jaroševičiaus g.,1
A. Jasaičio g.,2
Ajerų 1-oji g.,1
Ajerų 2-oji g.,1
Ajerų 3-oji g.,1
Ajerų 4-oji g.,1
Ajerų 5-oji g.,1
Ajerų 6-oji g.,1
Ajerų g.,54
A. J. Greimo g.,2
A. Jonyno g.,10
A. J. Povilaičio g.,1
A. Jucio g.,11
A. Juozapavičiaus g.,14
A. Juškos g.,1
A. Kačanausko g.,2
Akacijų 1-oji g.,1
Akacijų 2-oji g.,1
Akacijų 3-oji g.,1
Akacijų 4-oji g.,1
Akacijų g.,82
Akacijų tak.,4
Akademijos g.,1
Akalotės g.,1
Akalyčios g.,2
A. Kanapinsko g.,13
Akėčių g.,1
Akelių g.,1
Akimirkos g.,1
A. Kisino g.,1
A. Kitkaus g.,1
Aklaežerio g.,1
A. Klemento g.,1
A. Klenickio g.,1
Aklinoji g.,1
Akloji g.,6
Akmenaičių g.,1
Akmenaupės g.,1
Akmenėlių 1-oji g.,1
Akmenėlių 2-oji g.,1
Akmenėlių 3-oji g.,1
Akmenėlių 4-oji g.,1
Akmenėlių 5-oji g.,1
Akmenėlių g.,1
Akmenės g.,18
Akmeninio g.,1
Akmenio g.,1
Akmeniškių g.,4
Akmenių g.,2
Akmenkos g.,1
Akmenos g.,15
Akmens g.,6
Akmenskaldės g.,2
Akmens tako g.,1
Akmenų 2-oji g.,1
Akmenų 4-oji g.,1
Akmenų 6-oji g.,1
Akmenų 8-oji g.,1
Akmenų g.,38
Akmenupio g.,2
Akmenynės 1-oji g.,1
Akmenynės 2-oji g.,1
Akmenynės g.,2
Akmenyno g.,1
Akmenytės g.,2
Aknystos g.,1
A. Kojelavičiaus g.,9
A. Kriščiukaičio g.,6
A. Kriščiūno g.,1
Aktinidijų tak.,1
A. Kulviečio g.,14
Alančių g.,2
Alantėlės g.,1
Alanto g.,5
Alantos g.,7
Alaušo g.,9
Alaušų g.,2
Alavijų g.,2
Alberto Telyčėno g.,1
Alberto Zalatoriaus g.,1
Aldonos Birutienės g.,1
Aldonos g.,4
Aldonos Makūnaitės g.,1
Aldonos Pulauskienės g.,1
Alėjos g.,13
Aleknaičių g.,2
Alekniškių g.,1
Aleksandravos g.,2
Aleksandrijos g.,1
Aleksandro Barausko g.,1
Aleksandro Čyro g.,1
Aleksandro Fadino g.,1
Aleksandro Grybino g.,1
Aleksandro Jurašaičio g.,1
Aleksandro Kuršaičio g.,1
Aleksandro Lengvino g.,1
Aleksandro Parčevskio g.,1
Aleksandro Strauso g.,1
Aleksandro Vainausko g.,1
Aleksandro Vanago g.,1
Aleksandrų g.,1
Aleksandrynės g.,1
Aleksoto g.,4
Alešiškių g.,1
Alfonso Basalyko g.,1
Alfonso Dargio g.,1
Alfonso Lipniūno g.,1
Alfonso Nykos-Niliūno g.,1
Alfonso Petrulio g.,2
Algimanto g.,3
Algimanto Juozako g.,1
Algimanto Mackaus g.,1
Algimanto Masiulio g.,1
Algimanto Petro Kavoliuko g.,10
Algimantų g.,1
Algirdo g.,76
Algirdo Juliaus Greimo g.,2
Algirdų tak.,1
Algupio g.,4
Aliejūnų 1-oji g.,1
Aliejūnų 2-oji g.,1
Aliejūnų g.,1
Alinavos g.,1
Alinkos g.,1
A. Liobytės g.,1
Alionių g.,1
Aliosos g.,2
Alizavos g.,2
Alkakalnio g.,4
Alkiškių g.,1
Alko g.,4
Alkos g.,12
Alksnėnų g.,1
Alksnės g.,1
