13. janvāra iela,1
14. jūnija iela,1
18. novembra iela,1
1905. gada iela,2
1. maija iela,1
8. marta iela,1
Abavas iela,5
Ābelītes iela,1
Ābeļu iela,6
Ābolu iela,3
Aboras iela,1
Abrenes iela,1
Abula iela,1
Abulas iela,1
Acāliju iela,2
Ādama iela,1
Ādažu iela,1
Ādmiņu iela,1
Admirāļu iela,2
Ādu iela,1
Adulienas iela,1
Afeldu iela,1
Āgenskalna iela,1
Aglonas iela,4
Agroķīmiķu iela,1
Ainavas iela,1
Ainažu iela,2
Airītes iela,2
Airu iela,2
Aisteres iela,2
Aiviekstes iela,3
Aizkraukles iela,3
Aizpilsētas iela,1
Aizpriežu iela,1
Aizputes iela,5
Aizsaules iela,2
Aizsila iela,1
Aizsprosta iela,1
Aizupes iela,4
Aizvaru iela,1
Aizvēja iela,1
Akāciju iela,4
Akaču iela,1
Akadēmijas iela,1
Akadēmiķa Graftio iela,1
Akadēmiķa Mstislava Keldiša iela,1
Akas iela,1
Akmeņu iela,8
Aknīstes iela,1
Akotu iela,1
Ālandes iela,1
Ālantu iela,1
Alauksta iela,2
Albatrosu iela,1
Alberta iela,2
Alberta Kronenberga iela,1
Aldaru iela,3
Aldaunas iela,1
Alejas iela,4
Alekša iela,1
Aleksandra Bieziņa iela,1
Aleksandra Čaka iela,1
Aleksandra Grīna iela,1
Aleksandra iela,3
Alfrēda Amtmaņa-Briedīša iela,1
Alfrēda Kalniņa iela,2
Aļģu iela,1
Āliņģu iela,1
Alīses iela,1
Alksnāja iela,1
Alkšņu iela,4
Allažu iela,1
Aļņu iela,1
Alojas iela,2
Alsungas iela,3
Alsupes iela,1
Altonavas iela,1
Alūksnes iela,3
Amālijas iela,1
Amatas iela,3
Amatnieku iela,1
Amatu iela,3
Amoliņa iela,1
Āmu iela,1
Amulas iela,3
Ančupānu iela,1
Andas iela,1
Andreja iela,3
Andreja Pormaļa iela,1
Andreja Pumpura iela,4
Andreja Saharova iela,1
Andreja Upīša iela,2
Andrejostas iela,1
Anglikāņu iela,1
Anitas iela,1
Annas iela,5
Annas Sakses iela,1
Anniņmuižas iela,1
Antas Klints iela,1
Antenas iela,1
Antonijas iela,2
Apakšgrāvja iela,1
Apes iela,2
Apguldes iela,1
Apiņu iela,3
Apļa iela,1
Aplokciema iela,1
Apmetņu iela,1
Apoga iela,1
Apogu iela,1
Apriķu iela,2
Apšu iela,5
Āpšu iela,1
Aptiekas iela,2
A. Pumpura iela,2
A. Puškina iela,1
Apuzes iela,1
Āra iela,1
Āraišu iela,3
Arāju iela,5
Arendoles iela,1
Arhitektu iela,2
Ārijas Elksnes iela,1
Ārijas iela,1
Aristida Briāna iela,1
Ārlavas iela,1
Armērijas iela,1
Armitsteda iela,1
Arnolda iela,1
Arodu iela,2
Aroniju iela,3
Arsenāla iela,1
Artilērijas iela,4
Artura Galindoma iela,1
Artūra iela,1
Asaru iela,1
Asītes iela,1
Asnu iela,3
Asotes iela,2
Aspazijas iela,2
Asteru iela,4
Astilbju iela,1
Astras iela,1
Ata iela,1
Atbalss iela,3
Atgāzenes iela,1
Atlantijas iela,1
Atlasa iela,1
Atmatas iela,2
Atmodas iela,3
Atpūtas iela,5
Ātrā iela,1
Atslēdznieku iela,1
Attekas iela,1
Atvaru iela,1
Atzaru iela,1
Auces iela,2
Audēju iela,5
Auduma iela,1
Audupes iela,1
Augļudārzu iela,1
Augļu iela,4
Augšiela,1
Augstā iela,1
Augstienes iela,1
Augstkalnes iela,1
Augstrozes iela,1
Augšzemes iela,1
Augusta Deglava iela,1
Augusta Dombrovska iela,1
Augusta iela,4
Augustes iela,1
Auklu iela,1
A. Upīša iela,1
Aurenieku iela,1
Auru iela,1
Ausekļa iela,10
Auseklīša iela,1
Ausmas iela,3
Austrumu iela,6
Austuves iela,1
Autoru iela,1
Auzu iela,1
Aveņu iela,4
Aviācijas iela,3
Avotkalnu iela,1
Avotu iela,9
Āzenes iela,1
Āžkalna iela,1
Azovas iela,1
Āžu iela,1
Babītes iela,1
Baibas iela,1
Baidzeles iela,1
Bajāru iela,1
Bākas iela,1
Bākūžu iela,1
Balasta iela,1
Baldones iela,5
Baļķu iela,1
Baļotes iela,1
Baložu iela,6
Baltā iela,2
Baltāsbaznīcas iela,1
Baltās kāpas iela,1
Baltegļu iela,1
Baltezera iela,2
Baltijas iela,1
Baltinavas iela,1
Balvu iela,3
Bangu iela,3
Baņutas iela,1
Baraviku iela,2
Bārbeles iela,1
Bārddziņu iela,1
Bāriņu iela,2
Barkavas iela,1
Bārtas iela,3
Baseina iela,2
Bastiona iela,1
Basu iela,1
Bātas iela,1
Baterijas iela,1
Bauskas iela,7
Baznīcas iela,6
Beātes iela,1
Beberbeķu iela,1
Bebrenes iela,1
Bebru iela,4
Begoniju iela,1
Beites iela,1
Beķergrāvja iela,1
Bēnes iela,1
Bergenas iela,1
Berģu iela,1
Bernātu iela,4
Bērzaines iela,1
Bērzaunes iela,2
Bērzkalnes iela,1
Bērzlapu iela,1
Bērzpils iela,2
Bērzu iela,8
Bērzupes iela,1
Beverīnas iela,2
Bezdelīgu iela,3
Biatlona iela,1
Biedrības iela,1
Bieķensalas iela,1
Biešu iela,2
Biķernieku iela,1
Biksēres iela,1
Bikstu iela,1
Birķeneļu iela,1
Birzes iela,3
Birztalu iela,1
Biržu iela,1
Bišu iela,5
Bitera iela,1
Blaumaņa iela,4
Blāzmas iela,3
Blīdenes iela,1
Bobsleja iela,1
Bocmaņu iela,1
Bolderājas iela,2
Bonaventuras iela,1
Braila iela,1
Brāļu iela,1
Brāļu Skrindu iela,1
Bramberģes iela,1
Brankciema iela,1
Braslas iela,2
Braslavas iela,1
Bražuciema iela,1
Brekšu iela,2
Brēmenes iela,1
Brenguļu iela,1
Brēžas iela,1
Briežu iela,5
Brigaderes iela,2
Brikšķu iela,1
Briņģu iela,1
Britu flotes iela,1
Brīvdabas iela,1
Brīvības iela,8
Brīvostas iela,1
Brīzes iela,1
Brjanskas iela,1
Brocēnu iela,2
Brodu iela,1
Brucenes iela,1
Bruģu iela,1
Brūkleņu iela,5
Bruknas iela,1
Brunavas iela,1
Bruņinieku iela,2
Brūžu iela,1
Bukaišu iela,1
Bukas iela,1
Bukmuižas iela,1
Buku iela,1
Bukultu iela,1
Buldurpungas iela,1
Bullēnu iela,1
Buļļu iela,1
Buļļupes iela,1
Bultu iela,1
Bumbieru iela,2
Bungu iela,1
Burkānu iela,1
Buršu iela,1
Burtnieku iela,5
Buru iela,3
Butļerova iela,1
Čaču iela,1
Carnikavas iela,2
Caunes iela,1
Caunu iela,4
Čehova iela,1
Ceļinieku iela,2
Celmu iela,3
Celtnieku iela,6
Celtuves iela,1
Cementa iela,1
Cempu iela,1
Cenkones iela,3
Centrālā iela,1
Centrāltirgus iela,1
Cepļa iela,3
Cepļu iela,2
Ceraukstes iela,1
Cēres iela,2
Ceriņu iela,7
Ceru iela,2
Cēsu iela,6
Cēsu rotas iela,1
Cesvaines iela,1
Cialkovska iela,1
Cidoniju iela,2
Cieceres iela,2
Ciedru iela,4
Čiekuru iela,5
Cielavu iela,1
Ciema iela,3
Ciemupes iela,1
Cietokšņa iela,2
Cigoriņu iela,1
Ciļņu iela,1
Cimzes iela,1
Cīniju iela,1
Cīnītāju iela,1
Ciņu iela,1
Cīravas iela,1
Cirsmas iela,1
Cīruļu iela,7
Citadeles iela,1
Codes iela,1
Copes iela,1
Čuguna iela,1
Čuibes iela,1
Cukura iela,4
Cukurfabrikas iela,1
Dagdas iela,4
Dagmāras iela,1
Dagnijas iela,1
Daibes iela,1
Dainas iela,2
Dalbes iela,1
Dāliju iela,9
Dambja iela,5
Dambjapurva iela,1
Dammes iela,1
Dandāles iela,1
Darba iela,3
Darbnīcu iela,1
Dārtas iela,1
Dārza iela,4
Dārzaugļu iela,1
Dārzciema iela,1
Dārziņu iela,1
Dārzkopības iela,1
Dārzkopju iela,1
Dārznieku iela,3
Dārzu iela,4
Daudzeses iela,1
Daugavas iela,4
Daugavas Krasta iela,1
Daugavgrīvas iela,1
Daugavmalas iela,1
Daugavpils iela,4
Daugavsalas iela,1
Dauguļu iela,2
Dāvida iela,1
Dāvja iela,1
Degumu iela,1
Dēļu iela,1
Demenes iela,1
Depo iela,1
Detlava Brantkalna iela,1
Diakonāta iela,1
Dienvidu iela,1
Dignājas iela,2
Dīgstu iela,1
Dīķa iela,4
Dikļu iela,3
Dīķu iela,4
Dīvajas iela,1
Dīvaliņa iela,1
Dižozolu iela,1
Dobeles iela,4
Doku iela,1
Doles iela,1
Dolomīta iela,1
Donaviņas iela,1
Doņu iela,1
Dores iela,1
Dorupes iela,1
Dostojevska iela,1
Drāšu iela,1
Draudzības iela,3
Dravas iela,1
Dravnieku iela,2
Dreiliņu iela,2
Driksas iela,1
Drosmes iela,1
Drujas iela,2
Drustu iela,1
Druvas iela,2
Druvienas iela,2
Druvu iela,3
Dubnas iela,1
Dubultu iela,1
Dūķeru iela,1
Dukura iela,1
Dumbrāja iela,1
Dūmu iela,2
Dunalkas iela,2
Dunavas iela,1
Dundagas iela,4
Dunduru iela,2
Dunikas iela,1
Duntes iela,1
Dūņu iela,3
Durbes iela,4
Dzeguzes iela,1
Dzegužu iela,2
Dzejnieku iela,1
Dzeldas iela,1
Dzelmes iela,2
Dzelzavas iela,1
Dzelzcela iela,1
Dzelzceļa iela,4
Dzelzceļmalas iela,1
Dzelzceļnieku iela,4
Dzelzceļu iela,1
Dzeņu iela,3
Dzērbenes iela,1
Dzēriņciema iela,1
Dzērveņu iela,2
Dzērves iela,2
