"Avenue Crovetto",2
"Rue des Géraniums",2
"Rue Sainte-Dévote",2
"Avenue Pasteur",2
"Avenue des Papalins",2
"Rue de la Lujernetta",2
"Avenue Prince Héréditaire Albert",3
"Rue Grimaldi",2
"Rue des Carmes",2
"Impasse des Carrieres",2
"Avenue des Citronniers",2
"Avenue de l' Annonciade",1
"Rue de la Princesse Marie de Lorraine",4
"Ruelle Saint-Jean",2
"Rue Biovès",2
"Rue des Princes",2
"Avenue du Port",2
"Avenue de la Costa",2
"Ruelle Emmanuel Gonzales",2
"Avenue des Frères Crovetto",2
"Avenue des Castelans",2
"Avenue Saint-Charles",2
"Boulevard du Ténao",2
"Avenue de Saint-Roman",2
"Escalier du Marché",2
"Boulevard Princesse Charlotte",3
"Bretelle Louis Auréglia",2
"Rue des Açores",2
"Rue des Violettes",2
"Rue Malbousquet",2
"Rue des Remparts",2
"Rue Basse",2
"Avenue Princesse Alice",3
"Avenue Hector Otto",2
"Rue Imberty",2
"Ruelle des Ecoles",2
"Passage Doda",2
"Rue Baron de Sainte-Suzanne",3
"Terrasse de Fontvieille",2
"Rue Princesse Caroline",3
"Boulevard du Jardin Exotique",2
"Rue de l' Eglise",1
"Passage Saint-Michel",2
"Ruelle Sainte-Barbe",2
"Rue du Portier",2
"Boulevard Albert 1er",2
"Rue Bel Respiro",2
"Rue du Gabian",2
"Impasse de la Fontaine",2
"Rue Princesse Marie de Lorraine",4
"Rue Suffren-Reymond",2
"Rue de l'Industrie",1
"Rue de l' Abbaye",1
"Rue de Vedel",2
"Rue de l'Abbaye",1
"Place de la Mairie",2
"Rue des Spélugues",2
"Rue Joseph Bressan",3
"Allée Lazare Sauvaigo",2
"Escalier Sainte-Dévote",2
"Lacets Saint-Léon",1
"Avenue de la Porte Neuve",2
"Rue des Orangers",2
"Square Winston Churchill",3
"Boulevard Charles III",2
"Quai des Sanbarbani",2
"Rue de l'Eglise",1
"Avenue de l'Annonciade",1
"Rue de l' Industrie",1
"Avenue de Grande-Bretagne",2
"Avenue Saint-Martin",2
"Plage du Larvotto",2
"Quai des États-Unis",2
"Passage de l' Ancienne Poterie",1
"Avenue des Beaux-Arts",2
"Passage Grana",2
"Rue des Agaves",2
"Passage Franciosy",2
"Place du Campanin",2
"Escalier du Ténao",2
"Port de Fontvieille",2
"Boulevard du Larvotto",2
"Rue Louis Notari",3
"Chemin des Révoires",2
"Avenue Saint-Roman",2
"Rue du Colonel Bellando de Castro",4
"Escalier des Révoires",2
"Rue Émile de Loth",3
"Boulevard de France",2
"Rue Honoré Labande",2
"Avenue de la Quarantaine",2
"Avenue des Spélugues",2
"Rue de Millo",2
"Rue des Orchidées",2
"Chemin du Ténao",2
"Avenue du Prince Pierre",3
"Rue du Rocher",2
"Escalier des Gaumates",2
"Boulevard de Belgique",2
"Rue de la Colle",2
"Rue des Genêts",2
"Chemin des Oeillets",2
"Boulevard d'Italie",1
"Escalier Malbousquet",2
"Rue du Ténao",2
"Rue Louis Aureglia",2
"Rue des Roses",2
"Rue de la Turbie",2
"Escalier des Pissarelles",2
"Rue de la Princesse Caroline",3
"Impasse du Castelleretto",2
"Avenue des Pins",2
"Rue du Bel Respiro",2
"Escalier de l'Inzernia",2
"Avenue du Président Kennedy",3
"Avenue de Fontvieille",2
"Avenue d' Ostende",1
"Rue des Iris",2
"Quai Albert 1er",2
"Escalier des Fleurs",2
"Rue Augustin Vento",3
"Square Théodore Gastaud",3
"Boulevard Louis II",2
"Rue du Comte Félix Gastaldi",4
"Chemin de la Rousse",2
"Rue Terrazzani",2
"Rue de la Source",2
"Rue Saige",2
"Quai Jean-Charles Rey",2
"Square Beaumarchais",2
"Avenue de Roqueville",2
"Place du Casino",2
"Rue Princesse Antoinette",3
"Rue des Lauriers",2
"Place de la Crémaillere",2
"Escalier de la Costa",2
"Allée des Boulingrins",2
"Galerie du Métropole",2
"Rue Philibert Florence",3
"Ruelle Herculis",2
"Rue Langlé",2
"Avenue de la Madone",2
"Rue Colonel Bellando Castro",3
"Avenue Henri Dunant",3
"Route de la Piscine",2
"Stade Louis II",2
"Boulevard Rainier III",2
"Rue Bellevue",2
"Avenue Saint-Michel",2
"Avenue Saint-Laurent",2
"Boulevard d' Italie",1
"Rue Notre-Dame de Lorette",2
"Rue des Carmes",2
"Boulevard des Moulins",2
"Boulevard de Suisse",2
"Avenue du Berceau",2
"Avenue de Monte-Carlo",2
"Allée Serge de Diaghilev",2
"Place de la Visitation",2
"Rue du Paradis",2
"Avenue des Guelfes",2
"Avenue Princesse Grace",3
"Palais de la Scala",2
"Avenue Prince Pierre de Monaco",3
"Pont Sainte-Dévote",2
"Carrefour du Portier",2
"Avenue Roqueville",2
"Rue des Lilas",2
"Avenue d'Ostende",1
"Chemin de la Turbie",2
"Rue des Giroflées",2
"Rue des Fours",2
"Impasse des Salines",2
"Place des Moulins",2
"Avenue de l'Hermitage",2
"Rue Princesse Florestine",3
"Rue du Campanin",2
"Rue Plati",2
"Avenue Albert II",2
"Ruelle de la Fonderie",2
"Rue Paradis",2
"Rue des Oliviers",2
"Escalier Sainte-Cécile",2
"Allée Guillaume Apollinaire",2
"Passage de l'Ancienne Poterie",1
"Rue François-Joseph Bosio",3
"Quai Antoine 1er",2
"Galerie Charles III",2
"Avenue des Ligures",2
