"Aadijk",1
"Aagje Dekenstraat",2
"Aagtekerkesingel",1
"Aagtekerkseweg",1
"Aakstraat",2
"Aalberselaan",1
"Aalbersestraat",1
"Aalbert Cuyplaan",1
"Aalderinkssingel",1
"Aalkensland",1
"Aalmoezenier Verheggenplein",1
"Aalscholverstraat",1
"Aalsterweg",1
"Aan Cedron",1
"Aan de Dom",1
"Aan de Jelsumervaart",1
"Aan de Stadsmuur",1
"Aan het Broek",1
"Aan het Heugemerwater",1
"Aan het Valderen",1
"Aan Hiemstenrade",1
"Aar",1
"Aarle-Rixtelseweg",1
"Aarninksweg",1
"Aartshertogenstraat",1
"Abbestederweg",1
"Abbringstraat",1
"Abcovenseweg",1
"Abdij van Averbodestraat",1
"Abdij van Oosterhoutstraat",1
"Abeelstraat",3
"Abelenlaan",1
"Abelenstraat",1
"Abel Tasmankade",1
"Abel Tasmanplein",1
"Abel Tasmanstraat",5
"Ab Harrewijnstraat",1
"Abraham Bloemaertstraat",1
"Abraham Dolesteeg",1
"Abraham Kuijperstraat",1
"Abraham Kuyperstraat",1
"Abraham Strickstraat",1
"Abrikoosstraat",1
"Abrikozenweg",1
"Abstederdijk",1
"Abtstraat",1
"Acacialaan",5
"Acaciastraat",4
"Academielaan",1
"Accumulatorstraat",1
"Accustraat",1
"A.C. de Graafweg",1
"Achilleslaan",1
"Achlumerstraat",1
"Achterbeekseweg",1
"Achter Clarenburg",1
"Achterdam",1
"Achter de Arnhemse Poortwal",1
"Achter de Barakken",1
"Achter de Comedie",1
"Achter de Coulissen",1
"Achter de Dom",1
"Achter de Heilige Geest",1
"Achter de Hoven",2
"Achter de Kamp",1
"Achter de Kerk",1
"Achter de Molen",1
"Achter de Molens",1
"Achter de Oude Gracht",1
"Achter de oude Minderbroeders",1
"Achter de Wiemelpoort",1
"Achterdijk",2
"Achterdorpstraat",1
"Achter het Oude Stadhuis",1
"Achter het Oude Weeshuis",1
"Achter het Vleeshuis",1
"Achterhoekse Molenweg",1
"Achterhoeksweg",1
"Achterhofweg",1
"Achterkerkstraat",1
"Achterlandseweg",1
"Achterom",2
"Achteromsedijk",1
"Achterpad",2
"Achter St.-Pieter",1
"Achterstraat",2
"Achterstraatje",1
"Achter St. Vitus",1
"Achter 't Hofje",1
"Achterveldseweg",1
"Achterweg",5
"Achtseweg Noord",1
"Achtzaligheden",1
"Ada Byronweg",1
"Adama van Scheltemalaan",1
"Adama van Scheltemastraat",1
"Adamsweg",1
"Adastraat",1
"A. de Gelderlaan",1
"Adelaarplein",1
"Adelaarshorst",1
"Adelaarslaan",1
"Adelaarstraat",3
"Adelbert van Scharnlaan",1
"Adelboldstraat",1
"Adelheidstraat",1
"Adenauerlaan",1
"Admiraal de Ruyterlaan",2
"Admiraal Helfrichlaan",1
"Admiraal Lonckestraat",1
"Admiraal van Gentstraat",1
"Adolf van Nieuwenaarlaan",1
"Adonislaan",1
"Adonisweg",1
"Adriaan de Jongestraat",1
"Adriaan Loosjesstraat",1
"Adriaan Mulderstraat",1
"Adriaanstraat",1
"Adriaansweg",1
"Adriaen Beyerkade",1
"Adriaen Brouwerstraat",1
"Adriaen Coortelaan",1
"Adriaen van Ostadelaan",3
"Adrianus IJsbrand Kuiperstraat",1
"Aduarderdiepsterweg",1
"Aduarderstraat",1
"Aert de Gelderhage",1
"Aert van der Neerstraat",2
"Aert van Trichtweg",1
"A. Frederikshof",1
"Afrikaweg",1
"Agaatdreef",1
"Agaatstraat",1
"Agaatvlindersingel",1
"A G Bellstraat",1
"A gen Giezen",1
"Agnes Huijnstraat",1
"Agnetenwal",1
"Agnietenstraat",1
"Agora",1
"Agoraweg",1
"Agricolastraat",2
"A.H.G. Fokkerstraat",1
"A. Hofmanweg",1
"Ahornlaan",1
"Ahornstraat",3
"Ahuislanden",1
"Aïdastraat",2
"A J van der Moolenstraat",1
"Akeleihof",2
"Akeleiweg",2
"Akendamstraat",1
"Akerkhof",1
"Akerkstraat",1
"Akersteenweg",1
"Akerstraat",2
"Akkerhof",1
"Akkerhoornweg",1
"Akkerlaan",1
"Akkerstraat",6
"Akkerweg",1
"Akkerwinde",2
"Akkerwindestraat",1
"Akkrumstraat",1
"Alard du Hamelstraat",1
"Albadastins",1
"Albanystraat",1
"Albardastraat",1
"Albast",1
"Albatrosstraat",2
"Albatrosweg",1
"Alberdingk Thijmstraat",2
"Alberickstraat",1
"Albert Cuyplaan",1
"Albert Cuypstraat",4
"Albert Einsteinweg",1
"Albert Haelweghstraat",1
"Albertine Agnesplein",1
"Albertine Agnesstraat",1
"Albert Meijeringstraat",1
"Albert Neuhuysstraat",1
"Albert Plesmanstraat",1
