"Kanuka St",1
"The Lagoon",1
"MacNee St",1
"Matai Cres",2
"Renown Rd",1
"Bryant Grv",1
"Stansfield St",1
"Andromeda Cres",1
"Akersten St",1
"Kawiu Rd",1
"Dulcie St",1
"Sayegh St",1
"Wikitoria St",1
"Kirton Cres",1
"Santa Maria Ave",1
"Oropuriri Rd",1
"Dowling St",1
"Masters Pl",2
"Voelas Rd",1
"Oakwood Grv",2
"Heb Pl",1
"Marotoa Grv",1
"Acacia Pl",2
"Monarch Lane",1
"Chetham Ave",1
"John Davis Rd",1
"Beryl Grv",1
"Mandeno Dr",1
"Grebe Pl",1
"Lowther St",3
"Ardkeen Pl",1
"Cork Lane",1
"Hain Ave",1
"Speargrass Grv",1
"Mataatua St",1
"Gisborne Rd",1
"Tomes Rd",1
"Patikura Pl",1
"Glenn Tce",1
"Westbourne Ave",1
"Pratt Ave",1
"Rondorlyn Pl",1
"Roullet Lane",1
"Isleworth Rd",1
"Iraklis Cl",1
"Hibernian Dr",1
"Cave Tce",1
"Harrier Rd",1
"Arthur Tce",1
"Dudley Rd",2
"Cadness St",1
"Lobelia Tce",1
"Kesteven Ave",2
"Mark Rd",2
"Allans Beach Rd",1
"Easther Cres",1
"Ernest St",1
"Bullock Lane",1
"Dacia St",1
"Cathray Pl",1
"Shackleton Tce",1
"Cousins Ave",1
"Tsukigawa Tce",1
"Garry St",1
"Sutherland Tce",1
"Albany Lane",1
"Sam Pl",1
"Gurkha Cres",1
"Woodley Pl",1
"Manatu Pl",1
"Cypress St",2
"Taupo Ave",1
"Stafford Wlk",1
"Radstock Grv",1
"Falla St",1
"Suntory Lane",1
"Chesham St",1
"Donnington Pl",1
"Papahia St",1
"Motu Pl",1
"Ketemarae Rd",1
"Tower Rd",1
"Crestview Pl",1
"Doone St",1
"Gavin St",1
"Braddon St",1
"Wairio Rd",1
"Sidlaw St",1
"Lockhart Pl",2
"Elmira Ave",2
"Albizia Pl",1
"Rawhiti St",11
"Ettrick Lane",1
"Beirut Crt",1
"The Crest",1
"Guiness St",1
"Antrim St",5
"Bruce Ave",2
"Harington Point Rd",1
"Korimako Pl",2
"Flaxmere St",1
"Waiwaka Tce",1
"Canberra Pl",3
"Kana St",1
"Salisbury Rd",5
"Joffre St",1
"Kohe St",1
"Rosser St",1
"Apple Tce",1
"Rosella Pl",2
"Prospect St",2
"Mt Fyffe Rd",1
"Patience Way",1
"Bullock St",1
"Taylors Ave",1
"Lagden St",1
"Waugh Lane",1
"Lambrown Dr",1
"Punga St",2
"Rewiti St",1
"Pinkerton Grv",1
"Len Davis Tce",1
"Rymer Pl",1
"Bonnies Chance",1
"Cass Cres",1
"Viridian Lane",1
"William Gamble Dr",1
"Gwilliam Pl",1
"Boyes Cres",1
"Afton St",1
"Dalmahoy Pl",1
"Kirkmay Pl",1
"Cottesmore Cl",1
"Monarch Grv",1
"Shearer Ave",1
"Costar Pl",1
"Pearl Baker Dr",1
"Jubilee Ave",3
"Kenmore St",2
"Arawa St",13
"Tobruk Rd",1
"Vallance Lane",1
"Ewing Pl",1
"Ramesh Pl",1
"Paisley Ave",1
"Sheridan Dr",2
"Simeon St",1
"Cherry Rd",1
"Maybeck Rd",1
"Whanake St",1
"Stormont Lane",1
"Poronui St",1
"Penstock Pl",1
"Armagh Tce",1
"Campbell Lane",3
"Kendal St",1
"Fendalton Pl",1
"Tisdall Cres",1
"Walden Pl",2
"Blairich Vw",1
"Ruahine St",8
"Cole Tce",1
"James Walter Pl",1
"Rubens Lane",1
"Seneca Crt",1
"Prestwick St",2
"Redlands Grv",1
"Konini Rd",3
"Tancred St",6
"Frimley Pl",1
"Gillespie Pl",1
"Tramore St",1
"Lavaud St",1
"Maoribank Grv",1
"Hamerton St",1
"Louisa St",1
"Longbill Pl",1
"McCurdy St",2
"Gladstone Tce",2
"Percy Spiller Ave",1
"St Leger Cl",1
"Nadia Grv",1
"Merfield St",1
"Hughson Pl",1
"Cockburn St",5
"Diaz Pl",1
"Paramount Dr",1
"Cliff Ave",1
"Wikiriwhi Cres",1
"Trigg Rd",1
"Spring Gld",1
"Rachel Pl",2
"Wild Dunes Pl",1
"Waite Ave",1
"Hardie St",2
"Aldred St",1
"North Candia Rd",1
"Cresta Ave",1
"Waikareao Way",1
"Noeleen St",1
"Maritime Tce",1
"Clent Lane",1
"Weka Pass Rd",1
"Jacobsen Lane",1
"Kainga Rd",1
"Cambria Pl",1
"Ace Pl",1
"Glen Oaks",1
"Malay Crt",1
"Redcastle Dr",1
"Compton Pl",1
"Statesman St",1
"Alexia Pl",1
"Patna St",1
"Cascade Way",1
"Blackwell Cres",1
"Backhurst Grv",1
"Kipling Rd",1
"Towle Pl",1
"Tindle Pl",1
"Turfrey Rd",1
"Waireka St",1
"West End Ave",1
"Begbie Pl",1
"McKeefry Ave",1
"Crail Ave",1
"Shield Pl",1
"Anglesey St",1
"Dickeys Rd",1
"Hoggard St",1
"Howell Rd",2
"Rakeiora Grv",1
"Murdoch Cres",1
"Dungarvon Pl",1
"Fisk St",1
"Bray St",2
"Woolley St",1
"Te Anau Pl",3
"Little George St",1
"Yellowlees Dr",1
"Lane Cres",1
"Gregg St",2
"Cottle St",1
"Spencer St",9
"Honeystone St",1
"Dawes St",1
"Exeter Pl",2
"Gollan Rd",1
"Jasper Grv",1
"Glenfern Rd",1
"Cleddau St",1
"St Aubyn St",3
"Galloway St",3
"Manawa Ave",1
"Sophia Cl",1
"Purchas Rd",1
"Matawha Way",1
"Chesterfield Ave",1
"Edward Ave",3
"Fryer St",1
