"Strada 10 Mai",1
"Strada 11 Iunie",4
"Strada 11 Iunie 1848",2
"Strada 11 Octombrie",1
"Strada 12 Octombrie",1
"Strada 13 Decembrie",10
"Strada 13 Decembrie 1918",1
"Strada 13 Septembrie",9
"Strada 14 Decembrie 1989",3
"Strada 14 Noiembrie",1
"Strada 14 Octombrie",1
"Strada 16 Februarie",11
"Strada 1848",7
"Strada 1877",2
"Strada 1907",4
"Strada 19 Noiembrie",5
"Strada 1 Decembrie",12
"Strada 1 Decembrie 1918",73
"Strada 1 Iunie",2
"Strada 1 Mai",36
"Strada 20 Decembrie 1989",1
"Strada 22 Decembrie",18
"Strada 22 Decembrie 1989",4
"Strada 23/08/2016",2
"Strada 23 August",6
"Strada 24 Ianuarie",5
"Strada 24 Ianuarie 1859",1
"Strada 24 Ianuarie1859",2
"Strada 28 Noiembrie",1
"Strada 30 Decembrie",5
"Strada 6 Martie",3
"Strada 6 Noiembrie",3
"Strada 6 Vanatori",2
"Strada 8 Martie",13
"Strada 9 Mai",36
"Strada 9 Mai 1877",1
"Strada 9 Mai 1945",1
"Strada Aaron Florian",2
"Strada Aaron Vasile",2
"Strada Abatajului",1
"Strada Abator",1
"Strada Abatorului",12
"Strada Abnegatiei",1
"Strada Abrahamfi",1
"Strada Abrud",18
"Strada Abrudului",4
"Strada Abus",1
"Strada Academia Teologica",1
"Strada Academiei",10
"Strada Acarului",2
"Strada Acetilenei",2
"Strada Achile",1
"Strada Acidava",1
"Strada Aciliu",2
"Strada Acordeonului",1
"Strada Acordului",2
"Strada Actiunii",2
"Strada Actorului",1
"Strada Acumulatorului",2
"Strada Acvariului",1
"Strada Acvila",2
"Strada Acvilei",1
"Strada Ada-Kaleh",2
"Strada Adalin",2
"Strada Adamache Vasile",1
"Strada Adamclisi",1
"Strada Adamescu Gheorghe",1
"Strada Adam Gheorghe",1
"Strada Adam Ion",1
"Strada Adamiu Adrian",1
"Strada Adancata",2
"Strada Adevarului",1
"Strada Adrian",11
"Strada Adunati",2
"Strada Ady Endre",4
"Strada Aeromodelului",4
"Strada Aeroport",3
"Strada Aeroportului",6
"Strada Afânata",1
"Strada Afetului",1
"Strada Afinei",1
"Strada Afinelor",4
"Strada Afinului",1
"Strada Afluentului",2
"Strada Agapia",2
"Strada Agarbiceanu Ion",5
"Strada Agarbiciu",1
"Strada Aghires",2
"Strada Agnita",4
"Strada Agricultori",11
"Strada Agricultorilor",22
"Strada Agricultorului",1
"Strada Agriculturii",5
"Strada Agriselor",4
"Strada Agroindustriala",1
"Strada Agronomiei",1
"Strada Agronomilor",1
"Strada Agronomului",1
"Strada Agudului",1
"Strada Aiud",2
"Strada Aiudului",3
"Strada Ajustorului",1
"Strada Alaci Alexandru",1
"Strada Alamarului",1
"Strada Alamor",1
"Strada Alba",5
"Strada Albac",4
"Strada Albacului",2
"Strada Alba Iulia",19
"Strada Albastra",1
"Strada Albastrele",1
"Strada Albastrelelor",3
"Strada Albatros",4
"Strada Albatrosului",2
"Strada Albeni",1
"Strada Albesti",2
"Strada Albiei",2
"Strada Albinei",10
