1000-летия Руси Улица,1
100-й стрелковой дивизии Улица,1
100 лет Анучино Улица,1
100-летие Солепромысла Улица,1
100-летия Улица,1
100 лет Михайловского Улица,1
100 стрелковой дивизии Улица,1
107 Бригады Улица,1
107 Стрелковой Дивизии Улица,1
10 Августа Улица,3
10 Армии Улица,1
10 годовщины Октября Улица,1
10 Дорога Улица,1
10-й Армии Улица,1
10-й квартал МЭЗ Улица,1
10-й пятилетки Улица,1
10-й Пятилетки Улица,1
10 лет за Индустриализацию Улица,1
10 лет Октября Улица,7
10 лет Совхоза Улица,1
10 лет Татарстана Улица,1
10 лет Якутии Улица,1
10 Линия Улица,3
10 Марта Улица,1
10-ой Пятилетки Улица,1
10 Октября Улица,1
10 Пятилетка Улица,2
10 Пятилетки Улица,13
10 танковая бригада Улица,1
10 Февраля Улица,2
10-я Красноармейская Улица,1
10-я линия (ДНТ Весна) Улица,1
10-я Советская Улица,1
10-я Солнечная Улица,1
10-я Улица,5
10-я Шахтерская Улица,1
10-я Ямская Улица,1
110 ОККД Улица,1
1118 км Улица,1
115 Кавказской Дивизии Улица,1
11 Армии Улица,1
11 Гвардейской Армии Улица,1
11 годовщины Октября Улица,2
11 Дорога Улица,1
11-й годовщины Октября Улица,2
11-й квартал МЭЗ Улица,1
11-й километр Улица,1
11 Комсомольцев Улица,1
11 Красной Армии Улица,2
11 лет Октября Улица,2
11 Линия Улица,4
11 Мая Улица,1
11 Октября Улица,2
11П Улица,1
11 Пятилетки Улица,3
11 Стрелковой Дивизии НКВД Улица,1
11-я Красноармейская Улица,1
11-я Садовая Улица,1
11-я Улица,4
11-я улица Улица,1
121 стрелковой дивизии Улица,1
1220 км Улица,1
122 Стрелковой Дивизии Улица,1
128 км Улица,1
129 Стрелковой Бригады Улица,1
129 Стрелковой Дивизии Улица,1
12 Апреля Улица,4
12-го Февраля Улица,1
12 Декабря Улица,19
12 Июля Улица,2
12-й квартал МЭЗ Улица,1
12-й Пятилетки Улица,1
12 лет Октября Улица,2
12 линия Улица,1
12 Линия Улица,3
12 Марта Улица,1
12 Пятилетки Улица,1
12 Сентября Улица,1
12-я Красноармейская Улица,1
12-я Улица,4
135 км Улица,1
139 Стрелковой Дивизии Улица,1
13 Апреля Улица,2
13 Героев Улица,3
13-го Апреля Улица,1
13-й Армии Улица,1
13 лет Октября Улица,3
13 Линия Улица,4
13 Ноября Улица,1
13 Съезд ВЛКСМ Улица,1
13-я Красноармейская Улица,1
13 Января Улица,1
13-я Улица,3
141 Дивизии Улица,1
141 Стрелковой дивизии Улица,1
141 Стрелковой Дивизии Улица,1
148 Черниговской Дивизии Улица,1
149 Стрелковой Бригады Улица,1
14 Апреля Улица,2
14 Армии Улица,1
14 Декабря Улица,1
14-й квартал МЭЗ Улица,1
14 Квартал Улица,1
14 лет Октября Улица,3
14 Линия Улица,2
14 Павших Улица,1
14 Съезда ВЛКСМ Улица,1
14-я Улица,2
150 лет КУБ Улица,1
150 лет села Улица,1
151 Стрелковой дивизии Улица,1
151 Стрелковой Дивизии Улица,1
15 Апреля Улица,1
15 Гвардейской Кавалерийской Дивизии Улица,1
15 Июля Улица,1
15-й квартал МЭЗ Улица,1
15 лет Комсомола Улица,1
15 лет Октября Улица,4
15 лет Татарстана Улица,1
15 лет Якутии Улица,1
15 Линия Улица,3
15 Мая Улица,1
15 Погибших Партизан Улица,1
15 Подстанция Улица,1
15 Съезда ВЛКСМ Улица,1
15-я линия Улица,1
15-я Улица,4
167 Стрелковой Дивизии Улица,1
169 стрелковой дивизии Улица,1
16 апреля 1944 года Улица,1
