"Åängsvägen",1
"Åbackavägen",4
"Åbackegatan",1
"Åbacksgatan",1
"Åbäcksgatan",1
"Abäcksvägen",1
"Åbacksvägen",2
"Åbackvägen",1
"Abbantorpsgatan",1
"Abbebacksvägen",1
"Abbebovägen",1
"Abbedissavägen",1
"Abbedissgatan",1
"Abbekåsgatan",1
"Abbelåsvägen",1
"Abbes Väg",1
"Abbilsvägen",1
"Abborrbergsvägen",1
"Abborrebergsvägen",1
"Abborregatan",4
"Abborremålavägen",3
"Abborrens Väg",1
"Abborrestigen",2
"Abborres Väg",1
"Abborrevägen",7
"Abborrgatan",1
"Abborrkammarvägen",1
"Abborrkroksvägen",1
"Abborrstigen",9
"Abborrtjärnsvägen",2
"Abborrtjärnvägen",3
"Abborrtorpsvägen",1
"Abborrvägen",28
"Abborrviken Krutsjövägen",1
"Abborrviksvägen",1
"Abbotens Väg",1
"Abbotsgatan",1
"Abbotstigen",1
"Abbotvägen",2
"Abc-Gatan",1
"Abelsgatan",1
"Åbenråvägen",1
"Abergavägen",1
"A Bergmans Väg",1
"Åbergsgatan",3
"Åbergsleden",1
"Åbergssons Väg",1
"Åbergs Väg",1
"Åbergsvägen",2
"Abiskovägen",1
"Åbjörngatan",1
"Åbjörnsgatan",1
"Abjörnssons Väg",2
"Abmorvägen",1
"Åbogårdsgatan",1
"Åbogatan",9
"Åbohusgatan",1
"Aborrtorpsvägen",1
"Åboslättsgatan",1
"Åbovägen",8
"Abraham Ahléns Väg",1
"Abraham Bäckgatan",1
"Abraham Ols Väg",1
"Abrahamsbergsvägen",2
"Abrahamsbovägen",1
"Abrahamsbyvägen",2
"Abrahamsvägen",2
"Abramsons Väg",1
"Abramsvägen",1
"Åbrandtsgatan",1
"Åbrinksgatan",1
"Åbrinksvägen",2
"Åbrinkvägen",1
"Åbroddgatan",1
"Åbroddstigen",1
"Åbroddsvägen",1
"Åbrogatan",4
"Åbrovägen",4
"Absalons Väg",3
"Absidgatan",1
"Åbybergsgatan",1
"Åbydalsvägen",2
"Åbyforsvägen",4
"Abygatan",1
"Åbygatan",5
"Åbyggenäsvägen",1
"Åbyholmsvägen",1
"Åbylundsgatan",2
"Åbylundsvägen",1
"Åbymovägen",1
"Åbysvägen",1
"Åbytorpsvägen",1
"Åbyvägen",16
"Åbyvallsvägen",1
"Acaciagatan",1
"Acklingavägen",1
"Äckregårdsvägen",2
"Äckrornavägen",1
"Acksjövägen",1
"Acktjära Morvägen",1
"Acktjärnsgatan",1
"Ackumulatorvägen",1
"Ådahlsvägen",1
"Ada Karlssons Väg",1
"Adakvägen",2
"Ådalagatan",1
"Ådalavägen",8
"Ådalsgatan",5
"Ådalsvägen",26
"Adam Och Evas Väg",1
"Adamsbergsvägen",2
"Adamsgatan",2
"Adamstorpsvägen",1
"Adams Väg",2
"Adamsvägen",2
"Ada Rydströms Väg",1
"Adas Väg",3
"Ådavägen",2
"Addahäjdavägen",1
"Addebodavägen",1
"Adelavägen",1
"Adelborgsvägen",1
"Adelcrantz Väg",1
"Adelgatan",8
"Ädelgransgatan",1
"Ädelrosgatan",1
"Ädelrosstigen",1
"Adelsa Gustavs Väg",1
"Adelsbergsvägen",2
"Adelsgatan",2
"Adelsköldsgatan",1
"Adelsmansgatan",1
"Adelsnäsvägen",1
"Adelsögatan",2
"Ädelstensgatan",1
"Ädelstensvägen",5
"Adelstorpsvägen",1
"Adels Väg",1
"Adelsvägen",1
"Adelswärdsgatan",1
"Adelswärdsvägen",1
"Ådergatan",1
"Adilsgatan",1
"Adils Väg",1
"Adilsvägen",2
"Adinalvägen",1
"Adinavägen",1
"Adjunktgatan",2
"Adjunktsgatan",1
"Adjunktsvägen",4
"Adjunktvägen",2
"Adjutantgatan",1
"Adjutantsvägen",1
"Adjutantvägen",1
"Adlerbethsgatan",1
"Adlercreutzgatan",1
"Adlerfelts Väg",1
"Adler Salvius Väg",2
"Adlersborgsvägen",1
"Adlersparregatan",1
"Adlerstens Väg",1
"Adlers Väg",2
"Adlerwalls Väg",1
"Adnersgatan",1
"Adolf Andersohnsgatan",2
"Adolf Fredriksgatan",1
"Adolf Fredriks Väg",1
"Adolf Fredriksvägen",1
"Adolf Hedinsvägen",4
"Adolf Landströms Väg",1
"Adolf Lemons Väg",1
"Adolf Nils Väg",1
"Adolf Perssons Väg",1
"Adolf Rudbecks Väg",1
"Adolfsbergsgatan",2
"Adolfsbergsvägen",8
"Adolfs Väg",1
"Adolf Ulriks Väg",1
"Adriansbergsvägen",1
"Adrians Väg",1
"Adrian Wennströms Väg",1
"Adventsvägen",2
"Adventvägen",1
"Advokatgatan",1
"Advokatstigen",1
"Advokatvägen",1
"Åfallet Gatan",1
"Af Bjerkéns Väg",1
"Affärsgatan",5
"Affärsstigen",1
"Affärsvägen",8
"Af Håkanssons Väg",1
"Af Harmens Väg",1
"Af Klerckers Väg",1
"Åforsvägen",1
"Af Pontins Väg",1
"Afrodites Väg",1
"Afsengatan",1
"Aftonbrisvägen",2
"Aftongatan",2
"Aftonmyravägen",1
"Aftonsolsvägen",1
"Aftonstigen",5
"Aftonvägen",9
"Af Ugglas Väg",1
"Afvelsgärdevägen",1
"Afzeliigatan",2
"Afzeliivägen",1
"Afzelius Väg",1
"Agardalsvägen",1
"Ågärdanvägen",1
"Ågärdesgatan",1
"Ågärdevägen",1
"Agardhsgatan",4
"Ågårdsgatan",3
"Ågärdsgatan",3
"Agards Väg",1
"Ågårdsvägen",8
"Ågatan",95
"Agatvägen",4
"Agavägen",5
"Agda Holsts Väg",1
"Agdas Väg",1
"Agdatorpsvägen",1
"Agdelundsvägen",1
"Agdurvägen",1
"Agegatan",1
"Agensgatan",1
"Agerhusvägen",1
"Agerlödavägen",1
"Agermarksvägen",1
"Agerörsvägen",1
"Agerumsvägen",1
"Ågerupsvägen",1
"Ågestavägen",1
"Ages Väg",1
"Åge Tuas Väg",1
"Aggaredsvägen",1
"Aggarpshöjdsvägen",1
"Aggarpsmöllavägen",1
"Aggarpsvägen",4
"Äggarvägen",1
"Äggebyvägen",1
"Äggelundavägen",1
"Ägge Pers Väg",1
"Aggerudsvägen",1
"Aggetorpsvägen",1
"Agghultsvägen",1
"Äggsjögatan",1
"Äggsvampsgatan",1
"Äggsvampvägen",1
"Ägirgatan",1
"Ägirsgatan",1
"Ägirs Väg",1
"Ägirvägen",3
"Aglaiavägen",1
"Agnebäcksvägen",1
"Agnebergsgatan",1
"Agnebergsvägen",1
"Agnegatan",2
"Agnesbergsstigen",1
"Agnesbergsvägen",1
"Agnesborgsvägen",2
"Agnesdalsgatan",1
"Agnesfridsvägen",3
"Agnesgatan",1
"Agneshögsgatan",2
"Agnes Hylls Väg",1
"Agneslundsvägen",1
"Agnes Söderlunds Väg",1
"Agnestadsgatan",1
"Agnestigen",1
"Agnes Väg",2
"Agneta Ribbings Väg",1
"Agnetavägen",1
