"Rarm Intra 14 Alley",15
"Rarm Intra 63/1 Alley",1
"Soi Charoen Krung 28",1
"Soi 18",1
"Samsen 20 Alley",1
"Ruam Chit 4 Alley",1
"Lan Luang 9 Alley",1
"Ratchawithi 42 Alley",1
"Rarm Intra 21 Alley Yaek 18",1
"Loet Ubon Soi 13",1
"Soi Bang Kradi 19",1
"Soi Phahon Yothin 65/1",1
"Samsen 1 Alley",1
"Samsen 22 Alley",1
"Bo Din Laksa 3 Soi 14",1
"Ratchadamnoen Klang Rd",1
"Soi Lat Plakhao 76",1
"Soi Chom Sombun",1
"Ruam Phatthana 33 Soi 1",1
"Soi Rarm Intra 19 Yaek 15",1
"Soi 25",1
"Samae Dam 9 Alley",1
"Mai Khwang Alley",1
"Sukhaphiban 5 Soi 5 Yaek 22-1",1
"Soi Rarm Intra 61 Yaek 16",1
"Phraeng Nara Rd",1
"Sukhaphiban 5 Soi 5 Yaek 2",1
"Ruam Phatthana 33 Soi 11",1
"Rarm Intra 35 Alley",1
"Wat Suan Phlu Alley",1
"Silom 17 Alley",1
"Phetchaburi 8 Alley",1
"Sawang 3",1
"Rarm Intra 41 Alley",1
"Rong Phapphayon Krung Siam Alley",1
"Sukhothai Rd",1
"Samae Dam 23 Alley",1
"Suwan Phasi 4 Alley",1
"Ruam Phatthana 33 Soi 15",1
"Phahon Yothin 69/2 Alley",2
"Ban Suknatee 10 Alley",1
"Thewet 3 Alley",1
"Charoen Yao Alley 43 Alley",1
"Muban Suk Samran Alley",1
"Phayathai Rd",2
"Charoen Krung 50 Alley",1
"Soi San Chao Pho Suea",1
"Soi Mu Ban Glory House",1
"Nakhom",1
"Charu Mueang Rd",1
"Bang Kradi 37 Alley",1
"Mahesak",1
"Chakphet Rd",1
"Bo Din Laksa 3 Soi 11",1
"Rhetchaburi Rd",1
"3/4 Alley",1
"Ram Intra Alley",1
"Silom 36",1
"Rarm Intra 43 Alley",1
"Phalang Samakkhi Soi 2/3",1
"5 Alley",1
"Nakhon Sawan 14 Alley",1
"Wat Lat Plakhao Alley",1
"Charoen Krung 47/1 Alley",1
"Muban Narisa Soi 13",1
"Soi Rarm Intra 57",1
"Ratchaprarop 12 Alley",1
"Ongkharak 15 Alley",1
"Atsadang",1
"Sukho Thai 9 Alley",1
"Phetchaburi 32 Alley",2
"Sukho Tai 8 Alley",1
"Ratchawithi 44 Alley",1
"Soi 1/6",1
"Thailand Route 35",1
"Bang Kradi 43 Alley",1
"Soi 15",1
"Ratchadamnoen Avenue",1
"Toem Sap Alley",1
"Suk Chai Soi 2",1
"Soi Khlong Lam Pak",1
"Soi Plueang Anuson",1
"Parichat Alley",1
"Sin Alley",1
"Samsen 21 Alley",1
"Soi Charoen Krung 39",1
"Soi Ruam Mit Phatthana Yaek 10",1
"Soi Si Ayutthaya 12",1
"Soi Rarm Intra 14 Alley",1
"Soi Silom 21",1
"Ratchawithi 30 Alley",1
"Rak Sa Din Daen Alley",1
"Soi Ruam Ruedi",1
"Lan Luang 7 Alley",1
"Phan Suek 5 Alley",1
"Suan Aoi Soi Klang",1
"Muban Narisa Soi 1",1
"Soi Sukhantharam 15",1
"Phraeng Sanphasat Rd",1
