"Автопаркова вулиця",1
"Автотранспортна вулиця",1
"Академіка Івана Ляшка вулиця",1
"Андрія Кизила вулиця",1
"Анни Ахматової вулиця",1
"Балкова вулиця",1
"Барвінських вулиця",1
"Батуринська вулиця",1
"Березнева вулиця",1
"Богдана Хмельницького вулиця",1
"Богданівська вулиця",1
"Бориса Бутенка вулиця",1
"Бориса Талька вулиця",1
"Борова вулиця",1
"Бортницька вулиця",1
"Братів Дужих вулиця",1
"Бузинова вулиця",1
"Бузкова вулиця",1
"Варвари Маслюченко вулиця",1
"Вартових неба вулиця",1
"Василя Стуса вулиця",1
"Виноградная улица",3
"Вишнева вулиця",1
"Вітовецька вулиця",1
"Водопроводный переулок",1
"Волинська вулиця",1
"Вуликова вулиця",1
"Геофізиків вулиця",1
"Героїв Крут вулиця",1
"Героїв України вулиця",1
"Гетьмана Скоропадського вулиця",1
"Глухий кут вулиця",1
"Гоголя вулиця",1
"Грибова вулиця",1
"Дальники вулиця",1
"Демидівська вулиця",1
"Дж. Вашингтона вулиця",1
"Джерельна вулиця",1
"Дніпрова вулиця",1
"Добровольців вулиця",1
"Довга вулиця",1
"Драгоманова вулиця",1
"Дружби вулиця",1
"Еммануїла Миська вулиця",1
"Енергетична вулиця",1
"Євгена Коновальця вулиця",1
"Євгенія Харченка вулиця",1
"Європейська вулиця",1
"Жовтнева вулиця",1
"Заканальна вулиця",1
"Заплавна вулиця",1
"Заречная улица",3
"Зарічна вулиця",1
"Затишна вулиця",1
"Затишної вулиця",1
"Захисників України вулиця",2
"Здолбунівська вулиця",1
"Зелена вулиця",1
"Зовнішня вулиця",1
"Зразкова вулиця",1
"Івана Богуна вулиця",1
"Івана Бойка вулиця",1
"Івана Дзюби вулиця",1
"Івана Дяченка вулиця",1
"Івана Кочерги вулиця",1
"Івана Тургенєва вулиця",1
"Івана Франка вулиця",1
"Інженерна вулиця",1
"Йоганна Вольфганга Ґете вулиця",1
"Каденюка вулиця",2
"Канальна вулиця",1
"Кардинала Йосифа Сліпого вулиця",1
"Каштанова вулиця",1
"Квіткова вулиця",1
"Кирила Осьмака вулиця",1
"Клеманська вулиця",1
"Кленова вулиця",1
"Княгині Ольги вулиця",1
"Княжий Затон вулиця",1
"Ковельська вулиця",1
"Колекторна вулиця",1
"Комарова вулиця",2
"Космонавта Павла Поповича вулиця",1
"Коцюбинського вулиця",1
"Кривоноса вулиця",1
"Кривчицька дорога вулиця",1
"Крилова вулиця",1
"Кринична вулиця",1
"Крута вулиця",1
"Крымская улица",1
"Кузьми вулиця",1
"Кукурудзяна вулиця",1
"Кучабського вулиця",1
"Латвійська вулиця",1
"Левадна вулиця",1
"Левицького вулиця",1
"Леоніда Каденюка вулиця",2
"Леоніли Заглади вулиця",1
"Лесной переулок",1
"Липова вулиця",1
"Лисеницька вулиця",1
"Лисенка вулиця",1
"Личаківська вулиця",1
"Ліни Костенко вулиця",1
"Лісна вулиця",1
"Л. Каденюка вулиця",1
"Лугова вулиця",1
"Льва Толстого вулиця",1
"Любарська вулиця",1
"Любомира Гузара вулиця",1
"Лютнева вулиця",1
"Майорівка вулиця",1
"Максима Кривоноса вулиця",1
"Марка Черемшини вулиця",1
"Марусів сад вулиця",1
"Медична вулиця",1
"Медової печери вулиця",1
"Медоносна вулиця",1
"Металургійної вулиця",1
"Мечникова вулиця",1
"Миколаївська вулиця",1
"Миколи Амосова вулиця",1
"Миколи Леонтовича вулиця",1
"Михайла Гордовенка вулиця",1
"Михайла Дорошенка вулиця",1
"Михайла Марфіча вулиця",1
"Мілени Рудницької вулиця",1
"Млинна вулиця",1
"Молодёжная улица",1
"Морская улица",1
"Мостова вулиця",1
"Нектарна вулиця",1
"Нескорених вулиця",1
"Нижній Вал вулиця",1
"Новая улица",3
"Огородная улица",1
"Озерна вулиця",1
"Окружная улица",1
"Октябрьская улица",1
"Олександра Кошиця вулиця",2
"Олександра Кукурби вулиця",1
"Олександра Фединця вулиця",1
"Олени Пчілки вулиця",1
"Опанаса Сластіона вулиця",1
"Опанаса Стефаніва вулиця",1
"Павла Скоропадського вулиця",1
"Пасіки Галицькі вулиця",1
"Пасічна вулиця",2
"Патріотів України вулиця",1
"Пекарська вулиця",1
"Переяславська вулиця",1
"Першого Травня вулиця",1
"Петра Дорошенка вулиця",1
"Петра Прокоповича вулиця",1
"Петра Радзіня вулиця",1
"Півколо вулиця",1
"Піхтова вулиця",1
"Пластова вулиця",1
"Подгорная улица",1
"Позняківська вулиця",1
"Польова вулиця",1
"Польська вулиця",1
"Почтовый переулок",1
"Прибрежная улица",1
