Park Street,8926
Main Street,7664
Oak Street,6946
2nd Street,6907
3rd Street,6564
4th Street,6183
Pine Street,6170
Maple Street,6103
1st Street,6047
Cedar Street,5644
5th Street,5532
Elm Street,5233
View Street,5202
6th Street,5097
Washington Street,4974
Lake Street,4901
Hill Street,4877
Walnut Street,4799
7th Street,4635
8th Street,4172
Spring Street,4165
North Street,4074
Ridge Street,4048
Lincoln Street,4044
Church Street,4031
Willow Street,4017
Mill Street,3975
Second Street,3959
Sunset Street,3929
Railroad Street,3853
First Street,3851
9th Street,3793
Jackson Street,3725
Cherry Street,3669
West Street,3656
South Street,3570
Third Street,3567
10th Street,3492
Center Street,3402
Highland Street,3347
Johnson Street,3325
Forest Street,3309
Jefferson Street,3306
Hickory Street,3297
Wilson Street,3268
River Street,3220
Meadow Street,3193
11th Street,3109
Valley Street,3082
Smith Street,3076
East Street,3056
Fourth Street,3007
Chestnut Street,2994
12th Street,2957
Franklin Street,2882
Adams Street,2856
Spruce Street,2821
Laurel Street,2780
Davis Street,2769
Birch Street,2754
Williams Street,2682
Lee Street,2669
Fifth Street,2654
Dogwood Street,2653
Green Street,2652
Poplar Street,2645
Locust Street,2618
Woodland Street,2615
Taylor Street,2613
13th Street,2610
Ash Street,2589
Madison Street,2578
Hillcrest Street,2547
14th Street,2536
Sycamore Street,2533
Broadway Street,2511
Miller Street,2488
Lakeview Street,2487
College Street,2468
Central Street,2450
15th Street,2317
Sixth Street,2186
Seventh Street,1742
Eighth Street,1352
Ninth Street,1115
Tenth Street,879
Eleventh Street,669
Twelfth Street,489
Thirteenth Street,367
Fourteenth Street,315
Fifteenth Street,240
