"Apurito",1
"Armadillo",1
"Autopista Cantaura",1
"Autopista Presidente General José Antonio Páez",1
"Autopista Simón Bolívar",1
"Avenida 5 de Julio",1
"Avenida Barlovento",1
"Avenida Libertador",1
"Avenida Tamanaco",1
"Av. Intercomunal",1
"Av. Intercomunal Barinas",1
"Av. Intercomunal Barinas Barinitas",1
"Calle Anzoategui",1
"Calle Campo Elias",1
"Calle El Calvario",1
"Calle el Cementerio",1
"Calle Giraldot",1
"Calle Montes",1
"Calle Rio Meta",1
"Calle Tierra ECC 03",1
"Carrera 6",1
"Carretera Apurito",1
"Carretera Cantaura",1
"Carretera Ciudad Bolívar",2
"Carretera El Tigre",1
"Carretera La Pedrera",2
"Carretera Nacional Barinas",1
"Carretera Nacional Sabaneta",1
"Carretera Regional Guanarito",1
"Carretera San Fernando",1
"Carretera Socopó",1
"Carretera Uverito",1
"Carretera Vieja",3
"Carretera Vieja San Mateo",1
"Carretera Zaraza",1
"Cinturón Minero",1
"La Encrucijada",1
"Las Delicias",1
"Local 1",1
"Local 12",1
"Local 3",2
"Local 5",1
"Local 6",2
"Local 7",1
"Local 8",1
"Local 9",1
"Madre Vieja",1
"Minas de Carrizal",2
"Minas de San Miguel",1
"Paseo La Cruz y el Mar",1
"Paso de Cura",1
"Ramal 11",1
"Ramal 15",1
"Ramal 22",1
"Ramal 25",1
"Ramal 27",1
"Ramal 29",1
"Ramal 3",1
"Ramal 30",1
"Ramal 4",2
"Ramal 5",1
"Ramal 57",1
"Ramal 6",1
"Ramal 8",1
"Ramal 9",2
"T-10",1
"T-16",1
"TC5 03",1
"Tinajas de Chorreron",1
"Vía a Arauquita",1
"Vía a Atapire",1
"Vía a Boca del Pao",1
"Vía a Cachipo",1
"Vía a Caruachi",1
"Vía a Guasimal",1
"Vía a Oritupano",1
"Vía a Paramán",1
"Vía a San Diego",1
"Vía a Zuata",2
"Vía Campo Mata",1
"Vía El Pao",1
"Vía Palital",1
"Via Sabaneta",1
"Vía San Félix",1
