"Lê Anh Xuân",1
"Nguyễn Bỉnh Khiêm",1
"ĐT.757",1
"Giải Phóng",1
"Nguyễn Huy Tự",1
"Nguyễn Đình Chính",1
"Nguyễn Thái Bình",1
"Trương Hoàng Thanh",1
"Quốc lộ 54",1
"Quách Thị Trang",1
"Nguyễn Ái Quốc",1
"DT887",4
"Lý Văn Phức",1
"Phan Liêm",1
"Trần Nhật Duật",1
"ĐT.270",1
"Huỳnh Mẫn Đạt",1
"Calmette",1
"Quốc lộ 14",1
"Nguyễn Phi Khanh",1
"Phan Đăng Lưu",1
"Cộng Hòa",1
"Nguyễn Khắc Nhua",1
"Sương Nguyệt Anh",1
"Mạc Thị Bưởi",1
"Quốc lộ 3B",2
"Lê Quý Đôn",1
"Nguyễn Văn Vĩnh",1
"DT662",1
"DT885",2
"Nguyễn Huệ",1
"Nguyễn Bặc",1
"Dương Vân Nga",1
"DT943",1
"Nam Kỳ Khởi Nghĩa",1
"Bà Lê Chân",1
"Lê Văn Sỹ",1
"Phan Văn Trị",1
"Sầm Sơn",1
"Tỉnh Lộ 765",1
"Hồ Huân Nghiệp",1
"Cử Trị",1
"Tôn Thất Thiệp",1
"Phan Ngữ",1
"Hậu Giang",1
"Hạ Long",1
"DT630",1
"Lê Văn Hưu",1
"DT954",1
"Điện Biên Phủ",2
"Lý Thường Kiệt",1
"Bùi Hửu Nghĩa",1
"Đường Hồ Chí Minh",1
"Đặng Văn Ngữ",1
"Phố Đàm Quang Trung",1
"Võ Văn Kiệt",1
"Nguyễn Tiểu La",1
"Nguyễn Thái Học",1
"Phan Thúc Duyện",1
"Trần Quốc Thảo",1
"Lê Công Kiều",1
"Phạm Ngọc Thạch",1
"Đồ Sơn",1
"Quốc Lộ 80",1
"Ngô Thời Nhiệm",1
"DT670",1
"Đường song hành TL719",1
"DT853",1
"Nguyễn Thiện Thuật",1
"An Dương Vương",1
"Trần Nhân Tôn",1
"Võ Thị Sáu",1
"Hoàng Việt",1
"Thông Nhất",1
"Trương Quốc Dụng",1
"Nguyễn Hữu Cầu",1
"Hồ Tùng Mậu",1
"Hồng Hà",1
"Rạch Bùng Binh",1
"Võ Văn Tần",1
"Nguyễn Văn Cừ",1
"Sư Vạn Hạnh",1
"Phan Văn Trường",1
"Thi Sách",1
"Tỉnh lộ 719",1
"Hoàng Hoa Thám",1
"Phố Hồng Việt",1
"Đường cao tốc Hà Nội - Bắc Giang",2
"Tôn Thất Đàm",1
"Hồ Bá Kiện",1
"Huyền Trân Công Chúa",1
"Nguyễn Hiền",1
"DT.183",2
"Nguyễn Thị Nghĩa",1
"Nguyễn Biểu",1
"Đống Đa",2
"Cao Thắng",1
"Lý Tự Trọng",1
"Hát Giang",1
"Cô Giang",1
"DT279",1
"Đào Duy Từ",1
"Trần Văn Đang",1
"Đường Cái Sao - Bờ Hồ",2
"Nguyễn Giản Thanh",1
"Trần Khắc Chân",1
"Ngô Quyền",1
"Nguyễn Phúc Nguyên",1
"Nguyễn Tri Phương",1
"Sư Thiện Chiếu",1
"Nguyễn Cảnh Chân",1
"Tôn Thất Tùng",1
