가,9090,Ga
간,2429,Gan
갈,3178,Gal
감,5998,Gam
강,1169805,Gang
강전,51,Gangjeon
개,86,Gae
견,1670,Gyeon
경,15784,Gyeong
계,6282,Gye
고,435839,Go
곡,155,Gok
공,85606,Gong
곽,187322,Gwak
교,41,Gyo
구,1253,Gu
국,18976,Guk
군,46,Gun
궁,562,Gung
궉,248,Gwok
권,652495,Gwon
근,242,Geun
금,23489,Geum
기,26679,Gi
길,32418,Gil
김,18925949,Gim
나,172022,Na
난,80,Nan
남,257178,Nam
남궁,18743,Namgung
낭,341,Nang
내,440,Nae
노,290434,No
뇌,92,Noe
누,24,Nu
단,1585,Dan
담,57,Dam
당,1025,Dang
대,606,Dae
도,54779,Do
독고,807,Dokgo
돈,115,Don
동,5564,Dong
동방,220,Dongbang
두,5958,Du
류,603084,Ryu
마,36094,Ma
만,172,Man
망절,10,Mangjeol
매,222,Mae
맹,20219,Maeng
명,26746,Myeong
모,19834,Mo
목,8191,Mok
묘,61,Myo
묵,179,Muk
문,426927,Mun
미,199,Mi
민,159054,Min
박,3895121,Bak
반,26171,Ban
방,119703,Bang
배,372064,Bae
백,351275,Baek
범,3472,Beom
변,131554,Byeon
복,8644,Bok
봉,11819,Bong
부,9592,Bu
비,90,Bi
빈,5252,Bin
빙,727,Bing
사,10118,Sa
사공,4307,Sagong
삼,51,Sam
상,2298,Sang
서,695249,Seo
서문,1861,Seomun
석,54610,Seok
선,38849,Seon
선우,3560,Seonu
설,42064,Seol
섭,450,Seop
성,185363,Seong
소,49456,So
소봉,18,Sobong
손,415182,Son
송,639082,Song
수,199,Su
순,1296,Sun
승,3304,Seung
시,3928,Si
신,911556,Sin
심,252255,Sim
십,82,Sip
아,632,A
안,637786,An
애,123,Ae
야,180,Ya
양,486645,Yang
어,17551,Eo
어금,51,Eogeum
엄,132990,Eom
여,75196,Yeo
연,32528,Yeon
염,63951,Yeom
엽,127,Yeop
영,259,Yeong
예,12656,Ye
오,706908,O
옥,22964,Ok
온,5081,On
옹,964,Ong
왕,23447,Wang
요,198,Yo
용,14067,Yong
우,180141,U
운,170,Un
원,120465,Won
위,30496,Wi
유,437900,Yu
육,21545,Yuk
윤,948600,Yun
은,15657,Eun
음,5936,Eum
이,6796227,I
인,20635,In
임,99986,Im
임,635507,Im
자,178,Ja
장,943257,Jang
장곡,52,Janggok
저,48,Jeo
전,687867,Jeon
점,516,Jeom
정,2230611,Jeong
제,29968,Je
제갈,4444,Jegal
조,1347730,Jo
종,962,Jong
좌,3130,Jwa
주,215010,Ju
준,72,Jun
즙,4,Jeup
증,6,Jeung
지,147572,Ji
진,170980,Jin
차,180589,Cha
창,1179,Chang
채,119251,Chae
천,112227,Cheon
초,351,Cho
최,2169704,Choe
추,55309,Chu
탁,19395,Tak
탄,155,Tan
태,8165,Tae
판,290,Pan
팽,2825,Paeng
편,15308,Pyeon
평,608,Pyeong
포,129,Po
표,28398,Pyo
풍,586,Pung
피,6303,Pi
필,251,Pil
하,213758,Ha
학,101,Hak
한,715556,Han
함,75955,Ham
해,322,Hae
허,300448,Heo
현,81807,Hyeon
형,6640,Hyeong
호,6106,Ho
홍,518635,Hong
화,945,Hwa
환,157,Hwan
황,644294,Hwang
황보,9148,Hwangbo
후,114,Hu
흥,462,Heung
