경숙,,Gyeong-suk
경옥,,Gyeong-ok
경자,,Gyeong-ja
경희,,Gyeong-hui
명숙,,Myeong-suk
미경,,Mi-gyeong
미숙,,Mi-suk
미영,,Mi-yeong
민서,,Min-seo
민지,,Min-ji
서연,,Seo-yeon
서윤,,Seo-yun
서현,,Seo-hyeon
선영,,Seon-yeong
수빈,,Su-bin
수진,,Su-jin
숙자,,Suk-ja
순희,,Sun-hui
슬기,,Seulgi
영미,,Yeong-mi
영숙,,Yeong-suk
영숙,,Yeong-suk
영자,,Yeong-ja
영희,,Yeong-hui
예은,,Ye-eun
유진,,Yu-jin
윤서,,Yun-seo
은경,,Eun-gyeong
은영,,Eun-yeong
은주,,Eun-ju
은지,,Eun-ji
인숙,,In-suk
정숙,,Jeong-suk
정순,,Jeong-sun
정자,,Jeong-ja
정희,,Jeong-hui
지민,,Ji-min
지연,,Ji-yeon
지영,,Ji-yeong
지우,,Ji-u
지은,,Ji-eun
지현,,Ji-hyeon
지혜,,Ji-hye
춘자,,Chun-ja
하은,,Ha-eun
현숙,,Hyeon-suk
현정,,Hyeon-jeong
현주,,Hyeon-ju
혜진,,Hye-jin
