Marija,75418
Ana,29946
Irena,12807
Maja,12442
Jožefa,11818
Mojca,11417
Franciška,10923
Mateja,10524
Nataša,10221
Ivana,9994
Jožica,9788
Barbara,9764
Andreja,9587
Petra,9178
Terezija,9143
Nina,9118
Sonja,8493
Katja,8481
Milena,8448
Katarina,8336
Tatjana,8294
Majda,7942
Alenka,7932
Anja,7889
Tanja,7882
Martina,7813
Angela,7766
Vesna,7588
Antonija,7523
Tina,7333
Urška,7258
Helena,7186
Kristina,7073
Anica,7004
Dragica,6832
Nada,6718
Olga,6499
Darja,6266
Marjeta,6252
Danica,6251
Ljudmila,6179
Špela,6140
Alojzija,5992
Vida,5961
Ivanka,5922
Tjaša,5912
Simona,5884
Zdenka,5827
Eva,5672
Lidija,5653
Marta,5635
Suzana,5595
Sara,5416
Štefanija,5089
Sabina,5086
Silva,5083
Veronika,5052
Janja,5022
Stanislava,4873
Nika,4866
Darinka,4744
Elizabeta,4544
Karmen,4500
Pavla,4234
Brigita,4145
Anita,4104
Aleksandra,4057
Neža,4032
Cvetka,3969
Metka,3830
Rozalija,3773
Nevenka,3688
Jana,3672
Monika,3632
Natalija,3570
Slavica,3533
Marjana,3470
Renata,3415
Branka,3404
Jasmina,3311
Vera,3295
Saša,3189
Bernarda,3125
Danijela,3070
Tamara,3069
Lucija,3041
Ema,3014
Klavdija,2993
Lea,2958
Maša,2928
Erika,2889
Romana,2878
Bojana,2865
Mira,2846
Lara,2818
Jasna,2771
Jelka,2740
Julijana,2729
Polona,2621
Matilda,2601
Mirjana,2576
Valerija,2576
Klara,2561
Kaja,2550
Sandra,2521
Amalija,2505
Ida,2461
Tadeja,2456
Albina,2446
Mihaela,2446
Valentina,2404
Karolina,2378
Breda,2358
Gabrijela,2275
Zofija,2274
Sanja,2248
Ines,2206
Teja,2192
Ksenija,2182
Cecilija,2169
Magdalena,2098
Viktorija,2061
Justina,2053
Patricija,2018
Laura,2017
Vlasta,2000
Emilija,1986
Vanja,1984
Maruša,1940
Marjetka,1933
Manca,1901
Melita,1889
Ljubica,1886
Nuša,1849
Marica,1780
Zala,1769
Marinka,1735
Gordana,1734
Marina,1697
Polonca,1665
Milka,1595
Nadja,1579
Urša,1530
Damjana,1528
Doroteja,1459
Marijana,1456
Milica,1403
Tea,1392
Štefka,1381
Nastja,1379
Slavka,1376
Živa,1359
Lana,1347
Jerneja,1326
Dušanka,1311
Nives,1311
Karin,1304
Andrejka,1297
Alja,1295
Ana marija,1289
Irma,1282
Julija,1279
Miroslava,1272
Hana,1268
Marjanca,1255
Ajda,1250
Lilijana,1247
Stanka,1242
Jelena,1238
Zlatka,1203
Mirjam,1180
Zora,1178
Jolanda,1158
Pia,1116
Zvonka,1111
Hermina,1103
Ivica,1057
Hedvika,1047
Roza,1038
Rebeka,1031
Blanka,1017
Anka,1004
Erna,990
Neja,987
Vilma,983
Liljana,970
Magda,961
Jerica,955
Daniela,952
Larisa,898
Adrijana,886
Iris,884
Silvestra,883
Jadranka,872
Gizela,871
Verica,850
Alma,847
Snežana,842
Anamarija,840
Biserka,820
