건우,,Geon-u
경수,,Gyeong-su
동현,,Dong-hyeon
민규,,Min-gyu
민수,,Min-su
민재,,Min-jae
민준,,Min-jun
민호,,Min-ho
병철,,Byeong-cheol
병호,,Byeong-ho
상철,,Sang-chol
상훈,,Sang-hun
성기,,Seong-gi
성민,,Seong-min
성수,,Seong-su
성진,,Seong-jin
성현,,Seong-hyeon
성호,,Seong-ho
성훈,,Seong-hun
승현,,Seung-hyeon
영기,,Yeong-gi
영수,,Yeong-su
영식,,Yeong-sik
영진,,Yeong-jin
영철,,Yeong-cheol
영호,,Yeong-ho
영환,,Yeong-hwan
예준,,Ye-jun
우진,,U-jin
일성,,Il-seong
정호,,Jeong-ho
정훈,,Jeong-hun
종수,,Jong-su
종열,,Jeong-yol
준서,,Jun-seo
준영,,Jun-yeong
준호,,Jun-ho
지후,,Ji-hu
지훈,,Ji-hun
진호,,Jin-ho
현우,,Hyeon-u
현준,,Hyeon-jun
